,source,target
103,estábulo,planejamento
104,alagamento,análise
105,alagamento,solo
106,alagamento,gradagem
107,alagamento,vegetal
108,treinamento,imunológico
109,treinamento,estressar
110,treinamento,compostagem
111,treinamento,arbóreo
112,sequenciamento,barbela
113,sequenciamento,capilar
114,sequenciamento,cisto
115,sequenciamento,acupuntura
116,granulado,freezer
117,granulado,carvão
118,granulado,aditivo
119,granulado,multiestrato
120,hábito,aferição
121,hábito,traumatismo
122,hábito,cordão
123,hábito,vidro
124,agente,isolamento
125,agente,imunidade
126,agente,enfermidade
127,agente,doença
128,parede,psicrotrófica
129,parede,primípara
130,parede,aferição
131,parede,amargo
132,subereta,embalagem
133,subereta,herbácea
134,subereta,metionina
135,subereta,sanguíneo
136,profissional,fermentar
137,profissional,elétrica
138,profissional,rasteiro
139,profissional,oócito
140,estiagem,estria
141,estiagem,espécies
142,estiagem,obesidade
143,estiagem,forragear
144,reter,microbiológico
145,reter,pasteurizado
146,reter,fluido
147,reter,refrigerar
148,ossaturo,zebuína
149,ossaturo,revacinar
150,ossaturo,holandês
151,ossaturo,fêmeo
152,genômica,óxido
153,genômica,herbicida
154,genômica,ginecológico
155,genômica,abdômen
156,sanguíneo,embalagem
157,sanguíneo,amargo
158,sanguíneo,corrente
159,sanguíneo,fibroso
160,ferramenta,árvore
161,ferramenta,irrigação
162,ferramenta,cultura
163,ferramenta,mocha
164,técnico,genético
165,técnico,procedimento
166,técnico,mole
167,técnico,rufião
168,uterino,infecção
169,uterino,prever
170,uterino,subnutrição
171,uterino,gestante
172,molécula,fluido
173,molécula,mole
174,molécula,lactação
175,molécula,enzima
176,pomada,desidratadar
177,pomada,tanchagem
178,pomada,viscosidade
179,pomada,lacrado
180,eletroejaculação,semeadura
181,eletroejaculação,morcego
182,eletroejaculação,calcário
183,eletroejaculação,libido
184,terapêutico,reação
185,terapêutico,populaçãar
186,terapêutico,ereta
187,terapêutico,leucena
188,genotipar,andrológico
189,genotipar,tamponante
190,genotipar,sexo
191,genotipar,solto
192,restinga,salobra
193,restinga,transição
194,restinga,carvão
195,restinga,cisteína
196,demora,febril
197,demora,apatia
198,demora,debilitar
199,demora,micuim
200,ovo,seiva
201,ovo,plântula
202,ovo,nebulização
203,ovo,sadio
204,hipoclorito,erosãar
205,hipoclorito,boca
206,hipoclorito,borracha
207,hipoclorito,oxidação
208,serragem,estimulante
209,serragem,casca
210,serragem,macio
211,serragem,nlemfuensis
212,seringa,embarcadouro
213,seringa,tanchagem
214,seringa,fitoterápico
215,seringa,desidratadar
216,médico,tratamento
217,médico,sintoma
218,médico,morte
219,médico,antibiótico
220,prenhe,emagrecer
221,prenhe,tamponante
222,prenhe,motivo
223,prenhe,nuclear
224,obesidade,acidificar
225,obesidade,reincidência
226,obesidade,estria
227,obesidade,clorótico
228,cerco,masculino
229,cerco,sintetizar
230,cerco,diarrear
231,cerco,gorduroso
232,cortisol,estereotipia
233,cortisol,vício
234,cortisol,invasão
235,cortisol,cauda
236,esporo,bigemina
237,esporo,amargo
238,esporo,conservante
239,esporo,infestações
240,protease,viral
241,protease,ovariana
242,protease,heterozigoto
243,protease,bastão
244,pássaro,borracha
245,pássaro,semiáridar
246,pássaro,perene
247,pássaro,repouso
248,subtropical,plantio
249,subtropical,babosa
250,subtropical,aveia
251,subtropical,tolerante
252,raça,holandês
253,raça,zebuína
254,raça,cruzamento
255,raça,zebu
256,botijo,integração
257,botijo,poeira
258,botijo,fermentar
259,botijo,abomaso
260,graxo,multiovulação
261,graxo,segregação
262,graxo,corrimento
263,graxo,mutante
264,interferir,fluido
265,interferir,corporal
266,interferir,lote
267,interferir,lactação
268,eucalipto,nematoide
269,eucalipto,pálida
270,eucalipto,fetal
271,eucalipto,irritação
272,bactéria,caule
273,bactéria,manual
274,bactéria,replantio
275,bactéria,toxidez
276,haste,petróleo
277,haste,glicerinar
278,haste,fóssil
279,haste,linhaça
280,coletora,camomila
281,coletora,icterícia
282,coletora,divisória
283,coletora,articulação
284,forragear,reincidência
285,forragear,espécies
286,forragear,argila
287,forragear,dossel
288,cartilagem,bexiga
289,cartilagem,camomila
290,cartilagem,farinha
291,cartilagem,irritação
292,cortado,salobra
293,cortado,restinga
294,cortado,transição
295,cortado,cisteína
296,cancerígeno,descorna
297,cancerígeno,descornar
298,cancerígeno,norsesquiterpeno
299,cancerígeno,homeopatia
300,infestações,viscosidade
301,infestações,bigemina
302,infestações,bronopol
303,infestações,primípara
304,medida,morte
305,medida,praga
306,medida,sanitário
307,medida,clonagem
308,naturalizar,espécie
309,naturalizar,associação
310,naturalizar,digestivo
311,naturalizar,tóxico
312,hematófago,lã
313,hematófago,barbela
314,hematófago,vampiricida
315,hematófago,brilho
316,tuberculinização,herdar
317,tuberculinização,rinotraqueítar
318,tuberculinização,ventilação
319,tuberculinização,fenótipo
320,salobra,cisteína
321,salobra,restinga
322,salobra,tubo
323,salobra,abdômen
324,dedo,fóssil
325,dedo,estimulante
326,dedo,petróleo
327,dedo,combustível
328,funcionar,tomada
329,funcionar,banho
330,funcionar,acústico
331,funcionar,vagina
332,humificação,ninfa
333,humificação,termofílica
334,humificação,magro
335,humificação,fase
336,fervente,salobrar
337,fervente,água
338,fervente,diluir
339,fervente,concentração
340,vermar,erliquiose
341,vermar,captura
342,vermar,nematoide
343,vermar,neoplasia
344,decompor,parasitando
345,decompor,fareladar
346,decompor,análise
347,decompor,ácidos
348,esperar,transgênico
349,esperar,resistente
350,esperar,descendente
351,esperar,acasalar
352,desaleitar,desmame
353,desaleitar,freezer
354,desaleitar,manipulação
355,desaleitar,aparelho
356,homeopático,verme
357,homeopático,briga
358,homeopático,genótipo
359,homeopático,dodecil
360,sulfurados,minerais
361,sulfurados,iodar
362,sulfurados,metionina
363,sulfurados,tostagem
364,dictioneura,fotossensibilização
365,dictioneura,leito
366,dictioneura,brasilense
367,dictioneura,roçar
368,máquina,obra
369,máquina,mão
370,máquina,infraestrutura
371,máquina,permanente
372,sanitizar,pata
373,sanitizar,aguar
374,sanitizar,floco
375,sanitizar,urease
376,leporino,lábio
377,leporino,aparentar
378,leporino,parenteral
379,leporino,multiovulação
380,lavar,teto
381,lavar,via
382,lavar,transgênica
383,lavar,florescimento
384,oferecer,filho
385,oferecer,doméstico
386,oferecer,mole
387,oferecer,clonagem
388,cortar,açúcar
389,cortar,capineiro
390,cortar,libido
391,cortar,garupa
392,berne,mosca
393,berne,aminoácido
394,berne,multiflorum
395,berne,tostagem
396,telar,fígar
397,telar,epitelial
398,telar,gorduroso
399,telar,sintetizar
400,doméstico,animal
401,doméstico,clonagem
402,doméstico,doente
403,doméstico,oferecer
404,citômetro,espermatozoide
405,citômetro,guandu
406,citômetro,cajan
407,citômetro,espermático
408,frágil,hidrogênio
409,frágil,poroso
410,frágil,broto
411,frágil,pluviométrico
412,tenra,aniônica
413,tenra,iodato
414,tenra,solubilizados
415,tenra,tremor
416,sadio,purulento
417,sadio,semiásper
418,sadio,orelha
419,sadio,herbicida
420,maternidade,vacar
421,maternidade,energético
422,maternidade,vaca
423,maternidade,exame
424,sintetizar,gorduroso
425,sintetizar,masculino
426,sintetizar,gostar
427,sintetizar,concha
428,brilho,vitalidade
429,brilho,bexiga
430,brilho,barbela
431,brilho,ptaquiloser
432,urease,fítico
433,urease,pata
434,urease,descongelar
435,urease,sanitizar
436,doença,praga
437,doença,tuberculose
438,doença,agente
439,doença,imunidade
440,eclosão,clorótico
441,eclosão,infecçãar
442,eclosão,dossel
443,eclosão,lenhoso
444,material,esperar
445,material,descendente
446,material,genético
447,material,transgênico
448,fenação,gramínea
449,fenação,tropical
450,fenação,ácidos
451,fenação,gramíneo
452,segregação,cetônico
453,segregação,fasciolose
454,segregação,rim
455,segregação,mutante
456,topografia,erosão
457,topografia,alumínio
458,topografia,plantar
459,topografia,calagem
460,etiológico,nosódio
461,etiológico,bernes
462,etiológico,corticosteroide
463,etiológico,seleno
464,glândula,inflamação
465,glândula,examinar
466,glândula,mamário
467,glândula,glândular
468,manteiga,tampa
469,manteiga,molibdênio
470,manteiga,bronopol
471,manteiga,creme
472,prostaglandina,latão
473,prostaglandina,prostrar
474,prostaglandina,peniano
475,prostaglandina,metal
476,aureus,pata
477,aureus,ovariana
478,aureus,bastão
479,aureus,colorir
480,norsesquiterpeno,diafragma
481,norsesquiterpeno,ptaquiloser
482,norsesquiterpeno,cancerígeno
483,norsesquiterpeno,tecidos
484,infeccioso,vacinar
485,infeccioso,diarreia
486,infeccioso,diagnosticar
487,infeccioso,aborto
488,gelo,reciclável
489,gelo,certificar
490,gelo,estrangulamento
491,gelo,térmica
492,mililitro,brusco
493,mililitro,industrialização
494,mililitro,laboratório
495,mililitro,bulir
496,óvulo,infusão
497,óvulo,aquoso
498,óvulo,régua
499,óvulo,estirpe
500,perda,compactação
501,perda,silo
502,perda,silagem
503,perda,fermentação
504,umbilical,hemorragia
505,umbilical,cordão
506,umbilical,traumatismo
507,umbilical,natalidade
508,tristeza,parasitário
509,tristeza,terapêutico
510,tristeza,reação
511,tristeza,diagnosticar
512,coler,divisória
513,coler,homeopater
514,coler,muco
515,coler,formigo
516,ressecamento,cordão
517,ressecamento,óxido
518,ressecamento,hemorragia
519,ressecamento,cirurgia
520,risco,reprodutivo
521,risco,lote
522,risco,infecção
523,risco,identificar
524,leito,choque
525,leito,fotossensibilização
526,leito,engenharia
527,leito,brasilense
528,toxina,fascicular
529,toxina,brizantha
530,toxina,perene
531,toxina,safra
532,tijolo,telha
533,tijolo,cisteína
534,tijolo,lixiviados
535,tijolo,regador
536,canaleta,declive
537,canaleta,semiásper
538,canaleta,corrimento
539,canaleta,pelagem
540,enxadão,boca
541,enxadão,ereta
542,enxadão,ciliaril
543,enxadão,aceiro
544,epitelial,heterozigoto
545,epitelial,sintetizar
546,epitelial,corticosteroide
547,epitelial,telar
548,aparelho,nosódio
549,aparelho,obstétrico
550,aparelho,infusão
551,aparelho,etiológico
552,mecânico,manual
553,mecânico,ordenha
554,mecânico,colônia
555,mecânico,legislação
556,roupa,protease
557,roupa,matar
558,roupa,viral
559,roupa,telar
560,abate,cordão
561,abate,umbilical
562,abate,bicarbonato
563,abate,vidro
564,desoxirribonucleico,textura
565,desoxirribonucleico,babosa
566,desoxirribonucleico,erosão
567,desoxirribonucleico,ácer
568,precoce,desmamar
569,precoce,desmame
570,precoce,lactente
571,precoce,desaleitar
572,decumbente,outonal
573,decumbente,fascicular
574,decumbente,pyramidalis
575,decumbente,brizantha
576,serpentina,derivar
577,serpentina,beladona
578,serpentina,gayana
579,serpentina,lodo
580,antisséptico,antialérgico
581,antisséptico,antitóxico
582,antisséptico,reincidência
583,antisséptico,estria
584,mãe,fraco
585,mãe,aproveitamento
586,mãe,tolerância
587,mãe,bezerro
588,alto,baixo
589,alto,grande
590,alto,forragem
591,alto,molécula
592,barbela,vampiricida
593,barbela,cisto
594,barbela,articulação
595,barbela,cortisol
596,máximo,chuva
597,máximo,progênie
598,máximo,objetivo
599,máximo,oferecer
600,pasta,vampiricida
601,pasta,bater
602,pasta,pneumoenterite
603,pasta,cesariana
604,tolerância,aproveitamento
605,tolerância,coçar
606,tolerância,mãe
607,tolerância,maneira
608,estereotipia,cortisol
609,estereotipia,vício
610,estereotipia,arrepiar
611,estereotipia,cauda
612,portão,ordenhador
613,portão,desinfetante
614,portão,freático
615,portão,manual
616,desinteresse,pesagem
617,desinteresse,tecer
618,desinteresse,escuro
619,desinteresse,sobreordenha
620,magnesiano,multiestrato
621,magnesiano,dolomítico
622,magnesiano,diferem
623,magnesiano,cirurgia
624,coçar,banana
625,coçar,tolerância
626,coçar,procedimento
627,coçar,artificial
628,florescimento,estria
629,florescimento,acidificar
630,florescimento,argiluviação
631,florescimento,clorótico
632,vapor,válvula
633,vapor,diferem
634,vapor,homeopater
635,vapor,alvenaria
636,caule,manual
637,caule,freático
638,caule,replantio
639,caule,bactéria
640,sensibilidade,espermograma
641,sensibilidade,bronopol
642,sensibilidade,reciclável
643,sensibilidade,creme
644,corticosteroide,etiológico
645,corticosteroide,epitelial
646,corticosteroide,seleno
647,corticosteroide,bernes
648,industrialização,brusco
649,industrialização,laboratório
650,industrialização,mililitro
651,industrialização,glóbulo
652,andrológico,tamponante
653,andrológico,genotipar
654,andrológico,coccidiose
655,andrológico,sexo
656,sphacelatar,manganês
657,sphacelatar,quebrar
658,sphacelatar,nlemfuensis
659,sphacelatar,macio
660,diarrear,viral
661,diarrear,cetose
662,diarrear,ovariana
663,diarrear,bastão
664,regra,arborizar
665,regra,carroça
666,regra,argiluviação
667,regra,excremento
668,diferir,regador
669,diferir,borrifada
670,diferir,citoplasma
671,diferir,lixiviados
672,hemoglobinúria,fetal
673,hemoglobinúria,cartilagem
674,hemoglobinúria,camomila
675,hemoglobinúria,descorna
676,gayana,carboidrato
677,gayana,galho
678,gayana,derivar
679,gayana,calopogônio
680,desagradável,espuma
681,desagradável,crioscópico
682,desagradável,lixiviados
683,desagradável,cisteína
684,biomassa,vegetar
685,biomassa,cordiforme
686,biomassa,fotossensibilização
687,biomassa,roçar
688,bolsa,umbilical
689,bolsa,natalidade
690,bolsa,pancadar
691,bolsa,hemorragia
692,lesão,homeopático
693,lesão,herdar
694,lesão,briga
695,lesão,bactericida
696,tóxico,superpastejo
697,tóxico,planta
698,tóxico,invasor
699,tóxico,associação
700,agressivo,guandu
701,agressivo,cova
702,agressivo,campilobacteriose
703,agressivo,cajan
704,gelificação,higiênica
705,gelificação,alvéolo
706,gelificação,leite
707,gelificação,parâmetro
708,contaminar,legislação
709,contaminar,refrigerar
710,contaminar,leite
711,contaminar,colônia
712,calcinado,formigo
713,calcinado,selo
714,calcinado,osso
715,calcinado,macrocephala
716,traumático,cesariana
717,traumático,pneumonia
718,traumático,embarcadouro
719,traumático,primípara
720,queijo,sintomático
721,queijo,higiênico
722,queijo,purpureum
723,queijo,helminto
724,buçal,masculino
725,buçal,gostar
726,buçal,gossipol
727,buçal,bastão
728,sonda,cor
729,sonda,liber
730,sonda,homozigoto
731,sonda,tecnificação
732,calcário,calagem
733,calcário,gradagem
734,calcário,semeadura
735,calcário,germinação
736,fêmea,inseminador
737,fêmea,taxa
738,fêmea,reprodutivo
739,fêmea,acasalamento
740,médio,lote
741,médio,identificar
742,médio,taxa
743,médio,fluido
744,canavial,dedo
745,canavial,macroelemento
746,canavial,estimulante
747,canavial,endereçar
748,cloreto,proporção
749,cloreto,digerir
750,cloreto,artrópode
751,cloreto,genoma
752,decumbem,brachiaria
753,decumbem,brizanthar
754,decumbem,ruziziensil
755,decumbem,parteiro
756,demorar,cruzar
757,demorar,secar
758,demorar,hectare
759,demorar,parto
760,descartar,lactação
761,descartar,fluido
762,descartar,energético
763,descartar,vaca
764,guianesil,obesidade
765,guianesil,clorótico
766,guianesil,cespitoso
767,guianesil,acidificar
768,cultura,irrigação
769,cultura,adubar
770,cultura,sobrevivência
771,cultura,raiz
772,tetania,miíase
773,tetania,bexiga
774,tetania,neoplasia
775,tetania,cartilagem
776,secretor,parenteral
777,secretor,suor
778,secretor,tanchagem
779,secretor,dactylon
780,vedação,deslocamento
781,vedação,septicemia
782,vedação,endogamia
783,vedação,contagioso
784,mecanismo,descartar
785,mecanismo,reter
786,mecanismo,batoque
787,mecanismo,fluido
788,populaçãar,perene
789,populaçãar,ereta
790,populaçãar,macroelemento
791,populaçãar,galpão
792,hereditário,lábio
793,hereditário,leporino
794,hereditário,mocho
795,hereditário,semiásper
796,físico,filho
797,físico,afetar
798,físico,obtenção
799,físico,fator
800,capilar,abdômen
801,capilar,purulento
802,capilar,mourão
803,capilar,segura
804,butírico,decumbente
805,butírico,fascicular
806,butírico,outonal
807,butírico,sulfúrico
808,nutrientes,quaternária
809,nutrientes,criopreservação
810,nutrientes,pasta
811,nutrientes,terço
812,foxtail,obesidade
813,foxtail,estria
814,foxtail,acidificar
815,foxtail,guianesil
816,aerada,corrosão
817,aerada,apatia
818,aerada,isopor
819,aerada,bater
820,terreno,gás
821,terreno,desidratação
822,terreno,criopreservação
823,terreno,estaçãar
824,refrigerar,colônia
825,refrigerar,legislação
826,refrigerar,microbiológico
827,refrigerar,pasteurizado
828,tubulação,maximização
829,tubulação,armadilha
830,tubulação,hipoclorito
831,tubulação,micronutriente
832,tecidos,norsesquiterpeno
833,tecidos,diafragma
834,tecidos,cancerígeno
835,tecidos,ptaquiloser
836,manual,caule
837,manual,mecânico
838,manual,ordenha
839,manual,freático
840,acessar,rançoso
841,acessar,iodar
842,acessar,evaporativo
843,acessar,ferrugem
844,pote,carinho
845,pote,cauda
846,pote,mourão
847,pote,vício
848,caixa,régua
849,caixa,arbusto
850,caixa,bovina
851,caixa,retal
852,nutritivo,garantir
853,nutritivo,perfil
854,nutritivo,ouvir
855,nutritivo,forragem
856,automatizar,androgenizadar
857,automatizar,oral
858,automatizar,dilatação
859,automatizar,olho
860,fatal,medo
861,fatal,herdar
862,fatal,mitocondrial
863,fatal,maximização
864,cobrir,novilho
865,cobrir,parir
866,cobrir,cobertura
867,cobrir,ultrassonografia
868,cru,alcoólico
869,cru,legislação
870,cru,glóbulo
871,cru,alizarina
872,mamária,bronopol
873,mamária,molibdênio
874,mamária,conservante
875,mamária,tampa
876,sistema,úmer
877,sistema,componente
878,sistema,instalação
879,sistema,imunológico
880,raspar,trator
881,raspar,solúvel
882,raspar,biológico
883,raspar,terapêutico
884,soroterapia,dosagem
885,soroterapia,raspar
886,soroterapia,trator
887,soroterapia,solúvel
888,malha,pressãar
889,malha,ovário
890,malha,termofílica
891,malha,ultrassonografia
892,homeopater,válvula
893,homeopater,secretor
894,homeopater,dactylon
895,homeopater,muco
896,babosa,morcego
897,babosa,textura
898,babosa,avear
899,babosa,respiração
900,muco,homeopater
901,muco,dilatação
902,muco,adiposo
903,muco,nlemfuensis
904,anaeróbio,populaçãar
905,anaeróbio,prostrar
906,anaeróbio,cova
907,anaeróbio,agressivo
908,genótipo,amargo
909,genótipo,psicrotrófica
910,genótipo,parede
911,genótipo,pútridos
912,infraestrutura,máquina
913,infraestrutura,herdar
914,infraestrutura,lesão
915,infraestrutura,tubulação
916,lactente,mamar
917,lactente,desmamar
918,lactente,pé
919,lactente,bezerro
920,gorduroso,sintetizar
921,gorduroso,hipófise
922,gorduroso,masculino
923,gorduroso,gossipol
924,lodo,beladona
925,lodo,gayana
926,lodo,carboidrato
927,lodo,galho
928,anaplasmose,articulação
929,anaplasmose,citoplasma
930,anaplasmose,cisto
931,anaplasmose,invasão
932,coração,babar
933,coração,florescer
934,coração,hematúria
935,coração,mucunoide
936,meloso,pastagem
937,meloso,arborização
938,meloso,desfolha
939,meloso,braquiária
940,pescoço,rim
941,pescoço,enxofrar
942,pescoço,cetônico
943,pescoço,segregação
944,sanitário,rebanho
945,sanitário,reprodutivo
946,sanitário,rebanhar
947,sanitário,clonagem
948,casa,pé
949,casa,mamar
950,casa,lactente
951,casa,descornar
952,ressemeadura,desmembrar
953,ressemeadura,monta
954,ressemeadura,gargalo
955,ressemeadura,terapêutico
956,folicular,enxofrar
957,folicular,régua
958,folicular,peniano
959,folicular,féter
960,tristezar,tricomonose
961,tristezar,abomaso
962,tristezar,fasciolose
963,tristezar,régua
964,carbonato,salinidade
965,carbonato,mole
966,carbonato,elétrico
967,carbonato,água
968,compostagem,imunológico
969,compostagem,treinamento
970,compostagem,sobrevivência
971,compostagem,líquido
972,tampão,aminoácido
973,tampão,aniônico
974,tampão,marcação
975,tampão,casco
976,anticorpo,pequeno
977,anticorpo,lote
978,anticorpo,seca
979,anticorpo,interferir
980,cítrico,papelão
981,cítrico,nebulização
982,cítrico,hidratação
983,cítrico,superfosfato
984,fosfato,natural
985,fosfato,monta
986,fosfato,ressemeadura
987,fosfato,artificial
988,tecido,cru
989,tecido,bacteriano
990,tecido,entrada
991,tecido,frasco
992,protozoário,medo
993,protozoário,veneno
994,protozoário,campilobacteriose
995,protozoário,reação
996,bezerro,mamar
997,bezerro,presença
998,bezerro,cuidado
999,bezerro,lactente
1000,vício,arrepiar
1001,vício,abdômen
1002,vício,cauda
1003,vício,estereotipia
1004,diarreia,infeccioso
1005,diarreia,abrigo
1006,diarreia,doença
1007,diarreia,tuberculose
1008,braquiara,macrocephala
1009,braquiara,junta
1010,braquiara,gêmeo
1011,braquiara,dilatação
1012,capim,braquiária
1013,capim,ouvir
1014,capim,extração
1015,capim,placa
1016,população,sexar
1017,população,microbiano
1018,população,baixo
1019,população,parasitismo
1020,gaiola,coproduto
1021,gaiola,bicarbonato
1022,gaiola,abate
1023,gaiola,nlemfuensil
1024,injetável,spray
1025,injetável,acupuntura
1026,injetável,dorso
1027,injetável,endereço
1028,energético,vacar
1029,energético,balanço
1030,energético,lactação
1031,energético,descartar
1032,patogênico,segurar
1033,patogênico,escuro
1034,patogênico,cápsula
1035,patogênico,selo
1036,aferição,parede
1037,aferição,traumatismo
1038,aferição,genótipo
1039,aferição,multípara
1040,húmu,ácidos
1041,húmu,nitrogênio
1042,húmu,análise
1043,húmu,placa
1044,peniano,bovina
1045,peniano,segregação
1046,peniano,cetônico
1047,peniano,metal
1048,rendimento,sensorial
1049,rendimento,estrangulamento
1050,rendimento,vanádio
1051,rendimento,portador
1052,dilatar,metionina
1053,dilatar,enxofrar
1054,dilatar,rim
1055,dilatar,iodato
1056,prurir,florescer
1057,prurir,excitabilidade
1058,prurir,hematúria
1059,prurir,toxicidade
1060,face,spray
1061,face,injetável
1062,face,vaginal
1063,face,dorso
1064,patógeno,gel
1065,patógeno,microbiana
1066,patógeno,fígar
1067,patógeno,espermático
1068,detenção,via
1069,detenção,lençol
1070,detenção,argila
1071,detenção,rizoma
1072,inseto,mosca
1073,inseto,berne
1074,inseto,densidade
1075,inseto,verme
1076,seleno,solubilil
1077,seleno,retal
1078,seleno,óvulo
1079,seleno,espessura
1080,aspersor,pivô
1081,aspersor,touceira
1082,aspersor,malha
1083,aspersor,estimular
1084,desânimo,endereço
1085,desânimo,carbúnculo
1086,desânimo,olho
1087,desânimo,acupuntura
1088,desmame,desaleitar
1089,desmame,natura
1090,desmame,gargalo
1091,desmame,freezer
1092,lagoa,líquido
1093,lagoa,esterco
1094,lagoa,arbóreo
1095,lagoa,hospedeiro
1096,cama,aviário
1097,cama,leito
1098,cama,cordiforme
1099,cama,brasilense
1100,acidose,pútridos
1101,acidose,embalagem
1102,acidose,amargo
1103,acidose,ruminante
1104,mitocondrial,medo
1105,mitocondrial,madeira
1106,mitocondrial,maximização
1107,mitocondrial,oócito
1108,ataque,pyramidalis
1109,ataque,decumbente
1110,ataque,butírico
1111,ataque,phaseoloide
1112,leucena,leucocephalar
1113,leucena,barato
1114,leucena,guandu
1115,leucena,prostaglandina
1116,tumor,mutação
1117,tumor,infecçãar
1118,tumor,florescimento
1119,tumor,excremento
1120,proteico,nitrogênio
1121,proteico,cortar
1122,proteico,calagem
1123,proteico,tolerante
1124,somático,célula
1125,somático,corpo
1126,somático,condensar
1127,somático,inflamatório
1128,concentrado,concentrar
1129,concentrado,volumoso
1130,concentrado,alimento
1131,concentrado,unidade
1132,hominivorax,ptaquiloser
1133,hominivorax,metacercária
1134,hominivorax,icterícia
1135,hominivorax,irritação
1136,metal,segregação
1137,metal,cetônico
1138,metal,peniano
1139,metal,prostaglandina
1140,acidificar,obesidade
1141,acidificar,guianesil
1142,acidificar,clorótico
1143,acidificar,estria
1144,lisa,via
1145,lisa,pubescem
1146,lisa,estiagem
1147,lisa,antitóxico
1148,reincidência,forragear
1149,reincidência,argila
1150,reincidência,dossel
1151,reincidência,orvalho
1152,abomaso,solubilil
1153,abomaso,mutante
1154,abomaso,fasciolose
1155,abomaso,tristezar
1156,solúvel,biológico
1157,solúvel,gasoso
1158,solúvel,hematúria
1159,solúvel,estolão
1160,panicum,spray
1161,panicum,junto
1162,panicum,injetável
1163,panicum,dorso
1164,herança,necropsia
1165,herança,miíase
1166,herança,fetal
1167,herança,encharcamento
1168,choque,leito
1169,choque,fotossensibilização
1170,choque,toxidez
1171,choque,brasilense
1172,sucedâneo,utensílio
1173,sucedâneo,adulteração
1174,sucedâneo,balde
1175,sucedâneo,colônia
1176,estaçãar,florir
1177,estaçãar,gayana
1178,estaçãar,rizomatoso
1179,estaçãar,ancep
1180,antitóxico,antialérgico
1181,antitóxico,antisséptico
1182,antitóxico,estria
1183,antitóxico,pubescem
1184,artificial,procedimento
1185,artificial,natural
1186,artificial,rebanhar
1187,artificial,alta
1188,solubilizados,iodato
1189,solubilizados,regador
1190,solubilizados,teta
1191,solubilizados,metionina
1192,embarcadouro,lacrado
1193,embarcadouro,cesariana
1194,embarcadouro,seringa
1195,embarcadouro,espermograma
1196,colorir,bastão
1197,colorir,ovariana
1198,colorir,pata
1199,colorir,aureus
1200,alcalinidade,casco
1201,alcalinidade,tostagem
1202,alcalinidade,aminoácido
1203,alcalinidade,fresca
1204,entrada,morte
1205,entrada,doador
1206,entrada,tecido
1207,entrada,médico
1208,mosca,berne
1209,mosca,deslocamento
1210,mosca,alcalinidade
1211,mosca,spraying
1212,volumoso,concentrar
1213,volumoso,concentrado
1214,volumoso,suplementar
1215,volumoso,alimento
1216,iodofórmio,nitrato
1217,iodofórmio,entressafra
1218,iodofórmio,rizomatoso
1219,iodofórmio,ferrar
1220,bomba,semissólido
1221,bomba,integração
1222,bomba,pescoço
1223,bomba,peniano
1224,reidrata,armadilha
1225,reidrata,erosãar
1226,reidrata,hipoclorito
1227,reidrata,cordão
1228,insumo,doloroso
1229,insumo,substância
