"index";"from";"to"
143;"agricultura";"nitrogênio"
144;"agricultura";"fazenda"
145;"agricultura";"eficiência"
146;"agricultura";"medicamento"
147;"agricultura";"fibra"
148;"agricultura";"energia"
149;"agricultura";"resíduo"
150;"partícula";"energia"
151;"corporal";"aborto"
152;"corporal";"útero"
153;"corporal";"enfermidade"
154;"corporal";"dano"
155;"corporal";"parto"
156;"corporal";"dor"
157;"selênio";"mineral"
158;"selênio";"fósforo"
159;"selênio";"sólido"
160;"selênio";"cobalto"
161;"selênio";"magnésio"
162;"selênio";"sódio"
163;"selênio";"alumínio"
164;"selênio";"cálcio"
165;"selênio";"composto orgânico"
166;"selênio";"vida"
167;"selênio";"água"
168;"imunoglobulina";"infecção"
169;"imunoglobulina";"ureia"
170;"imunoglobulina";"cavalo"
171;"imunoglobulina";"ph"
172;"imunoglobulina";"inflamação"
173;"imunoglobulina";"clonagem"
174;"imunoglobulina";"gene"
175;"imunoglobulina";"bactéria"
176;"imunoglobulina";"parasitismo"
177;"imunoglobulina";"genoma"
178;"imunoglobulina";"sangue"
179;"imunoglobulina";"organismo"
180;"imunoglobulina";"proteína"
181;"maneira";"papel"
182;"maneira";"nutriente"
183;"maneira";"árvore"
184;"maneira";"orgânico"
185;"maneira";"fibra"
186;"maneira";"energia"
187;"maneira";"planta"
188;"maneira";"célula"
189;"maneira";"inseto"
190;"maneira";"solo"
191;"maneira";"espécie"
192;"maneira";"polpa"
193;"maneira";"semente"
194;"maneira";"água"
195;"deixar";"brasil"
196;"feita";"banco"
197;"aproveitamento";"arquitetura"
198;"etéreo";"brasil"
199;"comportamento";"animai"
200;"comportamento";"clínica"
201;"comportamento";"glândula"
202;"comportamento";"inseto"
203;"comportamento";"gene"
204;"comportamento";"espécie"
205;"comportamento";"reação"
206;"comportamento";"ambiente"
207;"comportamento";"cultura"
208;"utilizá";"consumo"
209;"utilizá";"arquitetura"
210;"utilizá";"indústria"
211;"utilizá";"máquina"
212;"utilizá";"química"
213;"utilizá";"agricultura"
214;"mercado";"indústria"
215;"mercado";"eficiência"
216;"mercado";"transporte"
217;"mercado";"agricultura"
218;"mercado";"mercado"
219;"mercado";"produção"
220;"mercado";"cultura"
221;"papel";"árvore"
222;"papel";"fibra"
223;"papel";"folha"
224;"papel";"madeira"
225;"papel";"qualidade"
226;"papel";"suporte"
227;"kg";"kg"
228;"kg";"peso"
229;"sólido";"líquido"
230;"sólido";"volume"
231;"sólido";"partícula"
232;"sólido";"forma"
233;"sólido";"matéria"
234;"sólido";"água"
235;"cavalos";"inverno"
236;"cavalos";"raça"
237;"cavalos";"brasil"
238;"cavalos";"transporte"
239;"cavalos";"agricultura"
240;"cavalos";"animal"
241;"cavalos";"espécie"
242;"cavalos";"genética"
243;"confinada";"brasil"
244;"hormônio";"placenta"
245;"hormônio";"sangue"
246;"hormônio";"célula"
247;"hormônio";"hormônio"
248;"hormônio";"ovário"
249;"hormônio";"reprodução"
250;"hormônio";"organismo"
251;"produçõe";"necessidade"
252;"produçõe";"indústria"
253;"produçõe";"eficiência"
254;"produçõe";"serviço"
255;"produçõe";"transporte"
256;"produçõe";"agricultura"
257;"produçõe";"produto"
258;"produçõe";"processo"
259;"produçõe";"produtividade"
260;"produçõe";"cultura"
261;"produçõe";"custo"
262;"eficiente";"indústria"
263;"eficiente";"transporte"
264;"eficiente";"agricultura"
265;"eficiente";"energia"
266;"eficiente";"produção"
267;"eficiente";"cultura"
268;"eficiente";"calor"
269;"evitar";"brasil"
270;"evitar";"tanzânia"
271;"evitar";"espécie"
272;"bovino";"zebu"
273;"bovino";"carne"
274;"bovino";"animal"
275;"bovino";"pasto"
276;"bovino";"leite"
277;"bovino";"chifre"
278;"agentes";"brasil"
279;"produzida";"brasil"
280;"produzida";"açúcar"
281;"produzida";"água"
282;"bons";"cultura"
283;"ha";"área"
284;"infecção";"brasil"
285;"infecção";"microrganismo"
286;"infecção";"inflamação"
287;"infecção";"doença"
288;"infecção";"bactéria"
289;"infecção";"antibiótico"
290;"infecção";"organismo"
291;"contaminem";"área"
292;"cana";"fósforo"
293;"cana";"açúcar"
294;"cana";"adubo"
295;"cana";"forrageira"
296;"cana";"brasil"
297;"cana";"espécie"
298;"cana";"clima temperado"
299;"cana";"milho"
300;"cana";"leguminosa"
301;"cana";"gramínea"
302;"cana";"sorgo"
303;"cana";"cultivar"
304;"cana";"europeu"
305;"cana";"inflorescência"
306;"vaca";"radiação solar"
307;"vaca";"fêmea"
308;"vaca";"cavalo"
309;"vaca";"zebu"
310;"vaca";"produtividade"
311;"vaca";"macho"
312;"vaca";"guzerá"
313;"vaca";"espécie"
314;"vaca";"reprodução"
315;"vaca";"bezerro"
316;"vaca";"sêman"
317;"vaca";"elefante"
318;"vaca";"útero"
319;"vaca";"bovino"
320;"vaca";"carne"
321;"vaca";"animal"
322;"vaca";"espermatozoide"
323;"vaca";"leite"
324;"vaca";"inseminação artificial"
325;"vaca";"gir"
326;"vaca";"chifre"
327;"vaca";"rúman"
328;"vaca";"brasil"
329;"vaca";"melhoramento genético"
330;"vaca";"calor"
331;"aéreos";"brasil"
332;"vacas";"radiação solar"
333;"vacas";"fêmea"
334;"vacas";"cavalo"
335;"vacas";"zebu"
336;"vacas";"produtividade"
337;"vacas";"macho"
338;"vacas";"guzerá"
339;"vacas";"espécie"
340;"vacas";"reprodução"
341;"vacas";"bezerro"
342;"vacas";"sêman"
343;"vacas";"elefante"
344;"vacas";"útero"
345;"vacas";"bovino"
346;"vacas";"carne"
347;"vacas";"animal"
348;"vacas";"espermatozoide"
349;"vacas";"leite"
350;"vacas";"inseminação artificial"
351;"vacas";"gir"
352;"vacas";"chifre"
353;"vacas";"rúman"
354;"vacas";"brasil"
355;"vacas";"melhoramento genético"
356;"vacas";"calor"
357;"início";"banco"
358;"touro";"brasil"
359;"currais";"arquitetura"
360;"currais";"touro"
361;"currais";"bovino"
362;"currais";"brasil"
363;"currais";"agricultura"
364;"currais";"milho"
365;"currais";"população"
366;"currais";"curral"
367;"parir";"brasil"
368;"parir";"literatura"
369;"parir";"indústria"
370;"parir";"calcário"
371;"reprodutiva";"fêmea"
372;"reprodutiva";"mosca"
373;"reprodutiva";"célula"
374;"reprodutiva";"macho"
375;"reprodutiva";"bactéria"
376;"reprodutiva";"ovo"
377;"reprodutiva";"espécie"
378;"reprodutiva";"ovário"
379;"reprodutiva";"organismo"
380;"reprodutiva";"alimento"
381;"reprodutiva";"temperatura"
382;"reprodutiva";"mãe"
383;"reprodutiva";"alimentação"
384;"reprodutiva";"genética"
385;"reprodutiva";"semente"
386;"reprodutiva";"animal"
387;"reprodutiva";"clonagem"
388;"reprodutiva";"dna"
389;"reprodutiva";"inseto"
390;"reprodutiva";"vida"
391;"reprodutiva";"ambiente"
392;"reprodutiva";"sexo"
393;"reprodutiva";"gene"
394;"genoma";"célula"
395;"genoma";"dna"
396;"genoma";"gene"
397;"genoma";"bactéria"
398;"genoma";"espécie"
399;"genoma";"genética"
400;"genoma";"organismo"
401;"parasita";"infecção"
402;"parasita";"alimentação"
403;"parasita";"doença"
404;"parasita";"parasitismo"
405;"parasita";"bactéria"
406;"parasita";"ovo"
407;"parasita";"espécie"
408;"parasita";"reprodução"
409;"parasita";"organismo"
410;"pasto";"fazenda"
411;"pasto";"ração"
412;"pasto";"irrigação"
413;"pasto";"milho"
414;"pasto";"agricultura"
415;"finalidade";"padrão"
416;"finalidade";"sistema"
417;"finalidade";"espécie"
418;"sangue";"nutriente"
419;"sangue";"doença"
420;"sangue";"inseto"
421;"sangue";"hormônio"
422;"sangue";"vida"
423;"sangue";"antibiótico"
424;"lotação";"brasil"
425;"lotação";"cavalo"
426;"lotação";"paí"
427;"lotação";"transporte"
428;"lotação";"vida"
429;"lotação";"taxon"
430;"lotação";"água"
431;"purpureum";"brasil"
432;"purpureum";"pennisetum"
433;"purpureum";"espécie"
434;"seco";"superfície"
435;"seco";"água"
436;"ensilagem";"estiagem"
437;"ensilagem";"alfafa"
438;"ensilagem";"gado"
439;"ensilagem";"leguminosa"
440;"ensilagem";"fermentação"
441;"ensilagem";"bactéria"
442;"ensilagem";"proteína"
443;"ensilagem";"forragem"
444;"ensilagem";"intoxicação"
445;"ensilagem";"milho"
446;"ensilagem";"fenação"
447;"ensilagem";"alimentação"
448;"ensilagem";"ph"
449;"ensilagem";"gramínea"
450;"ensilagem";"pasto"
451;"ensilagem";"açúcar"
452;"ensilagem";"inverno"
453;"ensilagem";"nutriente"
454;"ensilagem";"ensilagem"
455;"ensilagem";"planta"
456;"ensilagem";"sorgo"
457;"ensilagem";"matéria seca"
458;"ensilagem";"queijo"
459;"ensilagem";"silo"
460;"contagem";"brasil"
461;"contagem";"população"
462;"fabricante";"eficiência"
463;"fabricante";"transporte"
464;"fabricante";"agricultura"
465;"fabricante";"mercado"
466;"fabricante";"qualidade"
467;"fabricante";"produção"
468;"fabricante";"cultura"
469;"lavoura";"agricultura"
470;"incorporado";"brasil"
471;"incorporado";"literatura"
472;"salientar";"brasil"
473;"usado";"brasil"
474;"atendendo";"contagem"
475;"atendendo";"açúcar"
476;"atendendo";"serviço"
477;"atendendo";"região"
478;"atendendo";"brasil"
479;"atendendo";"mestiço"
480;"atendendo";"agricultura"
481;"atendendo";"clima temperado"
482;"atendendo";"energia"
483;"atendendo";"carne"
484;"atendendo";"média"
485;"atendendo";"paí"
486;"atendendo";"população"
487;"atendendo";"cerrado"
488;"atendendo";"madeira"
489;"atendendo";"cultura"
490;"madeira";"papel"
491;"madeira";"nutriente"
492;"madeira";"árvore"
493;"madeira";"orgânico"
494;"madeira";"fibra"
495;"madeira";"energia"
496;"madeira";"planta"
497;"madeira";"célula"
498;"madeira";"inseto"
499;"madeira";"solo"
500;"madeira";"espécie"
501;"madeira";"polpa"
502;"madeira";"semente"
503;"madeira";"água"
504;"fêmea";"espermatozoide"
505;"fêmea";"macho"
506;"fêmea";"sexo"
507;"minerai";"fósforo"
508;"minerai";"alimento"
509;"minerai";"fosfato"
510;"minerai";"sólido"
511;"minerai";"magnésio"
512;"minerai";"cálcio"
513;"minerai";"sal"
514;"minerai";"composição química"
515;"bovinos";"zebu"
516;"bovinos";"carne"
517;"bovinos";"animal"
518;"bovinos";"pasto"
519;"bovinos";"leite"
520;"bovinos";"chifre"
521;"econômica";"consumo"
522;"econômica";"longo prazo"
523;"econômica";"paí"
524;"econômica";"banco"
525;"econômica";"agricultura"
526;"econômica";"mercado"
527;"econômica";"declive"
528;"econômica";"dado"
529;"econômica";"produção"
530;"econômica";"cultura"
531;"econômica";"custo"
532;"vivo";"brasil"
533;"vivo";"piquete"
534;"importantes";"pesquisa"
535;"importantes";"contagem"
536;"importantes";"indústria"
537;"importantes";"vacina"
538;"importantes";"arquitetura"
539;"importantes";"temperatura"
540;"importantes";"serviço"
541;"importantes";"legislação"
542;"importantes";"solo"
543;"importantes";"literatura"
544;"importantes";"cultura"
545;"importantes";"água"
546;"importantes";"inverno"
547;"importantes";"umidade relativa"
548;"importantes";"transporte"
549;"importantes";"banco"
550;"importantes";"mercado"
551;"importantes";"produção"
552;"importantes";"brasil"
553;"importantes";"população"
554;"importantes";"lotação"
555;"geneticamente";"animai"
556;"geneticamente";"agricultura"
557;"geneticamente";"planta"
558;"geneticamente";"dna"
559;"geneticamente";"gene"
560;"geneticamente";"variabilidade genética"
561;"geneticamente";"genoma"
562;"geneticamente";"organismo"
563;"geneticamente";"proteína"
564;"níveis";"inclinação"
565;"forrageiro";"alfafa"
566;"forrageiro";"gado"
567;"forrageiro";"agricultura"
568;"forrageiro";"aveia"
569;"forrageiro";"alimentação"
570;"forrageiro";"pasto"
571;"forrageiro";"solo"
572;"forrageiro";"vaca"
573;"forrageiro";"carrapato"
574;"parasitária";"babesiose"
575;"dieta";"médico"
576;"dieta";"arquitetura"
577;"dieta";"vitamina"
578;"dieta";"química"
579;"azevém";"espécie"
580;"equinos";"animal"
581;"equinos";"cavalo"
582;"informaçõe";"consumo"
583;"informaçõe";"padrão"
584;"informaçõe";"controle"
585;"informaçõe";"forma"
586;"informaçõe";"dado"
587;"informaçõe";"cultura"
588;"nitrogênio";"fósforo"
589;"nitrogênio";"alimento"
590;"nitrogênio";"ureia"
591;"nitrogênio";"sal"
592;"nitrogênio";"cobalto"
593;"nitrogênio";"selênio"
594;"nitrogênio";"leguminosa"
595;"nitrogênio";"magnésio"
596;"nitrogênio";"sódio"
597;"nitrogênio";"contaminação"
598;"nitrogênio";"alumínio"
599;"nitrogênio";"cálcio"
600;"nitrogênio";"médico"
601;"nitrogênio";"estrela"
602;"nitrogênio";"antibiótico"
603;"nitrogênio";"proteína"
604;"calcário";"ph"
605;"calcário";"fosfato"
606;"calcário";"cálcio"
607;"calcário";"agricultura"
608;"sexo";"animai"
609;"sexo";"comportamento"
610;"sexo";"vagina"
611;"sexo";"fêmea"
612;"sexo";"célula"
613;"sexo";"espermatozoide"
614;"sexo";"inseto"
615;"sexo";"bactéria"
616;"sexo";"macho"
617;"sexo";"espécie"
618;"sexo";"genético"
619;"sexo";"reprodução"
620;"sexo";"cultura"
621;"gerente";"brasil"
622;"gerente";"controle"
623;"zebu";"raça"
624;"zebu";"bovino"
625;"zebu";"brasil"
626;"zebu";"carne"
627;"zebu";"guzerá"
628;"zebu";"animal"
629;"zebu";"leite"
630;"zebu";"espécie"
631;"zebu";"gir"
632;"imediatamente";"brasil"
633;"imediatamente";"médico"
634;"imediatamente";"água"
635;"veterinário";"rúman"
636;"veterinário";"arquitetura"
637;"veterinário";"alimento"
638;"veterinário";"química"
639;"veterinário";"bovino"
640;"veterinário";"brasil"
641;"veterinário";"gado"
642;"veterinário";"controle"
643;"veterinário";"carne"
644;"veterinário";"doença"
645;"veterinário";"tratamento"
646;"veterinário";"higiene"
647;"veterinário";"leite"
648;"veterinário";"ovo"
649;"veterinário";"médico"
650;"veterinário";"inseminação artificial"
651;"veterinário";"prevenção"
652;"veterinário";"rebanho"
653;"veterinário";"genética"
654;"veterinário";"cultura"
655;"direta";"brasil"
656;"direta";"arquitetura"
657;"direta";"sistema"
658;"direta";"química"
659;"sorgo";"alimento"
660;"sorgo";"brasil"
661;"sorgo";"milho"
662;"sorgo";"solo"
663;"sorgo";"espécie"
664;"rústico";"arquitetura"
665;"detecção";"imunoglobulina"
666;"detecção";"doença"
667;"detecção";"proteína"
668;"imersão";"vida"
669;"imersão";"imersão"
670;"elefante";"arbusto"
671;"elefante";"árvore"
672;"elefante";"cavalo"
673;"elefante";"dna"
674;"elefante";"tanzânia"
675;"vacina";"terapia"
676;"vacina";"infecção"
677;"vacina";"brasil"
678;"vacina";"microrganismo"
679;"vacina";"doença"
680;"vacina";"sistema imunológico"
681;"vacina";"proteína"
682;"consorciação";"agricultura"
683;"consorciação";"solo"
684;"consorciação";"espécie"
685;"estiagem";"irrigação"
686;"estiagem";"temperatura"
687;"estiagem";"ambiente"
688;"estiagem";"semente"
689;"descartável";"produto"
690;"descartável";"durabilidade"
691;"conforto";"brasil"
692;"conforto";"rústico"
693;"conforto";"área"
694;"queijo";"fermentação"
695;"queijo";"doença"
696;"queijo";"lactose"
697;"queijo";"bactéria"
698;"queijo";"proteína"
699;"queijo";"fósforo"
700;"queijo";"alimento"
701;"queijo";"gordura"
702;"queijo";"parto"
703;"queijo";"higiene"
704;"queijo";"pasteurização"
705;"queijo";"bovino"
706;"queijo";"carne"
707;"queijo";"manteiga"
708;"queijo";"leite"
709;"queijo";"vaca"
710;"queijo";"queijo"
711;"queijo";"aborto"
712;"queijo";"brasil"
713;"queijo";"agricultura"
714;"queijo";"cálcio"
715;"garantia";"equipamento"
716;"silo";"limpeza"
717;"silo";"fazenda"
718;"silo";"silagem"
719;"silo";"agricultura"
720;"silo";"umidade"
721;"devendo";"arquitetura"
722;"devendo";"composição"
723;"devendo";"papel"
724;"devendo";"forma"
725;"devendo";"técnica"
726;"devendo";"literatura"
727;"devendo";"superfície"
728;"puro";"puro"
729;"tetos";"brasil"
730;"tetos";"diarreia"
731;"adequado";"comportamento"
732;"adequado";"objetivo"
733;"adequado";"resultado"
734;"limpeza";"brasil"
735;"limpeza";"corpo"
736;"limpeza";"higiene"
737;"limpeza";"água"
738;"regiõe";"paí"
739;"adição";"adição"
740;"animais";"parasita"
741;"animais";"energia"
742;"animais";"alimentação"
743;"animais";"célula"
744;"animais";"animal"
745;"animais";"inseto"
746;"animais";"cálcio"
747;"animais";"matéria"
748;"animais";"espécie"
749;"animais";"ovo"
750;"animais";"vida"
751;"animais";"genética"
752;"animais";"organismo"
753;"animais";"proteína"
754;"escore";"brasil"
755;"plantio";"agricultura"
756;"coast";"paí"
757;"coast";"área"
758;"coast";"umidade relativa"
759;"coast";"população"
760;"vitamina";"infecção"
761;"vitamina";"radiação solar"
762;"vitamina";"magnésio"
763;"vitamina";"célula"
764;"vitamina";"bactéria"
765;"vitamina";"ovo"
766;"vitamina";"organismo"
767;"vitamina";"proteína"
768;"vitamina";"fosfato"
769;"vitamina";"parto"
770;"vitamina";"higiene"
771;"vitamina";"água"
772;"vitamina";"açúcar"
773;"vitamina";"nutriente"
774;"vitamina";"carne"
775;"vitamina";"manteiga"
776;"vitamina";"leite"
777;"vitamina";"composto orgânico"
778;"vitamina";"queijo"
779;"vitamina";"aborto"
780;"vitamina";"diarreia"
781;"vitamina";"agricultura"
782;"vitamina";"cálcio"
783;"vitamina";"dieta"
784;"ambientais";"brasil"
785;"cítrica";"água"
786;"cítrica";"indústria"
787;"cítrica";"in"
788;"cítrica";"fermentação"
789;"cálcio";"mineral"
790;"cálcio";"fósforo"
791;"cálcio";"calcário"
792;"cálcio";"fosfato"
793;"cálcio";"acidez"
794;"cálcio";"cobalto"
795;"cálcio";"selênio"
796;"cálcio";"magnésio"
797;"cálcio";"sódio"
798;"cálcio";"água"
799;"cálcio";"alumínio"
800;"cálcio";"base"
801;"cálcio";"proteína"
802;"babesiose";"antibiótico"
803;"babesiose";"babesia"
804;"babesiose";"febre"
805;"babesiose";"bovino"
806;"atender";"temperatura"
807;"atender";"contagem"
808;"atender";"serviço"
809;"atender";"brasil"
810;"atender";"população"
811;"atender";"cultura"
812;"aparecimento";"melhoramento genético"
813;"puras";"inseminação artificial"
814;"puras";"cavalo"
815;"puras";"raça"
816;"feito";"banco"
817;"forragem";"alfafa"
818;"forragem";"gado"
819;"forragem";"agricultura"
820;"forragem";"aveia"
821;"forragem";"alimentação"
822;"forragem";"pasto"
823;"forragem";"solo"
824;"forragem";"vaca"
825;"forragem";"carrapato"
826;"folha";"inverno"
827;"folha";"nutriente"
828;"folha";"clima temperado"
829;"folha";"capim"
830;"folha";"gramínea"
831;"folha";"volume"
832;"folha";"célula"
833;"folha";"folha"
834;"folha";"madeira"
835;"folha";"espécie"
836;"folha";"vida"
837;"folha";"inflorescência"
838;"folha";"superfície"
839;"folha";"semente"
840;"multípara";"placenta"
841;"multípara";"infecção"
842;"multípara";"árvore"
843;"multípara";"acidez"
844;"multípara";"brasil"
845;"multípara";"útero"
846;"multípara";"lactação"
847;"multípara";"dor"
848;"multípara";"cérvix"
849;"multípara";"hormônio"
850;"multípara";"médico"
851;"multípara";"inseminação artificial"
852;"multípara";"vagina"
853;"multípara";"cultura"
854;"cru";"medicamento"
855;"cru";"brasil"
856;"cru";"acidez"
857;"cru";"água"
858;"cru";"composto orgânico"
859;"cru";"nitrogênio"
860;"proibido";"prática"
861;"proibido";"reprodução"
862;"proibido";"respeito"
863;"proibido";"árvore"
864;"fazenda";"árvore"
865;"fazenda";"brasil"
866;"fazenda";"cavalo"
867;"fazenda";"agricultura"
868;"fazenda";"gado"
869;"fazenda";"irrigação"
870;"sódio";"mineral"
871;"sódio";"fósforo"
872;"sódio";"sólido"
873;"sódio";"cobalto"
874;"sódio";"selênio"
875;"sódio";"nitrogênio"
876;"sódio";"magnésio"
877;"sódio";"alumínio"
878;"sódio";"cálcio"
879;"sódio";"calor"
880;"sódio";"água"
881;"gene";"dna"
882;"gene";"bactéria"
883;"gene";"genoma"
884;"gene";"genética"
885;"gene";"proteína"
886;"somáticas";"célula"
887;"somáticas";"genética"
888;"compostagem";"fósforo"
889;"compostagem";"gordura"
890;"compostagem";"proteína"
891;"compostagem";"óleo"
892;"compostagem";"nutriente"
893;"compostagem";"legislação"
894;"compostagem";"composto"
895;"compostagem";"agricultura"
896;"compostagem";"ph"
897;"compostagem";"biossólido"
898;"compostagem";"magnésio"
899;"compostagem";"fermentação"
900;"compostagem";"cálcio"
901;"compostagem";"bactéria"
902;"compostagem";"ovo"
903;"compostagem";"solo"
904;"compostagem";"resíduo"
905;"compostagem";"nitrogênio"
906;"aleitamento";"placenta"
907;"aleitamento";"infecção"
908;"aleitamento";"diarreia"
909;"aleitamento";"peso"
910;"aleitamento";"útero"
911;"aleitamento";"parto"
912;"aleitamento";"fertilidade"
913;"aleitamento";"inseminação artificial"
914;"aleitamento";"colostro"
915;"quantidade";"medida"
916;"quantidade";"substância"
917;"quantidade";"forma"
918;"quantidade";"adição"
919;"quantidade";"qualidade"
920;"biológico";"química"
921;"biológico";"mosca"
922;"biológico";"célula"
923;"biológico";"desenvolvimento"
924;"biológico";"bactéria"
925;"biológico";"espécie"
926;"biológico";"genoma"
927;"biológico";"reprodução"
928;"biológico";"organismo"
929;"biológico";"arquitetura"
930;"biológico";"comportamento"
931;"biológico";"ph"
932;"biológico";"sistema imunológico"
933;"biológico";"genética"
934;"biológico";"planta"
935;"biológico";"dna"
936;"biológico";"espermatozoide"
937;"biológico";"vida"
938;"biológico";"ambiente"
939;"biológico";"parasita"
940;"biológico";"agricultura"
941;"biológico";"energia"
942;"biológico";"população"
943;"biológico";"gene"
944;"biológico";"matéria"
945;"qualidade";"eficiência"
946;"qualidade";"serviço"
947;"qualidade";"peso"
948;"qualidade";"produto"
949;"qualidade";"durabilidade"
950;"qualidade";"produtividade"
951;"qualidade";"literatura"
952;"qualidade";"cultura"
953;"qualidade";"água"
954;"plantas";"radiação solar"
955;"plantas";"árvore"
956;"plantas";"irrigação"
957;"plantas";"leguminosa"
958;"plantas";"magnésio"
959;"plantas";"célula"
960;"plantas";"bactéria"
961;"plantas";"espécie"
962;"plantas";"organismo"
963;"plantas";"mineral"
964;"plantas";"fez"
965;"plantas";"fósforo"
966;"plantas";"arbusto"
967;"plantas";"gramínea"
968;"plantas";"solo"
969;"plantas";"taxon"
970;"plantas";"genética"
971;"plantas";"semente"
972;"plantas";"água"
973;"plantas";"cobalto"
974;"plantas";"animal"
975;"plantas";"inseto"
976;"plantas";"madeira"
977;"plantas";"sal"
978;"plantas";"inflorescência"
979;"plantas";"ambiente"
980;"plantas";"vida"
981;"plantas";"sexo"
982;"plantas";"fazenda"
983;"plantas";"parasita"
984;"plantas";"agricultura"
985;"plantas";"energia"
986;"plantas";"folha"
987;"plantas";"parasitismo"
988;"plantas";"matéria"
989;"plantas";"cálcio"
990;"xaraés";"crônica"
991;"alimentar";"energia"
992;"alimentar";"alimentação"
993;"alimentar";"inseto"
994;"alimentar";"bactéria"
995;"alimentar";"vaca"
996;"alimentar";"produtor"
997;"alimentar";"organismo"
998;"desinfetante";"célula"
999;"desinfetante";"ph"
1000;"desinfetante";"proteína"
1001;"europeia";"indústria"
1002;"europeia";"aborto"
1003;"europeia";"máquina"
1004;"europeia";"região"
1005;"europeia";"paí"
1006;"europeia";"transporte"
1007;"europeia";"clima temperado"
1008;"europeia";"agricultura"
1009;"europeia";"área"
1010;"europeia";"econômica"
1011;"europeia";"população"
1012;"europeia";"doença"
1013;"europeia";"literatura"
1014;"europeia";"cultura"
1015;"puros";"diarreia"
1016;"puros";"intestino delgado"
1017;"puros";"nutriente"
1018;"puros";"hormônio"
1019;"água";"líquido"
1020;"água";"irrigação"
1021;"água";"célula"
1022;"água";"produtividade"
1023;"água";"doença"
1024;"água";"lavoura"
1025;"água";"bactéria"
1026;"água";"estrela"
1027;"água";"organismo"
1028;"água";"proteína"
1029;"água";"limpeza"
