index;from;to
250;"samambaia";"tristezar"
251;"inverno";"forrageira"
252;"tricros";"raça"
253;"aquilinum";"samambaia"
254;"homeopático";"animal"
255;"medicamento";"vaca"
256;"mestiço";"rebanho"
257;"animal";"superpastejo"
258;"leiteiro";"raça"
259;"vaca";"corporal"
260;"solo";"procedimento"
261;"rebanho";"embrião"
262;"fêmea";"macho"
263;"mocho";"heterozigoto"
264;"frasco";"pé"
265;"frasco";"adesivo"
266;"decomposição";"orgânico"
267;"consumir";"animal"
268;"lactação";"taxa"
269;"água";"vaca"
270;"nitrogênio";"leguminoso"
271;"plantio";"método"
272;"bom";"perfil"
273;"rebanho";"leiteiro"
274;"mamário";"glândula"
275;"taxa";"rebanho"
276;"filho";"rebanho"
277;"mineral";"suplementar"
278;"nutricional";"lote"
279;"alto";"água"
280;"interferir";"animal"
281;"vaca";"natural"
282;"cooler";"vacina"
283;"aeração";"pilha"
284;"concentração";"salinidade"
285;"gene";"maneira"
286;"medida";"animal"
287;"parto";"dieta"
288;"animal";"clonagem"
289;"mocho";"gene"
290;"brinco";"bezerro"
291;"brachiaria";"ruziziensil"
292;"gir";"vaca"
293;"leguminoso";"pastagem"
294;"água";"transição"
295;"consumir";"bezerro"
296;"leguminoso";"maneira"
297;"raspar";"esterco"
298;"clínico";"subclínico"
299;"coliforme";"infecção"
300;"vacina";"clínico"
301;"água";"forragem"
302;"lactação";"energético"
303;"ração";"desmamar"
304;"lote";"médio"
305;"animal";"entrar"
306;"cultura";"líquido"
307;"microbiano";"mineral"
308;"bezerro";"abrigo"
309;"médio";"gir"
310;"bom";"genético"
311;"agudo";"animal"
312;"heterose";"vaca"
313;"solo";"nutricional"
314;"holandês";"heterose"
315;"mestiço";"animais"
316;"febre";"animal"
317;"lactação";"fator"
318;"bom";"lote"
319;"planta";"animal"
320;"corporal";"fisiológico"
321;"subnutrição";"vaca"
322;"pelar";"água"
323;"útero";"vaca"
324;"germinação";"plântula"
325;"nuclear";"cromossomo"
326;"grande";"vaca"
327;"técnico";"genético"
328;"população";"microbiano"
329;"novilho";"simulação"
330;"mocho";"acasalamento"
331;"infectar";"célula"
332;"bom";"ouvir"
333;"coliforme";"bactéria"
334;"bom";"aproveitamento"
335;"espécie";"tratamento"
336;"silagem";"concentrar"
337;"alimento";"meio"
338;"animal";"avó"
339;"glândular";"mamário"
340;"hormônio";"reprodutivo"
341;"chifre";"homozigoto"
342;"chuva";"pastagem"
343;"chifre";"mocho"
344;"mosca";"larva"
345;"somático";"gel"
346;"pesar";"vaca"
347;"vaca";"prever"
348;"sistema";"esterco"
349;"puro";"cruzamento"
