,term1,term2,value
958,pastejo, espécie,8
962,teor, gordura,8
963,concentração, alimento,8
964,concentração, bom,8
965,concentração, nutriente,8
966,concentração, pequeno,8
967,concentração, proteína,8
969,cobrir, cocho,8
973,mãe, bezerro,8
974,energético, lactação,8
976,forrageiro, espécie,8
977,ordenhador, ordenha,8
978,taxa, pastagem,8
979,animal, baixo,8
980,animal, brachiaria,8
981,animal, filho,8
982,animal, heterose,8
983,animal, holandês,8
984,animal, identificar,8
985,animal, médio,8
986,animal, tóxico,8
987,animal, zebuína,8
989,aveia, avear,8
997,artificial, vaca,8
998,base, volumoso,8
999,chuva, solo,8
1000,sistema, cultura,8
1001,sistema, esterco,8
1002,sistema, forrageira,8
1003,sistema, instalação,8
1004,sistema, pastejo,8
1005,sistema, solo,8
1006,dieta, animal,8
1007,dieta, concentrado,8
1008,dieta, volumoso,8
1009,cultura, forrageira,8
1010,cultura, solo,8
1012,salobrar, água,8
1013,velho, vaca,8
1014,inseminador, cobrir,8
1015,fosfato, natural,8
1016,população, microbiano,8
1017,recomendação, seco,8
1019,lactose, gordura,8
1024,risco, vaca,8
1025,lactação, bezerro,8
1026,lactação, pequeno,8
1027,mestiço, holandês,8
1028,alimento, proteína,8
1029,modo, vaca,8
1030,concentrar, bom,8
1031,concentrar, ração,8
1032,espécie, forrageiro,8
1033,espécie, grande,8
1034,espécie, pastejo,8
1035,parasitário, bovino,8
1036,gordura, parto,8
1037,holandês, gir,8
1038,limpo, vaca,8
1039,zebuínos, zebuíno,8
1042,forragem, forrageira,8
1043,forragem, solo,8
1047,genético, vaca,8
1048,alto, forrageira,8
1049,alto, forragem,8
1050,alto, proteína,8
1051,maneira, bom,8
1052,imunológico, sistema,8
1053,precoce, bezerro,8
1058,volumoso, mineral,8
1069,parto, gordura,8
1070,parto, grande,8
1071,parto, proteína,8
1072,parte, bom,8
1073,suplemento, suplementar,8
1074,acasalamento, acasalar,8
1075,zebuínas, animal,8
1076,zebuínas, gir,8
1079,calcário, solo,8
1080,cruzamento, bom,8
1081,cruzamento, zebuína,8
1091,aproveitamento, aproveitar,8
1099,proteína, alto,8
1100,desmama, desmamar,8
1101,desmame, desmamar,8
1107,semente, germinação,8
1108,zebuína, animal,8
1109,zebuína, gir,8
1111,sede, afetar,8
1112,sede, aveia,8
1113,sede, calagem,8
1114,sede, capineiro,8
1115,sede, cerca,8
1116,sede, desinfecção,8
1117,sede, dose,8
1118,sede, ensilar,8
1119,sede, guzerá,8
1120,sede, infeccioso,8
1121,sede, interferir,8
1122,sede, manual,8
1123,sede, nutritivo,8
1124,sede, parasita,8
1125,sede, quente,8
1126,sede, sanitário,8
1127,sede, sexo,8
1128,sede, somático,8
1129,sede, superpastejo,8
1130,sede, vitro,8
1131,sede, zebu,8
1132,sede, ácidos,8
1133,sede, árvore,8
1134,silo, compactação,8
1135,identificar, animal,8
1136,máximo, animais,8
1137,máximo, natural,8
1138,máximo, parte,8
1139,máximo, sistema,8
1140,máximo, água,8
1141,vitamina, vaca,8
1142,filho, animal,8
1145,puro, cruzamento,8
1146,salobra, água,8
1147,balancear, dieta,8
1148,método, bom,8
1149,cobre, bom,8
1150,cobre, cocho,8
1151,cobre, mineral,8
1159,sanitário, bom,8
1160,sanitário, rebanho,8
1161,obeso, vaca,7
1162,mamário, glândula,7
1163,mamária, glândula,7
1167,leguminoso, nitrogênio,7
1168,superpastejo, pastagem,7
1170,biológico, sistema,7
1171,mocha, chifre,7
1172,mineral, água,7
1173,variação, forrageira,7
1174,variação, pastagem,7
1175,variação, solo,7
1176,entrar, vaca,7
1177,ordenha, mecânico,7
1178,mocho, chifre,7
1179,apetite, febre,7
1182,gênero, gênerar,7
1183,medida, doença,7
1184,orgânico, resíduo,7
1185,fator, pastagem,7
1186,elevar, doença,7
1187,elevar, forrageiro,7
1188,elevar, solo,7
1189,principal, doença,7
1190,principal, instalação,7
1191,principal, sistema,7
1192,pastejo, grande,7
1193,pastejo, sistema,7
1195,bovino, agente,7
1196,teor, seco,7
1197,meio, bom,7
1198,cobrir, bom,7
1203,agente, animal,7
1204,silagem, volumoso,7
1206,forrageiro, bom,7
1207,forrageiro, elevar,7
1208,ordenhador, mecânico,7
1209,forrageira, animais,7
1210,forrageira, baixo,7
1211,forrageira, exigência,7
1212,forrageira, forragem,7
1213,forrageira, grande,7
1214,forrageira, vaca,7
1215,abrigo, bezerro,7
1216,animal, agente,7
1217,animal, infecção,7
1218,animal, lote,7
1219,animal, novilho,7
1220,animal, oferecer,7
1221,animal, organismo,7
1222,animal, parto,7
1223,animal, proteína,7
1224,animal, resíduo,7
1225,animal, samambaia,7
1226,componente, animal,7
1227,aveia, plantio,7
1228,planta, bom,7
1229,planta, grande,7
1230,planta, pastejo,7
1231,planta, pequeno,7
1234,humidicola, brachiaria,7
1237,base, concentrar,7
1238,chuva, pastagem,7
1239,sistema, imunológico,7
1240,sistema, natural,7
1241,sistema, principal,7
1243,dieta, animais,7
1244,dieta, base,7
1246,associação, espécie,7
1247,associação, pastagem,7
1248,braquiária, espécie,7
1249,fosfato, fósforo,7
1250,partícula, pequeno,7
1251,reprodutivo, raça,7
1252,manual, ordenha,7
1253,infeccioso, doença,7
1254,recomendação, animal,7
1255,recomendação, bom,7
1256,recomendação, dieta,7
1257,recomendação, solo,7
1258,lactose, proteína,7
1259,exigência, forrageira,7
1260,água, bom,7
1261,água, concentrar,7
1266,lactação, energético,7
1267,lactação, rebanho,7
1268,mestiço, bezerro,7
1269,mestiço, médio,7
1270,mestiço, rebanho,7
1271,tóxico, animal,7
1272,tóxico, pastagem,7
1273,cocho, cobrir,7
1274,mamar, vaca,7
1275,desaleitamento, bezerro,7
1276,organismo, animal,7
1277,oferecer, animal,7
1278,concentrar, alimento,7
1279,concentrar, água,7
1280,espécie, alto,7
1281,espécie, animais,7
1282,espécie, fator,7
1283,topografia, solo,7
1285,instalação, bom,7
1286,objetivo, pastagem,7
1287,objetivo, vaca,7
1288,embrião, vaca,7
1290,gordura, lactose,7
1291,diluição, diluir,7
1292,parasitária, tristeza,7
1293,holandês, cruzamento,7
1294,holandês, zebu,7
1295,holandês, zebuína,7
1304,raça, heterose,7
1305,magnésio, mineral,7
1309,aminoácido, proteína,7
1311,genético, fêmea,7
1312,genético, leiteiro,7
1314,alto, pequeno,7
1315,leiteiro, genético,7
1316,leiteiro, grande,7
1317,leiteiro, parto,7
1318,vacar, lactação,7
1321,volumoso, base,7
1322,volumoso, bom,7
1323,volumoso, concentrado,7
1324,volumoso, proteína,7
1325,volumoso, seco,7
1326,volumoso, silagem,7
1327,tropical, espécie,7
1328,tropical, pastagem,7
1344,parto, gestação,7
1345,parto, infecção,7
1346,parto, mestiço,7
1347,parto, pequeno,7
1348,parto, rebanho,7
1349,acasalamento, genético,7
1350,acasalamento, raça,7
1353,zebuínas, cruzamento,7
1357,humano, animal,7
1358,nutricional, pastagem,7
1359,nutricional, solo,7
1360,cruzamento, cruzar,7
1371,nutriente, mineral,7
1372,tratamento, pastagem,7
1386,proteína, forrageira,7
1387,proteína, seco,7
1388,proteína, volumoso,7
1389,entressafra, vaca,7
1395,semente, pequeno,7
1396,zebuína, cruzamento,7
1397,sede, abrigo,7
1398,sede, anestro,7
1399,sede, apetite,7
1400,sede, biológico,7
1401,sede, brizanthar,7
1402,sede, ciclo,7
1403,sede, componente,7
1404,sede, densidade,7
1405,sede, excesso,7
1406,sede, fibra,7
1407,sede, genoma,7
1408,sede, gradagem,7
1409,sede, gênerar,7
1410,sede, larva,7
1411,sede, lavar,7
1412,sede, lote,7
1413,sede, mecânico,7
1414,sede, mocho,7
1415,sede, morte,7
1416,sede, máquina,7
1417,sede, partícula,7
1418,sede, perder,7
1419,sede, potássio,7
1420,sede, preparar,7
1421,sede, pé,7
1422,sede, rufião,7
1423,sede, ver,7
1424,sede, útero,7
1425,silo, pequeno,7
1426,pé, bezerro,7
1427,secar, vaca,7
1428,nitrogênio, leguminoso,7
1429,cuidado, animal,7
1430,antibiótico, tratamento,7
1431,máximo, bezerro,7
1432,máximo, espécie,7
1433,máximo, garantir,7
1434,máximo, parto,7
1435,máximo, planta,7
1436,microbiano, população,7
1437,microbiana, população,7
1438,brachiaria, forrageira,7
1439,brachiaria, ruziziensil,7
1441,caseína, gordura,7
1442,método, pastagem,7
1443,método, plantio,7
1445,garantir, pastagem,7
1452,tristeza, bovino,7
1453,gradagem, solo,7
1459,gir, zebuína,7
1460,salinidade, água,6
1461,distúrbio, vaca,6
1463,brizantha, decumbem,6
1468,leguminoso, sistema,6
1469,leguminoso, solo,6
1470,calagem, solo,6
1471,térmico, animal,6
1472,vegetal, solo,6
1473,crioscopia, vaca,6
1479,mocha, gene,6
1480,mineral, balancear,6
1481,mineral, lactação,6
1482,mineral, magnésio,6
1483,mineral, volumoso,6
1484,variação, vaca,6
1485,ordenha, bom,6
1486,ordenha, lavar,6
1487,ordenha, mamar,6
1488,ordenha, ordenhador,6
1490,mocho, gene,6
1491,potássio, magnésio,6
1493,palatabilidade, bom,6
1495,núcleo, genético,6
1498,medida, animais,6
1499,medida, medir,6
1500,proteico, nitrogênio,6
1501,doente, animal,6
1502,corporal, perder,6
1503,químico, orgânico,6
1504,guzerá, vaca,6
1505,guzerá, zebuína,6
1506,orgânico, solo,6
1507,fator, bom,6
1508,fator, espécie,6
1509,fator, principal,6
1510,fator, solo,6
1511,fibra, vaca,6
1512,elevar, grande,6
1513,elevar, vaca,6
1514,principal, fator,6
1515,pastejo, forragem,6
1516,pastejo, gramínea,6
1517,pastejo, vaca,6
1520,bovino, doença,6
1521,bovino, parasitário,6
1522,medo, medir,6
1523,interferir, vaca,6
1524,teor, baixo,6
1525,teor, pequeno,6
1526,uterino, infecção,6
1527,físico, animal,6
1528,efeito, animal,6
1529,calórico, estresse,6
1530,concentração, animal,6
1531,concentração, seco,6
1532,concentração, solo,6
1533,trator, vaca,6
1534,germinação, solo,6
1547,energético, vaca,6
1551,mão, vaca,6
1552,perder, corporal,6
1553,hormônio, vaca,6
1555,forrageiro, forragem,6
1556,forrageiro, grande,6
1557,ordenhador, bezerro,6
1558,forrageira, alto,6
1559,forrageira, invasor,6
1560,forrageira, proteína,6
1561,forrageira, semente,6
1562,animal, acasalamento,6
1563,animal, capim,6
1564,animal, componente,6
1565,animal, cuidado,6
1566,animal, dieta,6
1567,animal, doente,6
1568,animal, fêmea,6
1569,animal, físico,6
1570,animal, fósforo,6
1571,animal, maneira,6
1572,animal, meio,6
1573,animal, morte,6
1574,animal, nutriente,6
1575,animal, parte,6
1576,animal, térmico,6
1577,componente, sistema,6
1581,aveia, pastejo,6
1582,planta, plantio,6
1583,decumbem, brizanthar,6
1587,criopreservação, vaca,6
1588,sulco, plantio,6
1597,artificial, grande,6
1598,base, mineral,6
1599,sistema, cruzamento,6
1600,sistema, gramínea,6
1601,sistema, tratamento,6
1602,lote, lactação,6
1603,obtenção, animal,6
1605,dieta, balancear,6
1606,dieta, grande,6
1607,cultura, grande,6
1608,cultura, plantio,6
1609,morte, animal,6
1610,partícula, bezerro,6
1611,reprodutivo, grande,6
1612,fase, bezerro,6
1616,recomendação, forrageira,6
1617,recomendação, pequeno,6
1618,recomendação, plantio,6
1619,recomendação, principal,6
1620,recomendação, técnico,6
1621,lactose, teor,6
1622,exigência, nutricional,6
1623,exigência, vaca,6
1624,água, temperatura,6
1625,água, volumoso,6
1630,lactação, leiteiro,6
1631,lactação, mamário,6
1632,lactação, vacar,6
1633,mestiço, cruzamento,6
1634,mestiço, puro,6
1635,alimento, bezerro,6
1636,desaleitamento, precoce,6
1637,invasor, forrageira,6
1638,invasor, pastagem,6
1639,rebanhar, genético,6
1640,espécie, associação,6
1641,espécie, brachiaria,6
1642,espécie, braquiária,6
1643,espécie, tropical,6
1647,instalação, bezerro,6
1648,instalação, grande,6
1649,gramínea, brachiaria,6
1650,gramínea, forragem,6
1651,gramínea, pastejo,6
1652,gramínea, plantio,6
1653,gramínea, sistema,6
1654,odor, sabor,6
1655,cobalto, cobre,6
1656,cobalto, fósforo,6
1661,luminosidade, temperatura,6
1662,parasitário, tristeza,6
1663,diluição, água,6
1664,holandês, bezerro,6
1665,holandês, mestiço,6
1666,holandês, médio,6
1677,magnésio, potássio,6
1678,decumbens, brizanthar,6
1679,forragem, forrageiro,6
1680,forragem, pastejo,6
1681,forragem, pequeno,6
1682,forragem, proteína,6
1683,forragem, tropical,6
1684,forragem, vaca,6
1685,resíduo, animal,6
1686,resíduo, antibiótico,6
1687,resíduo, tratamento,6
1689,brizanthar, decumbem,6
1695,genético, material,6
1696,genético, rebanhar,6
1697,mutica, brachiaria,6
1702,alto, espécie,6
1703,alto, lactação,6
1704,leiteiro, guzerá,6
1705,leiteiro, lactação,6
1709,volumoso, água,6
1710,erosão, solo,6
1711,ar, silo,6
1712,nutritivo, bom,6
1713,tropical, bom,6
1714,tropical, forragem,6
1729,parto, dieta,6
1730,parto, leiteiro,6
1731,parto, mineral,6
1732,parto, médio,6
1734,zebu, vaca,6
1735,parte, bezerro,6
1736,parte, genético,6
1739,zebuínas, guzerá,6
1740,zebuínas, mestiço,6
1741,magra, gordo,6
1747,nutricional, exigência,6
1748,cruzamento, gir,6
1749,cruzamento, mestiço,6
1765,tratamento, grande,6
1766,tratamento, lactação,6
1767,tratamento, orgânico,6
1768,tratamento, quarto,6
1769,fértil, solo,6
1770,rotativo, pastagem,6
1781,desinfetante, teto,6
1782,proteína, alimento,6
1783,proteína, bezerro,6
1784,proteína, concentrar,6
