term1,term2,value
descorna, marcação,1
descorna, segura,1
descorna, teto,1
microelemento, cobalto,1
microelemento, cobre,1
microelemento, cromo,1
microelemento, flúor,1
microelemento, manganês,1
microelemento, molibdênio,1
microelemento, silício,1
microelemento, vanádio,1
verão, acasalamento,1
verão, alto,1
verão, ancep,1
verão, animais,2
verão, animal,5
verão, ar,1
verão, aspersão,1
verão, baixo,1
verão, banho,1
verão, bom,2
verão, bula,1
verão, carrapaticida,1
verão, carrapaticidar,1
verão, cespitoso,1
verão, ciclo,1
verão, cobertura,1
verão, cobrir,1
verão, concentrar,1
verão, concentração,1
verão, cuidado,1
verão, cultura,4
verão, diferir,1
verão, dorso,1
verão, eficiente,1
verão, elevar,2
verão, entressafra,1
verão, ereto,1
verão, estaçãar,1
verão, estresse,1
verão, face,1
verão, feijão,1
verão, florescer,1
verão, forrageira,1
verão, forragem,1
verão, gestante,1
verão, grande,3
verão, grão,1
verão, haste,1
verão, herbácea,1
verão, hábito,1
verão, incidência,1
verão, infecção,1
verão, inflorescência,1
verão, injetável,1
verão, insolação,1
verão, instalação,1
verão, inverno,4
verão, irrigação,1
verão, laboratório,1
verão, lado,1
verão, maneira,1
verão, modo,1
verão, morfofisiológica,1
verão, nutriente,2
verão, orgânico,1
verão, orientar,1
verão, pastagem,2
verão, pequeno,2
verão, perda,1
verão, perene,2
verão, plantar,1
verão, plantio,4
verão, presença,1
verão, primavera,1
verão, quente,2
verão, radiação,1
verão, radicante,1
verão, rebanho,1
verão, reprodutivo,1
verão, safra,1
verão, seca,1
verão, seco,1
verão, sofrimento,1
verão, solo,1
verão, spray,1
verão, subclínica,1
verão, subereta,1
verão, substância,1
verão, subtropical,1
verão, temperatura,1
verão, tropical,1
verão, térmico,1
verão, vaca,2
verão, vacar,1
verão, ver,13
verão, úmido,1
campilobacteriose, aborto,1
campilobacteriose, bezerro,1
campilobacteriose, cobrir,1
campilobacteriose, diarreia,1
campilobacteriose, doença,2
campilobacteriose, filho,1
campilobacteriose, fraco,1
campilobacteriose, infeccioso,2
campilobacteriose, rinotraqueítar,1
campilobacteriose, tricomonose,3
campilobacteriose, vaca,1
campilobacteriose, velho,1
campilobacteriose, viral,1
preparar, adubar,1
preparar, animal,2
preparar, aureu,1
preparar, bacteriano,2
preparar, bactéria,1
preparar, banhar,1
preparar, banho,1
preparar, bom,1
preparar, calcário,1
preparar, certo,1
preparar, coler,1
preparar, concentrado,2
preparar, cova,1
preparar, cápsula,1
preparar, efeito,1
preparar, endereço,1
preparar, estirpe,2
preparar, fabricante,1
preparar, forragear,1
preparar, forrageira,1
preparar, genômica,1
preparar, gradagem,3
preparar, grande,1
preparar, herbicida,1
preparar, implantar,1
preparar, infestação,1
preparar, ingrediente,1
preparar, invasor,2
preparar, irrigação,1
preparar, meio,1
preparar, mineral,1
preparar, mutante,1
preparar, pastejo,1
preparar, pequeno,1
preparar, pesar,1
preparar, plantio,4
preparar, ração,1
preparar, semente,1
preparar, solo,4
preparar, substância,1
preparar, sulco,1
preparar, terreno,1
preparar, vacina,1
preparar, vegetação,1
fertilizante, análise,1
fertilizante, aproveitamento,1
fertilizante, bivitelino,1
fertilizante, bom,1
fertilizante, brachiaria,1
fertilizante, braquiara,1
fertilizante, decumbens,1
fertilizante, embrião,2
fertilizante, examinar,1
fertilizante, exigência,1
fertilizante, fertilização,1
fertilizante, filho,1
fertilizante, fosfatados,1
fertilizante, gêmeo,2
fertilizante, herdar,1
fertilizante, incubadora,1
fertilizante, maturar,1
fertilizante, máquina,1
fertilizante, mão,2
fertilizante, obra,2
fertilizante, ovulação,1
fertilizante, ovário,1
fertilizante, ovócito,1
fertilizante, oócito,1
fertilizante, pastagem,5
fertilizante, pastejo,1
fertilizante, pequeno,1
fertilizante, plantio,1
fertilizante, químico,1
fertilizante, recomendação,1
fertilizante, semente,1
fertilizante, sexo,1
fertilizante, solo,3
fertilizante, técnico,1
fertilizante, vitro,2
sexado, artificial,1
sexado, bom,1
sexado, concentração,1
sexado, filho,1
sexado, fêmea,2
sexado, garantir,1
sexado, grande,1
sexado, pequeno,2
sexado, reprodutivo,1
sexado, reter,1
sexado, sexar,1
sexado, taxa,1
obeso, abomaso,1
obeso, acetonemia,1
obeso, acidente,1
obeso, animal,1
obeso, cetose,1
obeso, cetônico,1
obeso, concentrado,1
obeso, corpo,1
obeso, deslocamento,1
obeso, dieta,1
obeso, distúrbio,1
obeso, doença,2
obeso, estresse,1
obeso, gordo,1
obeso, grande,1
obeso, infeccioso,1
obeso, magro,2
obeso, metabólico,2
obeso, montar,1
obeso, novilho,2
obeso, parto,1
obeso, pequeno,1
obeso, perder,1
obeso, reprodutivo,1
obeso, risco,1
obeso, vaca,7
obeso, velho,1
mamário, afetar,2
mamário, agente,3
mamário, albumina,1
mamário, animal,5
mamário, antibiótico,3
mamário, anticorpo,1
mamário, armazenamento,1
mamário, bezerro,16
mamário, bom,3
mamário, casco,2
mamário, caseína,1
mamário, colher,1
mamário, comercial,1
mamário, concentração,1
mamário, contaminar,1
mamário, contaminação,1
mamário, creme,1
mamário, célula,2
mamário, desaleitar,1
mamário, descer,1
mamário, desinfecção,1
mamário, desmamar,1
mamário, doença,1
mamário, escuro,1
mamário, estimular,1
mamário, fase,1
mamário, fator,2
mamário, fibroso,1
mamário, fígado,1
mamário, físico,2
mamário, garantir,2
mamário, gestante,1
mamário, globulina,1
mamário, glândula,7
mamário, glândular,11
mamário, gordura,2
mamário, grande,3
mamário, holandês,2
mamário, homeopático,2
mamário, imunidade,1
mamário, imunoglobulina,2
mamário, imunológico,3
mamário, infectar,2
mamário, infecção,4
mamário, inflamar,1
mamário, inflamação,2
mamário, interferir,2
mamário, intramamária,1
mamário, lactação,8
mamário, lactose,2
mamário, mamar,14
mamário, mamite,1
mamário, maneira,1
mamário, manteiga,1
mamário, medicamento,4
mamário, medida,1
mamário, mestiço,2
mamário, microbiano,1
mamário, mineral,3
mamário, mãe,3
mamário, mão,1
mamário, médio,2
mamário, natural,2
mamário, nutriente,1
mamário, objetivo,1
mamário, ordenha,11
mamário, ordenhador,1
mamário, organismo,1
mamário, palpação,1
mamário, parto,5
mamário, patógeno,1
mamário, pequeno,3
mamário, perder,1
mamário, precoce,1
mamário, presença,1
mamário, prever,1
mamário, procedimento,1
mamário, proteína,2
mamário, quarto,11
mamário, químico,1
mamário, raça,2
mamário, ração,1
mamário, rebanhar,1
mamário, seca,1
mamário, seco,2
mamário, secretar,1
mamário, sensibilidade,1
mamário, sintoma,1
mamário, sistema,5
mamário, solubilil,1
mamário, somático,1
mamário, subclínica,2
mamário, suficiente,2
mamário, taxa,1
mamário, tecer,1
mamário, tecido,3
mamário, telar,1
mamário, temperatura,1
mamário, teor,2
mamário, teta,1
mamário, teto,1
mamário, tratamento,2
mamário, utensílio,1
mamário, vaca,14
mamário, vitamina,2
mamário, zebu,2
mamário, zebuína,1
mamário, água,1
mamário, álcool,1
rodízio, animal,1
rodízio, ave,1
rodízio, bezerro,1
rodízio, bovino,1
rodízio, caprino,1
rodízio, concentração,1
rodízio, equino,1
rodízio, exigência,1
rodízio, fase,1
rodízio, hábito,1
rodízio, medida,1
rodízio, ovino,1
rodízio, pastagem,1
rodízio, piquete,1
rodízio, quente,1
rodízio, teto,2
rodízio, tratamento,1
obesa, abomaso,1
obesa, acetonemia,1
obesa, acidente,1
obesa, animal,1
obesa, cetose,1
obesa, cetônico,1
obesa, concentrado,1
obesa, corpo,1
obesa, deslocamento,1
obesa, dieta,1
obesa, distúrbio,1
obesa, doença,2
obesa, estresse,1
obesa, gestante,1
obesa, gordo,1
obesa, grande,1
obesa, infeccioso,1
obesa, infecção,1
obesa, magro,2
obesa, metabólico,2
obesa, montar,1
obesa, novilho,2
obesa, obeso,5
obesa, parto,2
obesa, pequeno,1
obesa, perder,1
obesa, reprodutivo,1
obesa, risco,1
obesa, uterino,1
obesa, vaca,8
obesa, velho,1
obesa, útero,1
fermentação, aditivo,1
fermentação, animal,1
fermentação, bactéria,1
fermentação, baixo,1
fermentação, biológico,1
fermentação, braquiária,1
fermentação, butírico,1
fermentação, capim,2
fermentação, cerca,1
fermentação, coliforme,1
fermentação, cuidado,1
fermentação, digestivo,1
fermentação, ensilar,2
fermentação, espécie,1
fermentação, estufamento,1
fermentação, fermentar,2
fermentação, forrageira,1
fermentação, gramínea,1
fermentação, grande,2
fermentação, gás,2
fermentação, indesejável,1
fermentação, lactato,1
fermentação, lactose,1
fermentação, maneira,1
fermentação, material,1
fermentação, maturação,1
fermentação, nutritivo,2
fermentação, panicum,1
fermentação, pequeno,1
fermentação, perda,5
fermentação, picar,1
fermentação, plantar,1
fermentação, proteico,1
fermentação, proteína,1
fermentação, queijo,1
fermentação, silagem,3
fermentação, silo,3
fermentação, sol,1
fermentação, tropical,2
fermentação, técnico,1
fermentação, ácer,1
queda, demanda,1
queda, floração,1
queda, forragem,1
queda, grande,1
queda, inflorescência,1
queda, lactação,1
queda, mineral,1
queda, natural,1
queda, pasto,1
queda, ressemeadura,1
queda, semente,1
queda, vedação,1
patologia, animal,1
patologia, aquilinum,1
patologia, pasto,1
patologia, samambaia,1
patologia, sintoma,1
mamária, afetar,2
mamária, agente,3
mamária, albumina,1
mamária, animal,5
mamária, antibiótico,3
mamária, anticorpo,1
mamária, armazenamento,1
mamária, bactéria,1
mamária, bezerro,16
mamária, bom,3
mamária, casco,2
mamária, caseína,1
mamária, colher,1
mamária, comercial,1
mamária, concentração,1
mamária, contaminar,1
mamária, contaminação,1
mamária, creme,1
mamária, célula,2
mamária, desaleitar,1
mamária, descer,1
mamária, desinfecção,1
mamária, desmamar,1
mamária, doença,1
mamária, escuro,1
mamária, estimular,1
mamária, fase,1
mamária, fator,2
mamária, fibroso,1
mamária, fígado,1
mamária, físico,2
mamária, garantir,2
mamária, gestante,1
mamária, globulina,1
mamária, glândula,7
mamária, glândular,12
mamária, gordura,2
mamária, grande,3
mamária, holandês,2
mamária, homeopático,2
mamária, imunidade,1
mamária, imunoglobulina,2
mamária, imunológico,3
mamária, infectar,2
mamária, infecção,4
mamária, inflamar,1
mamária, inflamação,2
mamária, interferir,2
mamária, intramamária,1
mamária, lactação,8
mamária, lactose,2
mamária, mamar,14
mamária, mamite,1
mamária, mamário,29
mamária, maneira,1
mamária, manteiga,1
mamária, medicamento,4
mamária, medida,1
mamária, mestiço,2
mamária, microbiano,1
mamária, mineral,3
mamária, mãe,3
mamária, mão,1
mamária, médio,2
mamária, natural,2
mamária, nutriente,1
mamária, objetivo,1
mamária, ordenha,11
mamária, ordenhador,1
mamária, organismo,1
mamária, palpação,1
mamária, parto,5
mamária, patógeno,1
mamária, pequeno,3
mamária, perder,1
mamária, precoce,1
mamária, presença,1
mamária, prever,1
mamária, procedimento,1
mamária, proteína,2
mamária, quarto,11
mamária, químico,1
mamária, raça,2
mamária, ração,1
mamária, rebanhar,1
mamária, seca,1
mamária, seco,2
mamária, secretar,1
mamária, sensibilidade,1
mamária, sintoma,1
mamária, sistema,5
mamária, solubilil,1
mamária, somático,1
mamária, subclínica,2
mamária, suficiente,2
mamária, taxa,1
mamária, tecer,1
mamária, tecido,3
mamária, telar,1
mamária, temperatura,1
mamária, teor,2
mamária, teta,1
mamária, teto,1
mamária, tratamento,2
mamária, utensílio,1
mamária, vaca,14
mamária, vitamina,2
mamária, zebu,2
mamária, zebuína,1
mamária, água,1
mamária, álcool,1
abomaso, acetonemia,1
abomaso, acidose,1
abomaso, alimento,1
abomaso, aminoácido,1
abomaso, bactéria,1
abomaso, cetose,1
abomaso, cetônico,1
abomaso, clorídrico,1
abomaso, corpo,1
abomaso, delgar,1
abomaso, deslocamento,2
abomaso, digerir,2
abomaso, digestão,1
abomaso, distúrbio,2
abomaso, doença,1
abomaso, enzima,1
abomaso, fibra,1
abomaso, forragem,1
abomaso, gordo,1
abomaso, gordura,1
abomaso, grande,1
abomaso, intestino,1
abomaso, magro,1
abomaso, meio,1
abomaso, metabólico,2
abomaso, microbiano,1
abomaso, obeso,1
abomaso, partícula,2
abomaso, pepsina,1
abomaso, pequeno,1
abomaso, proteína,1
abomaso, químico,1
abomaso, reprodutivo,1
abomaso, teor,1
abomaso, vaca,3
abomaso, ácer,1
leguminosa, adubar,1
leguminosa, alfafal,1
leguminosa, alta,1
leguminosa, alumínio,1
leguminosa, animal,4
leguminosa, arbusto,3
leguminosa, baixo,2
leguminosa, biológico,1
leguminosa, bom,4
leguminosa, braquiária,1
leguminosa, capim,1
leguminosa, carboidrato,1
leguminosa, carga,1
leguminosa, cocho,1
leguminosa, colhedeira,1
leguminosa, combate,1
leguminosa, componente,1
leguminosa, cultura,1
leguminosa, dieta,1
leguminosa, eficiente,1
leguminosa, espécie,4
leguminosa, estimular,1
leguminosa, fase,1
leguminosa, fenação,2
leguminosa, fertilização,1
leguminosa, floração,2
leguminosa, forrageira,3
leguminosa, forragem,3
leguminosa, gramínea,19
leguminosa, gramíneo,2
leguminosa, herbáceo,1
leguminosa, herbívoro,1
leguminosa, inseto,1
leguminosa, invasor,1
leguminosa, irrigação,1
leguminosa, leguminoso,31
leguminosa, lenhoso,1
leguminosa, macrocephala,1
leguminosa, maneira,1
leguminosa, multiestrato,1
leguminosa, método,2
leguminosa, natural,1
leguminosa, nitrogênio,7
leguminosa, nutritivo,1
leguminosa, pastagem,11
leguminosa, pastejo,2
leguminosa, pasto,1
leguminosa, pintoi,1
leguminosa, planta,3
leguminosa, plantar,1
leguminosa, plantio,2
leguminosa, proteína,1
leguminosa, rasteira,1
leguminosa, ressemeadura,1
leguminosa, semente,4
leguminosa, sistema,7
leguminosa, solo,6
leguminosa, solúvel,1
leguminosa, superpastejo,1
leguminosa, série,1
leguminosa, teor,1
leguminosa, tolerância,1
leguminosa, tropical,3
leguminosa, tóxico,1
leguminosa, vegetal,1
leguminosa, volumoso,1
leguminosa, árvore,3
capitata, animal,1
capitata, bom,1
capitata, carga,1
capitata, espécie,1
capitata, estilosante,1
capitata, hectare,1
capitata, macrocephala,1
capitata, pastejo,1
micoplasmose, aborto,1
micoplasmose, doença,1
micoplasmose, febril,1
micoplasmose, listeriose,1
micoplasmose, mamite,1
micoplasmose, salmonelose,1
micoplasmose, tuberculose,1
brizantha, adubar,1
brizantha, alta,1
brizantha, alto,1
brizantha, animal,2
brizantha, antibiose,1
brizantha, antixenose,1
brizantha, ataque,1
brizantha, biomassa,1
brizantha, bom,1
brizantha, bovino,1
brizantha, brachiaria,23
brizantha, braquiária,1
brizantha, brizanthar,11
brizantha, capim,1
brizantha, cigarra,1
brizantha, cobrir,1
brizantha, dactylon,2
brizantha, decumbem,6
brizantha, elevar,1
brizantha, espécie,2
brizantha, forrageira,2
brizantha, forrageiro,2
brizantha, físico,1
brizantha, gayanu,1
brizantha, gramínea,1
brizantha, gramíneo,1
brizantha, gênero,2
brizantha, humidicola,1
brizantha, inseto,2
brizantha, mecanismo,1
brizantha, minutiflora,1
brizantha, mutica,1
brizantha, nlemfuensis,2
brizantha, panicum,4
brizantha, pastagem,1
brizantha, planta,2
brizantha, praga,1
brizantha, purpureum,1
brizantha, recurso,1
brizantha, ruziziensil,2
brizantha, solo,2
brizantha, tolerante,1
brizantha, tolerância,1
brizantha, unidade,1
sobrevivência, adiposo,1
sobrevivência, agente,1
sobrevivência, animais,1
sobrevivência, bezerro,1
sobrevivência, corporal,2
sobrevivência, doença,1
sobrevivência, dormência,1
sobrevivência, embrião,1
sobrevivência, feto,1
sobrevivência, garantir,1
sobrevivência, gordura,1
sobrevivência, ninfa,1
sobrevivência, ovo,1
sobrevivência, perder,2
sobrevivência, proteína,1
sobrevivência, sistema,1
sobrevivência, solo,2
sobrevivência, tecido,1
sobrevivência, temperatura,1
sobrevivência, água,2
vermifugar, adulto,1
vermifugar, animal,1
vermifugar, bezerra,1
vermifugar, novilha,1
vermifugar, vaca,1
minerais, afetar,1
minerais, alimento,3
minerais, alta,1
minerais, alto,3
minerais, animais,2
minerais, animal,11
minerais, análise,1
minerais, aproveitar,1
minerais, armazenagem,1
minerais, auxiliar,1
minerais, baixo,1
minerais, balancear,6
minerais, base,5
minerais, bezerro,1
minerais, bicarbonato,2
minerais, bicálcico,1
minerais, bom,10
minerais, bovino,9
minerais, calcário,2
minerais, casco,2
minerais, cerca,1
minerais, chuva,2
minerais, clorar,1
minerais, cloreto,1
minerais, cloro,1
minerais, cobalto,2
minerais, cobre,2
minerais, cobrir,5
minerais, cocho,5
minerais, comer,1
minerais, comercial,2
minerais, concentrado,4
minerais, concentrar,9
minerais, concentração,2
minerais, consumir,1
minerais, corporal,4
minerais, cuidado,1
minerais, demanda,1
minerais, demorar,1
minerais, dieta,15
minerais, diluir,1
minerais, dolomítico,1
minerais, efeito,1
minerais, embalagem,1
minerais, entrar,1
minerais, enxofrar,1
minerais, enxofre,2
minerais, estressar,1
minerais, excesso,1
minerais, exigência,2
minerais, fabricante,2
minerais, fisiologia,1
minerais, forragem,2
minerais, fosfato,1
minerais, fêmea,1
minerais, fósforo,8
minerais, garantir,1
minerais, glândula,2
minerais, gordura,3
minerais, grande,2
minerais, holandês,1
minerais, imunológico,3
minerais, infecção,1
minerais, infestação,2
minerais, ingrediente,1
minerais, iodato,1
minerais, lactação,6
minerais, lactose,2
minerais, leiteiro,1
minerais, magnesiano,1
minerais, magnésio,6
minerais, mamar,1
minerais, mamário,2
minerais, maneira,1
minerais, manganês,1
minerais, medida,1
minerais, mestiço,1
minerais, mineral,113
minerais, mineralizado,1
minerais, mineralizar,1
minerais, máximo,1
minerais, médio,2
minerais, nutricional,1
minerais, nutriente,5
minerais, nutrientes,1
minerais, núcleo,1
minerais, oferecer,1
minerais, ordenha,2
minerais, ovino,1
minerais, parte,1
minerais, parto,5
minerais, pasto,2
minerais, pelar,1
minerais, pequeno,1
minerais, perder,1
minerais, picar,2
minerais, potássio,3
minerais, potável,1
minerais, preparar,1
minerais, presença,1
minerais, principal,1
minerais, procurar,1
minerais, proteína,10
minerais, queda,1
minerais, químico,1
minerais, ração,2
minerais, rebanhar,1
minerais, rebanho,3
minerais, recomendação,1
minerais, reprodutivo,3
minerais, ruminal,1
minerais, rótulo,2
minerais, seco,4
minerais, seleno,1
minerais, silagem,1
minerais, sistema,4
minerais, solubilidade,1
minerais, suficiente,1
minerais, suplementar,1
minerais, suplemento,3
minerais, tamponante,2
minerais, tecido,1
minerais, teor,2
minerais, tomar,1
minerais, técnico,1
minerais, térmico,1
minerais, uterino,1
minerais, vaca,18
minerais, variação,1
minerais, ventilar,1
minerais, verme,1
minerais, vitamina,10
minerais, volumoso,6
minerais, zebu,1
minerais, água,7
minerais, óxido,3
leguminoso, adubar,1
leguminoso, alfafal,1
leguminoso, alta,1
leguminoso, alumínio,1
leguminoso, animal,4
leguminoso, arbusto,3
leguminoso, baixo,2
leguminoso, biológico,1
leguminoso, bom,4
leguminoso, braquiária,1
leguminoso, capim,1
leguminoso, carboidrato,1
leguminoso, carga,1
leguminoso, colhedeira,1
leguminoso, combate,1
leguminoso, componente,1
leguminoso, cultura,1
leguminoso, dieta,1
leguminoso, eficiente,1
leguminoso, espécie,4
leguminoso, estimular,1
leguminoso, fase,1
leguminoso, fenação,2
leguminoso, fertilização,1
leguminoso, floração,2
leguminoso, forrageira,2
leguminoso, forragem,3
leguminoso, gramínea,18
leguminoso, gramíneo,2
leguminoso, herbáceo,1
leguminoso, herbívoro,1
leguminoso, inseto,1
leguminoso, invasor,1
leguminoso, irrigação,1
leguminoso, leguminosa,1
leguminoso, lenhoso,1
leguminoso, macrocephala,1
leguminoso, maneira,1
leguminoso, multiestrato,1
leguminoso, método,2
leguminoso, natural,1
leguminoso, nitrogênio,7
leguminoso, nutritivo,1
leguminoso, pastagem,10
leguminoso, pastejo,1
leguminoso, pasto,1
leguminoso, pintoi,1
leguminoso, planta,3
leguminoso, plantar,1
leguminoso, plantio,2
leguminoso, rasteira,1
leguminoso, ressemeadura,1
leguminoso, semente,4
leguminoso, sistema,6
leguminoso, solo,6
leguminoso, solúvel,1
leguminoso, superpastejo,1
leguminoso, série,1
leguminoso, teor,1
leguminoso, tolerância,1
leguminoso, tropical,3
leguminoso, tóxico,1
leguminoso, vegetal,1
leguminoso, volumoso,1
leguminoso, árvore,3
iodato, animal,1
iodato, bicálcico,1
