,Term1,Term2
185,terapêutico,vedação
186,terapêutico,apetite
187,terapêutico,magnésio
188,genotipar,tanque
189,genotipar,sanguíneo
190,genotipar,demora
191,genotipar,nlemfuensis
192,restinga,arbóreo
193,restinga,tamponante
194,restinga,galho
195,restinga,vitro
196,demora,recolher
197,demora,homeopático
198,demora,financeiro
199,demora,coliforme
200,ovo,mamadeira
201,ovo,mensal
202,ovo,verme
203,ovo,tricomonose
204,hipoclorito,verão
205,hipoclorito,distúrbio
206,hipoclorito,madeira
207,hipoclorito,acidente
208,serragem,arbusto
209,serragem,dactylon
210,serragem,via
211,serragem,queimada
212,seringa,manganês
213,seringa,abomaso
214,seringa,potássio
215,seringa,cobalto
216,médico,sintoma
217,médico,agente
218,médico,doença
219,médico,morte
220,prenhe,manganês
221,prenhe,cloro
222,prenhe,integração
223,prenhe,apetite
224,obesidade,diferem
225,obesidade,solúvel
226,obesidade,nlemfuensis
227,obesidade,rasteiro
228,cerco,homeopático
229,cerco,contagioso
230,cerco,cetônico
231,cerco,evaporação
232,cortisol,estolonífera
233,cortisol,liber
234,cortisol,lei
235,cortisol,agilidade
236,esporo,fertilização
237,esporo,montar
238,esporo,proporção
239,esporo,dactylon
240,protease,sintetizar
241,protease,somatotropina
242,protease,aminoácido
243,protease,contagioso
244,pássaro,ataque
245,pássaro,populaçãar
246,pássaro,purpureum
247,pássaro,biológico
248,subtropical,mamadeira
249,subtropical,textura
250,subtropical,mensal
251,subtropical,mocho
252,raça,holandês
253,raça,zebuína
254,raça,cruzamento
255,raça,puro
256,botijo,óxido
257,botijo,cobre
258,botijo,canaleta
259,botijo,comer
260,graxo,sintetizar
261,graxo,contagioso
262,graxo,aminoácido
263,graxo,aureus
264,interferir,alta
265,interferir,rebanho
266,interferir,reprodutivo
267,interferir,taxa
268,eucalipto,decumbens
269,eucalipto,diferir
270,eucalipto,ressecamento
271,eucalipto,ataque
272,bactéria,ração
273,bactéria,quarto
274,bactéria,concentrar
275,bactéria,mecânico
276,haste,carrapaticidar
277,haste,liber
278,haste,selo
279,haste,hábito
280,coletora,enxertar
281,coletora,tanchagem
282,coletora,perfurar
283,coletora,fitoterapia
284,forragear,biológico
285,forragear,cespitoso
286,forragear,estolão
287,forragear,série
288,cartilagem,operar
289,cartilagem,arbusto
290,cartilagem,ferir
291,cartilagem,pesagem
292,cortado,citratar
293,cortado,butírico
294,cortado,lenhoso
295,cortado,sugador
296,cancerígeno,liber
297,cancerígeno,tanchagem
298,cancerígeno,magnésio
299,cancerígeno,carrapaticidar
300,infestações,perna
301,infestações,herdar
302,infestações,homeopático
303,infestações,lacrado
304,medida,genético
305,medida,tratamento
306,medida,adulto
307,medida,bovino
308,naturalizar,tostagem
309,naturalizar,fígar
310,naturalizar,infeccioso
311,naturalizar,prescrever
312,hematófago,liber
313,hematófago,elétrica
314,hematófago,fitoterapia
315,hematófago,divisória
316,tuberculinização,caixa
317,tuberculinização,reciclagem
318,tuberculinização,proliferação
319,tuberculinização,bezerra
320,salobra,fitoterápico
321,salobra,dor
322,salobra,morfológico
323,salobra,carrapaticidar
324,dedo,fertilização
325,dedo,lento
326,dedo,populaçãar
327,dedo,nlemfuensis
328,funcionar,manganês
329,funcionar,potássio
330,funcionar,fertilização
331,funcionar,aditivo
332,humificação,medir
333,humificação,certo
334,humificação,gestação
335,humificação,nutricional
336,fervente,rotor
337,fervente,sadio
338,fervente,articulação
339,fervente,traumatismo
340,vermar,divisória
341,vermar,urinário
342,vermar,agilidade
343,vermar,desânimo
344,decompor,carbono
345,decompor,patologia
346,decompor,borrifada
347,decompor,nucleotídeo
348,esperar,progênie
349,esperar,bebedouro
350,esperar,resistente
351,esperar,térmico
352,desaleitar,óxido
353,desaleitar,bicarbonato
354,desaleitar,abomaso
355,desaleitar,mamadeira
356,homeopático,muco
357,homeopático,verme
358,homeopático,cobalto
359,homeopático,cloro
360,sulfurados,sujeira
361,sulfurados,flúor
362,sulfurados,lábio
363,sulfurados,ventilar
364,dictioneura,queima
365,dictioneura,infértel
366,dictioneura,copa
367,dictioneura,inimigo
368,máquina,aminoácido
369,máquina,corda
370,máquina,sintetizar
371,máquina,cetose
372,sanitizar,deslocamento
373,sanitizar,abomaso
374,sanitizar,inflamação
375,sanitizar,terço
376,leporino,pesagem
377,leporino,potássio
378,leporino,financeiro
379,leporino,mamadeira
380,lavar,via
381,lavar,arbusto
382,lavar,suplementar
383,lavar,enxofre
384,oferecer,animais
385,oferecer,pasto
386,oferecer,parte
387,oferecer,grande
388,cortar,contagioso
389,cortar,aminoácido
390,cortar,multípara
391,cortar,sintetizar
392,berne,liber
393,berne,sintético
394,berne,fetal
395,berne,banho
396,telar,cetose
397,telar,cobre
398,telar,biberão
399,telar,bicarbonato
400,doméstico,adulto
401,doméstico,afetar
402,doméstico,animal
403,doméstico,genético
404,citômetro,periparto
405,citômetro,câncer
406,citômetro,viral
407,citômetro,plântula
408,frágil,fatores
409,frágil,pássaro
410,frágil,leguminosa
411,frágil,humidicola
412,tenra,macega
413,tenra,canaleta
414,tenra,barato
415,tenra,cobalto
416,sadio,óxido
417,sadio,potássio
418,sadio,comer
419,sadio,cloro
420,maternidade,cruzar
421,maternidade,anestro
422,maternidade,secar
423,maternidade,mau
424,sintetizar,aminoácido
425,sintetizar,contagioso
426,sintetizar,bicarbonato
427,sintetizar,microbiana
428,brilho,coloração
429,brilho,gargalo
430,brilho,vacina
431,brilho,linhaça
432,urease,sintetizar
433,urease,multípara
434,urease,microbiana
435,urease,deslocamento
436,doença,bovino
437,doença,agente
438,doença,medida
439,doença,genético
440,eclosão,poluição
441,eclosão,ressecamento
442,eclosão,demandar
443,eclosão,magnésio
444,material,sintoma
445,material,médico
446,material,consumir
447,material,agente
448,fenação,aveia
449,fenação,topografia
450,fenação,brachiaria
451,fenação,erosão
452,segregação,óxido
453,segregação,cloro
454,segregação,cobalto
455,segregação,potássio
456,topografia,erosão
457,topografia,biberão
458,topografia,subtropical
459,topografia,inchar
460,etiológico,declive
461,etiológico,terço
462,etiológico,cobre
463,etiológico,perna
464,glândula,inflamação
465,glândula,bicarbonato
466,glândula,bula
467,glândula,prolapso
468,manteiga,potássio
469,manteiga,fermentar
470,manteiga,basar
471,manteiga,rotacionar
472,prostaglandina,cobalto
473,prostaglandina,verme
474,prostaglandina,potássio
475,prostaglandina,manganês
476,aureus,textura
477,aureus,contagioso
478,aureus,óxido
479,aureus,mamadeira
480,norsesquiterpeno,fitoterápico
481,norsesquiterpeno,estolonífera
482,norsesquiterpeno,genômica
483,norsesquiterpeno,libido
484,infeccioso,cobre
485,infeccioso,ciclo
486,infeccioso,vedação
487,infeccioso,luz
488,gelo,basar
489,gelo,tubulação
490,gelo,prenhe
491,gelo,bulir
492,mililitro,multípara
493,mililitro,abomaso
494,mililitro,cristalino
495,mililitro,casco
496,óvulo,cristalino
497,óvulo,fenótipo
498,óvulo,contagioso
499,óvulo,ovulação
500,perda,pequeno
501,perda,maneira
502,perda,alto
503,perda,grande
504,umbilical,vedação
505,umbilical,terço
506,umbilical,sombrear
507,umbilical,perna
508,tristeza,parasitário
509,tristeza,populaçãar
510,tristeza,medo
511,tristeza,nlemfuensis
512,coler,verme
513,coler,óxido
514,coler,cobalto
515,coler,canaleta
516,ressecamento,diferem
517,ressecamento,rasteiro
518,ressecamento,palatável
519,ressecamento,dactylon
520,risco,infecção
521,risco,alta
522,risco,lote
523,risco,taxa
524,leito,hormônio
525,leito,nitrogenadar
526,leito,perfilhamento
527,leito,ordenhador
528,toxina,queimada
529,toxina,enxofre
530,toxina,diferem
531,toxina,nlemfuensis
532,tijolo,queijo
533,tijolo,arbóreo
534,tijolo,vermifugação
535,tijolo,dactylon
536,canaleta,cobalto
537,canaleta,óxido
538,canaleta,coler
539,canaleta,cobre
540,enxadão,broto
541,enxadão,sphacelatar
542,enxadão,ressemeadura
543,enxadão,rasteiro
544,epitelial,cobre
545,epitelial,lesão
546,epitelial,fenótipo
547,epitelial,inchar
548,aparelho,verme
549,aparelho,freezer
550,aparelho,bicarbonato
551,aparelho,óxido
552,mecânico,manual
553,mecânico,ordenha
554,mecânico,leite
555,mecânico,presença
556,roupa,norsesquiterpeno
557,roupa,fertirrigação
558,roupa,cetose
559,roupa,protozoário
560,abate,oxigênio
561,abate,financeiro
562,abate,cobalto
563,abate,potássio
564,desoxirribonucleico,desinfetar
565,desoxirribonucleico,brilho
566,desoxirribonucleico,osso
567,desoxirribonucleico,crioscopia
568,precoce,desmamar
569,precoce,contaminação
570,precoce,balde
571,precoce,insumo
572,decumbente,excremento
573,decumbente,casca
574,decumbente,couro
575,decumbente,gasoso
576,serpentina,ressemeadura
577,serpentina,urinário
578,serpentina,florir
579,serpentina,espécies
580,antisséptico,broto
581,antisséptico,grão
582,antisséptico,urinário
583,antisséptico,bermuda
584,mãe,aproveitamento
585,mãe,sistema
586,mãe,cru
587,mãe,forrageiro
588,alto,grande
589,alto,maneira
590,alto,elevar
591,alto,fator
592,barbela,brinco
593,barbela,amargo
594,barbela,andrológico
595,barbela,homeopático
596,máximo,aveia
597,máximo,núcleo
598,máximo,picar
599,máximo,corda
600,pasta,procurar
601,pasta,estolonífera
602,pasta,magnésio
603,pasta,endereço
604,tolerância,bom
605,tolerância,baixo
606,tolerância,garantir
607,tolerância,pequeno
608,estereotipia,homeopatia
609,estereotipia,fitoterápico
610,estereotipia,dactylon
611,estereotipia,sintético
612,portão,veranico
613,portão,hematúria
614,portão,afecção
615,portão,tecer
616,desinteresse,coliforme
617,desinteresse,pesagem
618,desinteresse,medo
619,desinteresse,espermograma
620,magnesiano,secretor
621,magnesiano,brizanthar
622,magnesiano,liber
623,magnesiano,ruziziensil
624,coçar,choque
625,coçar,brasilense
626,coçar,pintoi
627,coçar,iodofórmio
628,florescimento,replantio
629,florescimento,perfilhamento
630,florescimento,colheita
631,florescimento,queima
632,vapor,reciclagem
633,vapor,hereditário
634,vapor,segregação
635,vapor,herdar
636,caule,perfilhamento
637,caule,estiagem
638,caule,argiluviação
639,caule,replantio
640,sensibilidade,potássio
641,sensibilidade,cloro
642,sensibilidade,vitro
643,sensibilidade,manganês
644,corticosteroide,canaleta
645,corticosteroide,óxido
646,corticosteroide,cetose
647,corticosteroide,cobre
648,industrialização,estressar
649,industrialização,proteico
650,industrialização,bastão
651,industrialização,aminoácido
652,andrológico,potássio
653,andrológico,verme
654,andrológico,cloro
655,andrológico,oxigênio
656,sphacelatar,rasteiro
657,sphacelatar,ataque
658,sphacelatar,populaçãar
659,sphacelatar,herbicida
660,diarrear,óxido
661,diarrear,verme
662,diarrear,lesão
663,diarrear,abomaso
664,regra,magnésio
665,regra,abdômen
666,regra,nutrientes
667,regra,dactylon
668,diferir,diferem
669,diferir,hábito
670,diferir,rasteiro
671,diferir,enxofre
672,hemoglobinúria,hereditário
673,hemoglobinúria,coliforme
674,hemoglobinúria,azebuados
675,hemoglobinúria,babesiose
676,gayana,decumbens
677,gayana,rasteiro
678,gayana,diferem
679,gayana,nlemfuensis
680,desagradável,endogamia
681,desagradável,infeccioso
682,desagradável,semissólido
683,desagradável,intoxicação
684,biomassa,ataque
685,biomassa,cespitoso
686,biomassa,estolão
687,biomassa,forragear
688,bolsa,fenótipo
689,bolsa,bicarbonato
690,bolsa,ciclo
691,bolsa,desaleitar
692,lesão,abomaso
693,lesão,bicarbonato
694,lesão,cobre
695,lesão,verme
696,tóxico,planta
697,tóxico,chuva
698,tóxico,efeito
699,tóxico,rotativo
700,agressivo,queimada
701,agressivo,via
702,agressivo,nutrientes
703,agressivo,magnésio
704,gelificação,higiênica
705,gelificação,patogênico
706,gelificação,ovariano
707,gelificação,coágulo
708,contaminar,leite
709,contaminar,ordenha
710,contaminar,bezerro
711,contaminar,cuidado
712,calcinado,nlemfuensis
713,calcinado,aditivo
714,calcinado,dactylon
715,calcinado,divisória
716,traumático,banho
717,traumático,sintético
718,traumático,cobalto
719,traumático,pesagem
720,queijo,magnésio
721,queijo,medo
722,queijo,dactylon
723,queijo,nutrientes
724,buçal,tostagem
725,buçal,aminoácido
726,buçal,sintetizar
727,buçal,ovariana
728,sonda,mocho
729,sonda,aminoácido
730,sonda,muco
731,sonda,sintetizar
732,calcário,gradagem
733,calcário,alumínio
734,calcário,avear
735,calcário,germinação
736,fêmea,sanitário
737,fêmea,exigência
738,fêmea,pequeno
739,fêmea,maneira
740,médio,rebanhar
741,médio,rebanho
742,médio,identificar
743,médio,alta
744,canavial,panicum
745,canavial,capitata
746,canavial,cor
747,canavial,queimada
748,cloreto,cloro
749,cloreto,potássio
750,cloreto,homeopático
751,cloreto,mamadeira
752,decumbem,brizanthar
753,decumbem,ruziziensil
754,decumbem,manganês
755,decumbem,potássio
756,demorar,parto
757,demorar,fase
758,demorar,cobrir
759,demorar,perder
760,descartar,fase
761,descartar,corporal
762,descartar,vacar
763,descartar,perder
764,guianesil,grão
765,guianesil,biológico
766,guianesil,forragear
767,guianesil,dossel
768,cultura,forrageira
769,cultura,pastagem
770,cultura,planta
771,cultura,solo
772,tetania,estolonífera
773,tetania,fitoterápico
774,tetania,fertilização
775,tetania,radiação
776,secretor,vitro
777,secretor,liber
778,secretor,cobalto
779,secretor,cesariana
780,vedação,óxido
781,vedação,apetite
782,vedação,coler
783,vedação,verme
784,mecanismo,congelado
785,mecanismo,anticorpo
786,mecanismo,maculoso
787,mecanismo,infértel
788,populaçãar,enxofre
789,populaçãar,queimada
790,populaçãar,ataque
791,populaçãar,rasteiro
792,hereditário,potássio
793,hereditário,coler
794,hereditário,espessura
795,hereditário,distúrbio
796,físico,instalação
797,físico,parte
798,físico,animais
799,físico,animal
800,capilar,recolher
801,capilar,distúrbio
802,capilar,sintético
803,capilar,medo
804,butírico,via
805,butírico,gênerar
806,butírico,enxofre
807,butírico,agressivo
808,nutrientes,medo
809,nutrientes,manganês
810,nutrientes,magnésio
811,nutrientes,fertilização
812,foxtail,orvalho
813,foxtail,estolão
814,foxtail,brasiliensil
815,foxtail,colheita
816,aerada,funcionar
817,aerada,traumático
818,aerada,flúor
819,aerada,aferição
820,terreno,via
821,terreno,perene
822,terreno,diferem
823,terreno,ataque
824,refrigerar,contaminar
825,refrigerar,ordenha
826,refrigerar,leite
827,refrigerar,bezerro
828,tubulação,magnésio
829,tubulação,nutrientes
830,tubulação,fertilização
831,tubulação,medo
832,tecidos,vacinar
833,tecidos,vento
834,tecidos,montar
835,tecidos,caseiro
836,manual,leite
837,manual,ordenha
838,manual,mecânico
839,manual,resíduo
840,acessar,magnésio
841,acessar,aditivo
842,acessar,nutrientes
843,acessar,dactylon
844,pote,bezerra
845,pote,sintético
846,pote,montar
847,pote,aditivo
848,caixa,magnésio
849,caixa,nutrientes
850,caixa,fertilização
851,caixa,potássio
852,nutritivo,bom
853,nutritivo,garantir
854,nutritivo,pasto
855,nutritivo,grande
856,automatizar,casca
857,automatizar,fetal
858,automatizar,cor
859,automatizar,respiratório
860,fatal,montar
861,fatal,fertilização
862,fatal,distúrbio
863,fatal,caixa
864,cobrir,parto
865,cobrir,lactação
866,cobrir,demorar
867,cobrir,gestação
868,cru,leite
869,cru,resíduo
870,cru,temperatura
871,cru,manual
872,mamária,suor
873,mamária,banho
874,mamária,quarentena
875,mamária,fabricante
876,sistema,instalação
877,sistema,principal
878,sistema,meio
879,sistema,fator
880,raspar,geada
881,raspar,líquido
882,raspar,carinho
883,raspar,esterco
884,soroterapia,rasteiro
885,soroterapia,toxina
886,soroterapia,semiconfinamento
887,soroterapia,diferem
888,malha,equídeo
889,malha,caprino
890,malha,raspagem
891,malha,transgênica
892,homeopater,potássio
893,homeopater,magnésio
894,homeopater,cloro
895,homeopater,dor
896,babosa,lã
897,babosa,recolher
898,babosa,liber
899,babosa,muscular
900,muco,verme
901,muco,óxido
902,muco,bicarbonato
903,muco,ciclo
904,anaeróbio,humidicola
905,anaeróbio,multiestrato
906,anaeróbio,espáduo
907,anaeróbio,hábito
908,genótipo,recolher
909,genótipo,cobalto
910,genótipo,segregação
911,genótipo,pelagem
912,infraestrutura,manganês
913,infraestrutura,tomada
914,infraestrutura,apetite
915,infraestrutura,coler
916,lactente,volumoso
917,lactente,bactéria
918,lactente,concentrar
919,lactente,cruzar
920,gorduroso,lesão
921,gorduroso,canaleta
922,gorduroso,multípara
923,gorduroso,óxido
924,lodo,estolonífera
925,lodo,fertilização
926,lodo,elétrica
927,lodo,cor
928,anaplasmose,lacrado
929,anaplasmose,folículo
930,anaplasmose,aniônica
931,anaplasmose,oxitocina
932,coração,durabilidade
933,coração,cespitoso
934,coração,veranico
935,coração,queima
936,meloso,fraco
937,meloso,fértil
938,meloso,imunológico
939,meloso,placa
940,pescoço,abomaso
941,pescoço,verme
942,pescoço,cobre
943,pescoço,lesão
944,sanitário,maneira
945,sanitário,exigência
946,sanitário,pequeno
947,sanitário,acasalamento
948,casa,suplementar
949,casa,populaçãar
950,casa,micronutriente
951,casa,queimada
952,ressemeadura,via
953,ressemeadura,populaçãar
954,ressemeadura,diferem
955,ressemeadura,decumbens
956,folicular,deslocamento
957,folicular,contagioso
958,folicular,aminoácido
959,folicular,sintetizar
960,tristezar,manganês
961,tristezar,cobalto
962,tristezar,potássio
963,tristezar,acidose
964,carbonato,alimento
965,carbonato,pasteurizado
966,carbonato,proteína
967,carbonato,alta
968,compostagem,obtençãar
969,compostagem,graxo
970,compostagem,aquoso
971,compostagem,lado
972,tampão,casco
973,tampão,microbiana
974,tampão,digestível
975,tampão,bicarbonato
976,anticorpo,gaiola
977,anticorpo,micronutriente
978,anticorpo,carboidrato
979,anticorpo,secretor
980,cítrico,cor
981,cítrico,vitro
982,cítrico,magnésio
983,cítrico,arbusto
984,fosfato,ressemeadura
985,fosfato,parasitário
986,fosfato,baia
987,fosfato,micronutriente
988,tecido,laboratório
989,tecido,unidade
990,tecido,resistente
991,tecido,brusco
992,protozoário,mensal
993,protozoário,cobalto
994,protozoário,terço
995,protozoário,verme
996,bezerro,leite
997,bezerro,presença
998,bezerro,mamar
999,bezerro,ordenha
1000,vício,liber
1001,vício,caixa
1002,vício,sede
1003,vício,recolher
1004,diarreia,precoce
1005,diarreia,balde
1006,diarreia,contaminação
1007,diarreia,tomar
1008,braquiara,dactylon
1009,braquiara,fertilização
1010,braquiara,magnésio
1011,braquiara,lento
1012,capim,forragem
1013,capim,braquiária
1014,capim,capineiro
1015,capim,nutritivo
1016,população,estressar
1017,população,corda
1018,população,pata
1019,população,heterozigoto
1020,gaiola,distúrbio
1021,gaiola,potássio
1022,gaiola,fresco
1023,gaiola,herdar
1024,injetável,operar
1025,injetável,abdômen
1026,injetável,dactylon
1027,injetável,endereço
1028,energético,fase
1029,energético,descartar
1030,energético,perder
1031,energético,corporal
1032,patogênico,cobalto
1033,patogênico,cloro
1034,patogênico,cobre
1035,patogênico,perna
1036,aferição,andrológico
1037,aferição,cloro
1038,aferição,hormonal
1039,aferição,proporção
1040,húmu,transmissãar
1041,húmu,lona
1042,húmu,brusco
1043,húmu,benzeno
1044,peniano,contagioso
1045,peniano,inflamação
1046,peniano,bicarbonato
1047,peniano,mocho
1048,rendimento,financeiro
1049,rendimento,mamadeira
1050,rendimento,abomaso
1051,rendimento,aureus
1052,dilatar,infertilidade
1053,dilatar,oxigênio
1054,dilatar,cobalto
1055,dilatar,bicarbonato
1056,prurir,raio
1057,prurir,adesivo
1058,prurir,face
1059,prurir,nutrientes
1060,face,cor
1061,face,tanchagem
1062,face,lento
1063,face,elétrica
1064,patógeno,verme
1065,patógeno,óxido
1066,patógeno,contagioso
1067,patógeno,cobre
1068,detenção,estolão
1069,detenção,dossel
1070,detenção,hematúria
1071,detenção,série
1072,inseto,mensal
1073,inseto,textura
1074,inseto,campilobacteriose
1075,inseto,casco
1076,seleno,sintetizar
1077,seleno,mocho
1078,seleno,aminoácido
1079,seleno,lesão
1080,aspersor,roliço
1081,aspersor,tatuagem
1082,aspersor,sobreordenha
1083,aspersor,fisiologia
1084,desânimo,cor
1085,desânimo,arbusto
1086,desânimo,magnésio
1087,desânimo,dactylon
1088,desmame,demanda
1089,desmame,segregação
1090,desmame,manganês
1091,desmame,cobre
1092,lagoa,líquido
1093,lagoa,esterco
1094,lagoa,ruminal
1095,lagoa,reação
1096,cama,estiagem
1097,cama,perfilhamento
1098,cama,grão
1099,cama,forragear
1100,acidose,terço
1101,acidose,cobalto
1102,acidose,verme
1103,acidose,cobre
1104,mitocondrial,fertilização
1105,mitocondrial,arbusto
1106,mitocondrial,decumbens
1107,mitocondrial,hábito
1108,ataque,decumbens
1109,ataque,purpureum
1110,ataque,populaçãar
1111,ataque,diferem
1112,leucena,ciclo
1113,leucena,cristalino
1114,leucena,vedação
1115,leucena,cobre
1116,tumor,babar
1117,tumor,infectante
1118,tumor,reflexo
1119,tumor,ancep
1120,proteico,corda
1121,proteico,sintetizar
1122,proteico,digestível
1123,proteico,aminoácido
1124,somático,célula
1125,somático,laboratório
1126,somático,balde
1127,somático,desmamar
1128,concentrado,alimento
1129,concentrado,base
1130,concentrado,gordura
1131,concentrado,proteína
1132,hominivorax,coccidiose
1133,hominivorax,montar
1134,hominivorax,bicálcico
1135,hominivorax,face
1136,metal,concha
1137,metal,sombrear
1138,metal,abundante
1139,metal,ginecológico
1140,acidificar,estiagem
1141,acidificar,perfilhamento
1142,acidificar,inimigo
1143,acidificar,espécies
1144,lisa,cespitoso
1145,lisa,biológico
1146,lisa,grão
1147,lisa,ataque
1148,reincidência,dossel
1149,reincidência,perfilhamento
1150,reincidência,cespitoso
1151,reincidência,colheita
1152,abomaso,verme
1153,abomaso,lesão
1154,abomaso,mamadeira
1155,abomaso,cobre
1156,solúvel,rasteiro
1157,solúvel,enxofre
1158,solúvel,purpureum
1159,solúvel,diferem
1160,panicum,nlemfuensis
1161,panicum,dactylon
1162,panicum,hábito
1163,panicum,rasteiro
1164,herança,colmo
1165,herança,herbáceo
1166,herança,populaçãar
1167,herança,contaminação
1168,choque,colheita
1169,choque,estria
1170,choque,condensatu
1171,choque,perfilhamento
1172,sucedâneo,enxofre
1173,sucedâneo,estilosante
1174,sucedâneo,cor
1175,sucedâneo,suplementar
1176,estaçãar,diferem
1177,estaçãar,nlemfuensis
1178,estaçãar,enxofre
1179,estaçãar,dactylon
1180,antitóxico,nlemfuensis
1181,antitóxico,rasteiro
1182,antitóxico,sphacelatar
1183,antitóxico,purpureum
1184,artificial,rebanho
1185,artificial,rebanhar
1186,artificial,pelar
1187,artificial,interferir
1188,solubilizados,apetite
1189,solubilizados,oxigênio
1190,solubilizados,verme
1191,solubilizados,divisória
1192,embarcadouro,homeopático
1193,embarcadouro,demanda
1194,embarcadouro,mamadeira
1195,embarcadouro,suor
1196,colorir,deslocamento
1197,colorir,digestível
1198,colorir,sintetizar
1199,colorir,ginecológico
1200,alcalinidade,sonda
1201,alcalinidade,textura
1202,alcalinidade,líquido
1203,alcalinidade,orelha
1204,entrada,ar
1205,entrada,contaminação
1206,entrada,dose
1207,entrada,comercial
1208,mosca,contagioso
1209,mosca,reprodutor
1210,mosca,erosão
1211,mosca,sintetizar
1212,volumoso,concentrar
1213,volumoso,concentrado
1214,volumoso,ração
1215,volumoso,base
1216,iodofórmio,babosa
1217,iodofórmio,sol
1218,iodofórmio,buçal
1219,iodofórmio,bigemina
1220,bomba,manganês
1221,bomba,medo
1222,bomba,procurar
1223,bomba,nutrientes
1224,reidrata,traumatismo
1225,reidrata,reagente
1226,reidrata,pescoço
1227,reidrata,bicálcico
1228,insumo,lavar
1229,insumo,contaminação
1230,insumo,ácido
1231,insumo,infraestrutura
1232,sulco,vermifugação
1233,sulco,herdar
1234,sulco,pesar
1235,sulco,reação
1236,nuclear,anticorpo
1237,nuclear,baia
