index,resposta
11,"A descorna do animal ainda jovem é mais fácil e segura de ser feita, facilita o manejo do bezerro e dá maior segurança no trato com os animais adultos. É uma prática relativamente fácil de ser realizada, e evita acidentes decorrentes de brigas entre animais na fase adulta. 25"
12,"O leite “sujo”, ou colostro, é o leite produzido durante os 3 a 6 primeiros dias depois do parto. Ele é muito importante para a saúde do bezerro, especialmente quando ingerido nas primeiras 24horas de vida, uma vez que é a sua principal fonte de imunoglobulinas. É esse leite que garante a sobrevivência dos animais após o nascimento, pois eles nascem desprovidos de qualquer proteção contra os agentes causadores de doenças presentes no ambiente. São essas imunoglobulinas que dão imunidade e proteção ao bezerro nos primeiros dias de vida. Por isso, é indispensável fornecê-lo o mais rápido possível depois do nascimento."
13,"Sim. Oprimeiro colostro (da primeira ordenha pós-parto ou da primeira mamada) é muito mais rico em gordura, proteínas (de quatro a cinco vezes), minerais e vitaminas que o leite normal. Grande parte da proteína que o colostro contém a mais é composta de imunoglobulinas, que têm função protetora ou imunológica. À medida que são feitas as ordenhas ou que o bezerro mama na vaca, a composição do colostro vai se aproximando à do leite, isto é, os teores de proteína, sólidos totais, gordura, minerais e vitaminas vão diminuindo e, em contrapartida, os teores de água e lactose aumentam, até que o leite fique “limpo”, o que ocorre por volta de 5 a 6dias após o parto. Enquanto estiver disponível, o colostro deve ser o alimento fornecido aos bezerros, mesmo depois da primeira semana de vida. 26"
14,"Sim. Há levantamentos mostrando que as vacas primíparas (de primeira cria) produzem menos colostro que as multíparas. Asvacas mestiças, ordenhadas manualmente, produzem mais colostro que as ordenhadas mecanicamente, e o fato de os bezerros mamarem aumenta a produção de colostro. Também, as vacas com potencial de produção de leite mais alto produzem maior quantidade de colostro."
15,"Não. Porque o bezerro precisa mamar a maior quantidade possível de colostro, logo depois de nascer, a fim de garantir a ingestão de quantidade suficiente de imunoglobulinas. Se as vacas forem ordenhadas antes do parto, o bezerro irá mamar ou receber colostro mais pobre, o que pode conferir-lhe menor resistência – imunidade. Vacas que “pingam” leite vários dias antes do parto, mesmo que não ordenhadas, podem produzir colostro com baixa concentração de imunoglobulinas. Uma prática indicada para produtores que dispõem de freezer é guardar uma quantidade razoável de colostro, excedente da primeira ordenha pós-parto de uma vaca multípara. Esse colostro congelado pode ser usado na alimentação de bezerros recém-nascidos, apenas tendo o cuidado de descongelar em banho-maria, em temperatura inferior a 50°C, antes do seu fornecimento aos bezerros."
16,"Sim. Se não houver disponibilidade de colostro armazenado em freezer, a seguinte mistura deve ser fornecida três vezes ao dia, 27 durante os primeiros 3 ou 4dias de vida do bezerro: um ovo batido em 300mL de água, aos quais são adicionados 1colher de chá de óleo vegetal e 600mL de leite integral. Aclara de ovo tem efeito bactericida contra alguns agentes causadores de diarreias, e a albumina do ovo, à semelhança das globulinas do colostro, pode passar inalterada para a corrente sanguínea. Além disso, já existe no mercado gamaglobulina bovina para substituir o colostro, mas nem sempre é possível encontrá-la no comércio."
17,"O bezerro deve ficar com a mãe durante as primeiras 12horas após o nascimento, para garantir a ingestão do colostro. Se o nascimento ocorrer pela manhã, o bezerro deve ser apartado ao final do dia; se ocorrer à tarde, o bezerro é apartado no dia seguinte. É importante certificar-se de que o bezerro mamou o colostro. Na dúvida, deve-se ordenhar a vaca e fornecer, via sonda, 2L de colostro. Esse é o procedimento mais recomendado e adotado. Em rebanhos com raças especializadas (Holandês, Jersey, etc.), alguns técnicos recomendam a separação do bezerro logo após o nascimento, ordenhando a vaca e fornecendo os 2L de colostro via sonda. Mas, também é possível deixar o bezerro com a mãe por períodos mais prolongados, como a fase de colostro, por exemplo."
18,"Uma das formas de desaleitar o bezerro precocemente é apartá-lo da mãe entre 12 a 24horas após o nascimento, desde que tenha mamado o colostro. Obezerro deve ser levado, 28 de preferência, para uma baia (abrigo) individual, onde continuará recebendo o colostro no balde, até o terceiro dia de vida. No quarto dia, passa a receber leite integral (4L/animal/dia), em duas porções diárias (metade pela manhã e metade à tarde), até o décimo dia de idade. A partir do décimo dia, o bezerro pode receber o leite de uma só vez e, simultaneamente, um concentrado peletizado, que tenha ingredientes de boa qualidade e boa digestibilidade (18% de proteína bruta e, no mínimo, 75% de digestibilidade in vitro de matéria seca – DIVMS). Para estimular o consumo de concentrado, recomenda-se colocar uma pequena quantidade no fundo do balde, logo após o bezerro ter terminado de tomar o leite. Ao mesmo tempo, o concentrado deve ser colocado no cocho, aumentando sua quantidade gradativamente, à medida que o bezerro aumenta o consumo. Um bom consumo de concentrado é quando o bezerro ingere 1kg/animal/dia, nessa fase, ou seja, até a desmama. Depois do desaleitamento (desmama precoce), o bezerro deverá ingerir cerca de 2kg de concentrado/dia."
19,"A idade para o desa­leitamento precoce varia de 42 a 56dias, dependendo da quantidade de leite for­necido. Omais importante é que, ao ser desaleitado, o bezerro esteja consumindo no mínimo 800g de con­centrado/dia. Ainterrupção do fornecimento do leite pode ser feita de forma abrupta. Vale ressaltar que, quanto mais cedo ocorrer o desaleitamento, maiores cuidados devem ser dispensados ao bezerro. Após essa etapa, forneça 2kg de concentrado/ animal/dia. Daí em diante, não há necessidade de concentrado peletizado. Entretanto, o concentrado deve ser balanceado para 16% a 18% de PB e 80% de NDT, na base de matéria seca. 29"
20,"Sim. Pois no sistema de aleitamento artificial, o bezerro tem um desenvolvimento melhor e muito mais rápido. Quanto à desmama precoce em sistemas de aleitamento natural (bezerro mamando na vaca), pode-se realizá-la de duas maneiras: depois de 8 semanas de idade, o bezerro é apartado da vaca, não sendo mais conduzido à sala de ordenha para mamar; ou continua a ser levado à sala de ordenha com o objetivo apenas de estimular a “descida do leite” da mãe – no caso de vacas das raças zebuínas e mestiças Holandês x Zebu, as quais, geralmente, não descem o leite sem a presença do bezerro. Ressalta-se que a primeira alternativa só é possível em rebanhos cujas vacas produzam leite sem a presença do bezerro. No caso da desmama precoce, assim como no desaleitamento precoce, concentrado de boa qualidade (18% de PB e 80% de NDT) deve estar à disposição dos bezerros desde a segunda semana de idade."
21,"Nos 2 primeiros meses de vida, leite e concentrado, em quantidades adequadas, são os alimentos mais importantes para a nutrição dos bezerros. Nessa fase, o fornecimento de alimento volumoso contribui muito pouco para o desenvolvimento dos animais. Apartir do segundo mês de idade, com a redução da quantidade de leite, recomenda-se fornecer 2kg de concentrado/animal/dia. Apartir da desmama, o consumo de volumoso aumenta gradativamente, passando aos poucos a ser o principal alimento dos bezerros. É importante salientar que a qualidade (teor de proteína, NDT, FDN e DIVMS) do alimento volumoso é fundamental, pois o ganho de peso médio diário do bezerro depende da composição química do volumoso. Adieta (volumoso + concentrado) deve 30 conter 12% a 14% de PB, no mínimo 70% de NDT e DIVMS de 65%."
22,"A quantidade de leite a ser fornecida ao bezerro depende do ganho de peso desejado. Em sistemas convencionais, nos quais a produção de leite é a atividade principal, podem-se criar bezerros com 4L/leite/dia, até os 56dias de vida, o que totaliza 224L de leite por bezerro. Nesse caso, o fornecimento de concentrado de boa qualidade, peletizado de preferência, a partir de 10 a 14dias de idade, é essencial para o desenvolvimento do bezerro, que deve ter um ganho médio diário de 500g/dia, obtendo peso vivo de 60kg a 70kg, aos 56dias. Alguns técnicos preconizam o fornecimento de 6L, ou mais, de leite/dia aos bezerros, com o argumento de que assim eles têm melhor desenvolvimento. Isso é verdade. Porém, na tecnologia do desmame precoce, é fundamental fornecer apenas os 4L/leite/dia, pois isso força o bezerro a ingerir o concentrado, possibilitando assim o desenvolvimento do rúmen e o desmame precoce."
23,"A temperatura ideal do leite a ser fornecido aos bezerros é de 37°C. Omais importante, porém, é fornecê-lo sempre no mesmo horário e na mesma temperatura. Como há possibilidade de armazenar o leite sob resfriamento, recomenda-se fornecer o leite da ordenha da tarde do dia anterior para os bezerros. 31"
24,"São chamadas de sucedâneos do leite as misturas comerciais de produtos de origem vegetal e animal, destinadas a substituir, total ou parcialmente, os constituintes naturais do leite (proteínas, aminoácidos). En­tretanto, os ingredientes dos sucedâneos devem apresen­tar alta qualidade (teores de gordura e fibra adequados). Já existem no mercado bons sucedâneos que pro­movem o desenvolvimento normal dos bezerros. Como a com­posição desses produtos varia muito de um fornecedor a outro, e até no mesmo produto, ao longo do tempo, sugere-se consultar um nutricionista e sempre fazer um teste com alguns animais antes de adotá-los definitivamente. Além disso, o custo do sucedâneo deverá ser competitivo com o valor do leite."
25,"O leite de soja não deve substituir o leite integral durante os 2 primeiros meses de vida dos bezerros, porque eles não sintetizam as enzimas para digerir as proteínas contidas na soja. É por essa razão que os sucedâneos do leite a base de soja provocam diarreias nos bezerros."
26,"Um bom concentrado deve ser palatável e conter os nutrientes necessários ao desenvolvimento do bezerro. Seu preparo deve levar em conta os seguintes pontos:  Textura grosseira (ingredientes muito finos reduzem o consumo).  Sabor adocicado (as misturas comerciais normalmente contêm de 5% a 7% de melaço).  A variedade de ingredientes pode melhorar a aceitabilidade. 32  Nível baixo de fibra.  Nível alto em energia (80% de NDT).  Conter 16% a 18% de proteína bruta, ou mais, caso o volumoso contenha baixo teor (menor que 8% de PB) de proteína.  Possuir minerais (Ca, P, Mg, Zn, Cu, Co, Se, I, Na, Cl e Mo) e vitaminas (A, D e E) para suprir as exigências diárias dos animais."
27,"O leite tem de 3,0% a 3,3% de PB e 15,6% de NDT. Ao ingerir 1L de leite, a bezerra estará ingerindo de 30g a 33g de PB, e 156g de NDT. Aração normalmente usada para bezerras tem 16% de PB e 70% de NDT. Ao ingerir 1kg de concentrado, a bezerra estará ingerindo 160g de PB e 700g de NDT. Dividindo-se a PB do concentrado / PB do leite = 160/30 = 5,3 ou 160/33 = 4,8. Dividindo-se o NDT do concentrado / NDT do leite = 700/156 = 4,5. Portanto, a ração concentrada tem 4,5 vezes mais NDT e de 4,8 a 5,3 vezes mais PB que o leite. Entretanto, os nutrientes do leite são duas vezes mais bem absorvidos pelo animal que os nutrientes da ração. Então, a vantagem da ração deve ser dividida por dois. Daí: 4,5/ 2 = 2,25. Então, a vantagem da ração concentrada é de 2,25 vezes mais que o leite. Assim, deve-se comparar o valor da venda de 2,25L de leite com o preço de compra de 1kg de ração concentrada usada para as bezerras. Por exemplo, considere os preços válidos no início de 2011 e que as bezerras a serem alimentadas atendam às condições para serem desmamadas. Oleite é vendido a R$0,70, o litro, e a ração concentrada,comprada a R$0,80, o quilo. 33 A comparação seria: R$0,80 do preço da ração comparado com (2,25 x R$0,70) = R$1,575 do leite. Nessa situação hipotética, o produtor vende 2,25L de leite por R$1,575 e compra 1kg de ração concentrada por R$0,80, economizando R$0,78. Ou seja, ao fornecer ração concentrada, o produtor gastará menos com a alimentação das bezerras."
28,"As pastagens para bezerros devem ser constituídas de forrageiras de boa qualidade (composição química e palatabilidade) e de porte baixo. São recomendados os capins Estrela-africana, Tifton 85, Coast-cross e Brachiaria brizantha cv. Marandu. É bom salientar que a qualidade das forrageiras depende do período de descanso da pastagem (intervalo de desfolha). Em condições de pastejo com 24 a 30dias de rebrota, essas gramíneas apresentam de 14% a 16% de PB, 60% a 65% de FDN e 65% a 70% de NDT."
29,"Bezerros que já ruminam (aproximadamente, 30dias de vida) podem receber cana-de-açúcar corrigida com 1% da mistura de 900g de ureia e 100g de sulfato de amônio, para cada 100kg de cana-de-açúcar in natura. Não se pode esquecer que bezerros jovens precisam de proteína de alta qualidade (boa composição em aminoácidos, especialmente, metionina e lisina), como a do farelo de soja. Acana-de-açúcar possui em sua composição química aproximadamente 3% de PB, chegando a 10%, quando corrigida com 1% de ureia (mistura citada acima). A cana é rica em açúcares (50% na base de matéria seca) e possui 50% de fibra detergente neutro (FDN), mas apenas 25% a 30% dessa fibra são digeridos no rúmen pela população microbiana. 34 É importante salientar que a cana corrigida com ureia (10% de PB) ainda é insuficiente para atender a necessidade de PB dos bezerros. Outra opção seria a utilização de silagem de milho (8% de PB, 50% de FDN e 70% de NDT), que apresenta melhor qualidade e maior consumo que a cana. Contudo, há necessidade de suplementação proteica para balancear a dieta dos bezerros."
30,"Não. Mas faz-se necessária a adaptação dos animais, de maneira gradativa, à nova dieta com ureia. Bezerros tratados à base de concentrado com 2% de ureia desde as primeiras semanas de idade, com aumento gradativo da dosagem de ureia e do consumo de concentrado, adaptam-se a essa dieta sem maiores problemas. Entretanto, é preciso lembrar que bezerros jovens têm alta exigência de proteína de boa qualidade."
31,"Deve ser de baixo custo, oferecer conforto para os animais e facilitar o manejo. Acredita-se que um dos principais fatores relacionados à alta taxa de mortalidade de bezerros jovens seja o uso de instalações inadequadas. E certos tipos de instalação exigem muita mão de obra, dificultando a execução das tarefas de rotina. É importante salientar que há a opção de utilização de abrigos individuais, que estão substituindo o bezerreiro, principalmente, pela facilidade de manutenção de ambiente sombreado, seco e limpo, e pela possibilidade de ser mudado de local. Além disso, permite o fornecimento individual de leite, volumoso, concentrado e água. 35"
32,"Não. Pois o abrigo individual é a instalação mais indicada para o manejo de bezerros. Entretanto, se a propriedade já possui um bezerreiro convencional de alvenaria ou de madeira, deve-se verificar se é bem ventilado (sem, contudo, permitir vento direto sobre os animais) e ensolarado. E deve-se evitar umidade no local, pois a umidade causa desconforto e favorece o aparecimento de doenças. Esse tipo de bezerreiro pode funcionar satisfatoriamente se apresentar boas condições de higiene. É importante lembrar que, mesmo em ambiente sombreado, há necessidade de que o posicionamento da instalação favoreça a entrada de luz solar e ventilação para manter o ambiente em condições confortáveis para o animal."
33,"Sim. Ospiquetes para bezerros devem ter alguma declividade para evitar encharcamento, dispor de bebedouro com água limpa, cocho para concentrado e área de sombra. Porém, até 20 a 30dias de idade, os bezerros não utilizarão a pastagem para alimentação, pois são considerados não ruminantes."
34,"As vantagens dos abrigos individuais são o custo da instalação, a mobilidade, a saúde e a alimentação individual. A mudança de local do abrigo, ao substituir um bezerro mais velho por um recém-nascido, permite quebrar o ciclo de vida dos 36 organismos causadores de doenças. Osabrigos devem ficar em terreno seco e bem drenado, com a parte aberta voltada para o sol nascente e as partes lateral e traseira voltadas para os ventos dominantes e a chuva. Recomenda-se dimensionar a gaiola/ casinha de acordo com o tamanho do bezerro durante a fase de aleitamento."
35,"Sim. Como os abrigos são instalados em áreas de pastagem, mas isoladas das outras categorias de animais, para tornar o ambiente confortável para o bezerro, aconselha-se colocar cama de capim seco, podendo-se utilizar, também, a casca de arroz. Não há necessidade de se trocar diariamente toda a cama, a não ser que esteja encharcada. Omais indicado é substituir, diariamente, apenas as partes molhadas da cama."
36,"A quantidade de concentrado a ser fornecida depende do ganho de peso desejado e da qualidade do alimento volumoso disponível. Na maioria das vezes, as novilhas recebem 2kg de concentrado (com 16% a 18% de PB e 75% ou mais de NDT), por dia, mais o pasto, na época chuvosa, após o desmame. Se o volumoso for de boa qualidade, o concentrado pode ser reduzido para 1kg/dia, mas a proteína bruta da dieta não deve ser menor que 12% na base de matéria seca."
37,"Para a raça Holandês, recomenda-se a cobertura a partir dos 340kg; para a Jersey, a partir de 230kg; e para as mestiças Holandês x Zebu, a partir de 330kg, de peso vivo. 37 O produtor deve estabelecer sua meta, ou seja, com que idade suas novilhas devem atingir esses pesos. Apartir dessa definição, estima-se o ganho diário de peso durante a fase de recria, bem como a alimentação a ser fornecida para se atingir essa meta. Se não conseguir o peso ideal das novilhas, o melhor é atrasar a data do acasalamento, pois vacas pequenas ao parto sempre serão animais pequenos, especialmente, as boas de leite. Vacas de primeira lactação sempre têm o pior desempenho reprodutivo dentro do rebanho. Aredução da idade ao parto permite reduzir o custo e/ou aumentar o ganho genético do rebanho. Na época das chuvas, novilhas manejadas em boas pastagens (pastejo rotativo) atingem ganhos ótimos de 700g/dia. Na época seca do ano, deve-se buscar ganhos de 500g/dia em novilhas suplementadas com volumoso e concentrado. A idade da novilha, ao primeiro parto, deve ser de 24meses, independentemente da raça. E o fator mais importante do que o peso à cobertura é o peso da novilha na época do parto. Por exemplo: se o peso ao nascer estiver entre 30kg a 40kg; o peso aos 60dias (desaleitamento), entre 60kg e 70kg (ganho médio diário de 500g); aos 6meses, 150kg a 160kg; aos 12meses, 240kg a 250kg; aos 15meses, entre 300kg e 320kg (ganho médio diário de 550g); aos 24meses, estará entre 460kg e 480kg (ganho médio diário de 600g). Essa simulação mostra que as novilhas da raça Holandês, para obter 550kg ao parto, e as mestiças Holandês x Zebu, 500kg, necessitam que o ganho médio diário, em certas fases, seja superior a 700g. Salienta-se que na época seca, devido à disponibilidade e ao custo maior com a alimentação, o ganho de peso é menor que o da época chuvosa."
38,"Nos países de pecuária leiteira desenvolvida e em alguns rebanhos no Brasil, a primeira cobertura ocorre aos 15meses de 38 idade, e o primeiro parto em torno dos 24meses, com os pesos adequados. Essa deve ser a meta de todo criador. Novilhas que parem ainda novas dão mais leite e mais crias durante a vida útil, acelerando o progresso genético do rebanho, desde que o sêmen utilizado seja escolhido criteriosamente. Além disso, permitem a venda dos animais mais velhos como vacas ainda em lactação e não como vacas de descarte, o que aumenta a receita da propriedade e o lucro, especialmente se as vacas forem vendidas após a 3ª ou 4ª crias."
39,"Provavelmente, porque não receberam alimentação adequada, capaz de lhes proporcionar o ganho médio diário (700 a 800g/dia), necessário para atingirem o peso ideal de cobertura."
40,"O procedimento indicado é fornecer alimentação suficiente para atender às necessidades de crescimento, mantença e gestação, de modo a não prejudicar seu desempenho futuro (produção de leite e reprodução). Se for muito jovem, pode-se também provocar o aborto. Isso demonstra que as novilhas estão ciclando com pesos menores."
41,"Quais alimentos contêm esses ingredientes? Tanto a proteína quanto a energia são vitais para atender as necessidades de mantença, ganho de peso, reprodução e produção dos animais, e permitem o bom funcionamento do sistema de defesa do organismo contra doenças. A energia é, comumente, expressa em nutrientes digestíveis totais (NDT), ou ainda, em energia líquida (EL) do alimento. Nesse caso, desconta-se a energia perdida na forma de gases (metano) e calor, e o resultado é a quantidade de energia que é utilizada para a síntese de proteína, a partir dos aminoácidos, para acúmulo de músculo, gordura (ganho de peso), ou mesmo para a síntese dos componentes do leite, tais como proteína (caseína, albumina e globulinas), gordura e lactose (açúcar do leite). Para a síntese desses componentes, é necessária energia líquida, que tem eficiência de utilização diferente para ganho de peso e para lactação. Uma fração da proteína do alimento no rúmen é degradada em nitrogênio não proteico (N) e aminoácidos (AA). Asbactérias e protozoários precisam de proteína (que pode estar na forma de N e AA) para se desenvolverem no líquido ruminal. São eles que digerem a fibra do alimento por meio da produção da enzima celulase. Osprodutos da digestão do alimento no rúmen são os ácidos graxos voláteis (AGV), os quais são absorvidos pela parede ruminal e entram na corrente sanguínea. Daí, são levados para o fígado e, depois, para as células da glândula mamária, para a síntese do leite (proteína, caseína, albumina e globulinas), lactose e gordura (manteiga e creme). As bactérias presentes no rúmen, aderidas às partículas de alimentos que não foram totalmente digeridos, passam para o abomaso e sofrem digestão química por meio da enzima pepsina, ativada pelo ácido clorídrico. No intestino delgado, as proteínas também são digeridas pelas enzimas pancreáticas tripsina, quimotripsina e procarboxipeptidase. As bactérias são degradadas em proteína de origem microbiana, sendo absorvidas como aminoácido no intestino delgado 42 dos bovinos, assim como a proteína que escapa da digestão ruminal é degradada em AA. Parte do alimento que não é digerido no rúmen é eliminada na forma de fezes. Os suplementos energéticos mais comuns são o milho, o sorgo, o farelo de trigo, a mandioca e seus coprodutos, a polpa cítrica e a casquinha de soja. Já entre os proteicos, destacam-se o farelo de soja, o farelo e a torta de algodão, o farelo de amendoim e o farelo de girassol."
42,"Sim. Oexcesso de proteína sobrecarrega o fígado e os rins, pois esse excesso é excretado pela urina, com alto custo energético. Também significa maior custo financeiro, já que a parte mais cara do concentrado é, exatamente, a fração proteica. Há indícios de que a proteína em excesso também pode causar problemas no desempenho reprodutivo. Por isso, o balanceamento de rações é importante."
43,"Baixos níveis de proteína reduzem principalmente o consumo alimentar e a produção de leite, o que é altamente indesejável. Além disso, o baixo teor de proteína bruta (PB) na dieta resulta em baixa população microbiana no rúmen e redução da digestão dos alimentos. Portanto, deve-se fornecer a quantidade recomendada de proteína, que varia principalmente com o peso do animal, o estágio da lactação e a produção de leite."
44,"Recomenda-se que a quantidade de nitrogênio não proteico não ultrapasse ⅓ da proteína total da dieta. 43 O aproveitamento do nitrogênio não proteico pela população microbiana do rúmen depende do nível de energia da dieta. Por exemplo: em uma dieta com 18% de PB na base de matéria seca (MS), seis unidades de PB (1/3) podem ser provenientes da ureia, ou seja, 100kg de ureia equivalem a 281% de PB (45% de N x 6,25 = 281% de PB). Então, 2% de ureia no concentrado equivalem a 5,6 unidades de PB. Por isso, usualmente, são utilizados no máximo 2% de ureia no concentrado, pois a energia pode limitar o aproveitamento da ureia pela população microbiana e ser eliminada na urina. Portanto, para utilizar ureia é necessário fornecer um alimento como fonte de energia, como milho moído, sorgo moído e polpa cítrica, que são ricos em energia."
