source;target;Direction;TypeOf
parto;gestação;Direct;Synonym
instalações;bom;Inverse;Qualifies
zebuínas;cruzamento;Direct;UsedFor
animais;infecção;Inverse;Affects
animais;novilho;Inverse;IsA
animais;organismo;Direct;Contains
animais;parto;Inverse;TypicalOf
animais;proteína;Direct;Contains
animais;resíduo;Direct;Produces
tratamento;pastagem;Direct;Affects
mamadeira;vaca;Direct;UsedIn
microbiana;população;Inverse Compose;Composite
bezerra;desmamar;Direct;TypicalOf
bezerra;lactação;Not;TypicalOf
distúrbio;vaca;Direct;Affects
leguminosa;solo;Direct;AtLocation
minerais;balancear;Direct;UsedFor
minerais;lactação;Direct;Affects
minerais;magnésio;Inverse;IsA
minerais;volumoso;Inverse;Contains
ordenha;lavar;Inverse;Affects
fibra;vaca;Direct;Affects
sementes;forrageira;Inverse;Produces
sementes;semeadura;Direct;UsedFor
concentração;solo;Inverse;HasProperty
bovina;doença;Inverse;TypeOf
ordenhador;bezerro;Direct;LocatedNear
espécies;brachiaria;Inverse;HasProperty
espécies;braquiária;Inverse;HasProperty
espécies;tropical;Direct;TypeOf
espécie;brachiaria;Inverse;HasProperty
cruza;raça;Inverse;UsedFor
cruza;vaca;Inverse;CapableOf
gramínea;brachiaria;Inverse;IsA
diluição;água;Inverse;UsedFor
novilha;animal;Direct;IsA
novilha;bezerro;Direct;SimilarTo
rebanho;bezerro;Inverse;PartOf
mutica;brachiaria;Inverse Compose;Composite
alta;grande;Direct;EtymologicallyRelatedTo
alta;raça;Inverse;HasProperty
desinfetantes;teto;Direct;UsedIn
instalações;bezerro;Inverse;AtLocation
instalações;grande;Direct;HasProperty
zebuínas;guzerá;Inverse;TypeOf
zebuínas;mestiço;Inverse;MadeOf
magra;gordo;Direct;Antonym
animais;acasalamento;Inverse;TypicalOf
animais;capim;Inverse;UsedBy
animais;fêmea;Inverse;TypeOf
animais;morte;Inverse;Affects
animais;nutriente;Direct;Contains
tratamento;quarto;Direct;Affects
desmame;precoce;Compose;Composite
bezerra;grande;Direct;HasProperty
bezerra;mãe;Direct;HasA
bezerra;novilho;Direct;SimilarTo
bezerra;proteína;Direct;Contains
bezerra;pé;Direct;HasA
bezerra;teto;Direct;HasA
minerais;parto;Direct;Affects
pele;vaca;Inverse;HasA
homeopático;medicamento;Inverse;typeOf
bernes;mosca;Inverse;Causes
concentrado;nutriente;Direct;Contains
gênero;brachiaria;Inverse;isa
irrigação;pastagem;Direct;UsedIn
pelagem;bom;Direct;HasProperty
pelagem;vaca;Inverse;Contains
sementes;braquiária;Direct;TypeOf
estimular;bezerro;Direct;Affects
fêmea;embrião;Inverse;TypeOf
medo;vaca;Direct;Affects
sofrimento;animal;Direct;Affects
trator;pastagem;Inverse;UsedFor
lagoa;líquido;Direct;Contains
isolamento;doença;Direct;UsedAgainst
ordenhador;manual;Direct;typeOf
levedura;animal;Direct;UsedBy
levedura;vaca;Direct;UsedBy
espécies;cigarra;Inverse;HasProperty
espécies;leguminoso;Inverse;HasProperty
espécies;mosca;Inverse;HasProperty
contaminação;bactéria;Inverse;causes
medir;vaca;Direct;UsedIn
nutrientes;animal;Inverse;Contains
nutrientes;bom;Direct;Qualifies
parasitária;agente;Inverse;typeOf
novilha;pequeno;Inverse;Qualifies
zebuínos;raça;Direct;IsA
forragem;mineral;Direct;Contains
desmamar;vaca;Direct;Affects
rebanho;pequeno;Inverse;typeof
rebanho;puro;Inverse;typeof
reação;gel;Inverse;causes
procedimento;vaca;Direct;UsedIn
alta;concentração;Inverse;Measures
perda;proteína;Inverse;Affects
suplemento;pasto;Direct;AtLocation
zebuínas;genético;Direct;HasProperty
zebuínas;puro;Inverse;TypeOf
magra;corporal;Direct;Measures
aptidão;gir;Inverse;HasProperty
animais;ar;Direct;Desires
animais;calor;Inverse;Affects
animais;concentração;Inverse;Measures
animais;doador;Direct;Role
animais;embrião;Direct;Produces
estimulante;bezerro;Direct;UsedIn
tratamento;sintoma;Direct;UsedAgainst
mamadeira;ordenha;Direct;SimilarTo
desmama;vaca;Direct;Affects
desmame;vaca;Direct;Affects
seca;chuva;Direct;Antonym
seca;pastagem;Direct;Affects
seca;água;Direct;Antonym
capineira;solo;Direct;Contains
peladeira;vaca;Direct;Affects
zebuíno;raça;Direct;IsA
sede;bebedouro;Inverse;UsedAgainst
sede;calor;Inverse;causes
sede;lagoa;Inverse;UsedAgainst
rasteira;pastejo;Direct;UsedFor
máximo;alimento;Direct;Measures
máximo;proteína;Direct;Measures
microbiana;contaminação;Direct;causes
demora;parto;Direct;Affects
cobre;solo;Inverse;Contains
bezerra;alimento;Inverse;UsedBy
bezerra;cuidado;Inverse;UsedIn
bezerra;imunoglobulina;Direct;Contains
bezerra;instalação;Direct;AtLocation
bezerra;pastagem;Direct;AtLocation
conservante;silagem;Direct;UsedIn
cova;plantio;Direct;UsedFor
verão;inverno;Direct;Antonym
verão;plantio;Direct;Affects
mamário;infecção;Inverse;Affects
mamário;medicamento;Inverse;UsedIn
mamária;infecção;Inverse;Affects
mamária;medicamento;Inverse;UsedIn
leguminosa;espécie;Direct;HasProperty
leguminosa;semente;Direct;Produces
minerais;concentrado;Inverse;Measures
leguminoso;semente;Inverse;Produces
emagrecimento;vaca;Direct;Affects
térmico;instalação;Direct;typeof
semear;semente;Inverse;usedfor
térmica;instalação;Inverse;typeof
variação;teor;Direct;Measures
ordenha;cuidado;Inverse;usedin
ordenha;infecção;Inverse;Affects
ordenha;lactação;Direct;HasPreqrequisite
sugador;inseto;Direct;typeof
pele;genético;Inverse;Affects
cupim;pastagem;Direct;Affects
treinamento;vaca;Direct;usedin
infectocontagiosa;infectar;Direct;causes
núcleo;embrião;Direct;usedfor
concentrado;cocho;Inverse;Contains
concentrado;forrageira;Direct;MadeOf
concentrado;silagem;Direct;usedfor
concentrado;suplementar;Direct;usedfor
gênero;bactéria;Inverse;HasProperty
alumínio;pastagem;Direct;Affects
corporal;magro;Inverse;Measures
irrigação;gramínea;Direct;usedIn
irrigação;plantio;Direct;usedIn
irrigação;seca;Direct;UsedAgainst
químico;pastagem;Direct;Affects
digestão;sistema;Inverse;TypeOf
fibra;proteína;Direct;RelatedTo
pelagem;grande;Inverse;Measures
pelagem;pequeno;Inverse;Measures
sementes;bom;Direct;Qualifies
estimular;vaca;Direct;Affects
fêmea;novilho;Inverse;typeof
medo;animal;Direct;Affects
fêmeo;vaca;Inverse;isa
teor;açúcar;Direct;Measures
teor;volumoso;Direct;Measures
cigarra;brachiaria;Direct;Affects
concentração;alto;Inverse;Qualifies
concentração;forragem;Direct;Measures
concentração;silagem;Direct;Measures
trator;esterco;Inverse;UsedBy
germinação;plantio;Direct;HasSubevent
solo;árvore;Direct;AtLocation
material;silo;Direct;MadeOf
bovina;leiteiro;Inverse;typeOf
bovina;rebanho;Inverse;Contains
adubar;gramínea;Inverse;ReceivesAction
pelar;genético;Inverse;Affects
descendente;bezerro;Inverse;isa
adubo;animal;Inverse;Produces
adubo;gramínea;Direct;usedIn
adubo;pastagem;Direct;usedIn
adubo;solo;Direct;usedIn
ordenhador;cuidado;Inverse;TypicalOf
ordenhador;lavar;Inverse;TypicalOf
animal;medicamento;Inverse;usedIn
temperatura;bezerro;Inverse;HasProperty
aveia;semente;Direct;Produces
planta;gramínea;Inverse;IsA
criopreservação;embrião;Direct;UsedIn
colheita;plantio;Direct;HasSubevent
fertirrigação;sistema;Inverse;typeOf
sobreordenha;teto;Direct;Affects
vedação;silo;Direct;Affects
glândula;célula;Direct;Contains
partícula;gordura;Direct;typeOf
reprodutivo;parto;Direct;RelatedTo
emagreceu;vaca;Direct;Affects
recomendação;fabricante;Direct;CreatedBy
pasto;bezerro;Inverse;AtLocation
pasto;gramínea;Inverse;AtLocation
espécies;cultura;Direct;UsedFor
espécies;inseto;Inverse;HasProperty
espécies;panicum;Inverse;HasProperty
tóxico;samambaia;Inverse;HasProperty
natalidade;médio;Direct;Measures
contaminação;animal;Direct;Affects
heterozigoto;gene;Direct;Contains
diarreia;infeccioso;Direct;typeOf
espécie;inseto;Inverse;HasProperty
acasalar;vaca;Direct;TypicalOf
instalação;seco;Inverse;HasProperty
instalação;tratamento;Direct;UsedFor
ingrediente;bom;Direct;Qualifies
armazenagem;sistema;Inverse;typeof
nutrientes;concentrar;Direct;CapableOf
nutrientes;planta;Inverse;HasProperty
abrasividade;silo;Inverse;HasProperty
novilha;gestação;Not;TypicalOf
novilha;rebanho;Direct;PartOf
aeróbia;sistema;Direct;typeof
zebuínos;vaca;Direct;typeof
integração;cultura;Inverse;UsedFor
integração;sistema;Direct;Typeof
pastagem;cobertura;Direct;HasProperty
magnésio;dieta;Direct;UsedFor
magnésio;água;Direct;Affects
detenção;sistema;Direct;typeof
misturador;mineral;Inverse;usedby
semeadura;pastagem;Direct;usedin
semeadura;plantio;Direct;UsedFor
desmamar;precoce;Inverse;typeof
homozigoto;gene;Direct;typeof
aminoácido;microbiano;Inverse;typeof
rebanho;acasalamento;Direct;usedfor
rebanho;cruzamento;Direct;usedfor
rebanho;macho;Inverse;typeof
cetose;vaca;Direct;Affects
alta;febre;Direct;typeof
perda;animais;Inverse;typeof
perda;gordura;Inverse;typeof
perda;lactação;Inverse;typeof
eficiente;carrapaticida;Inverse;HasProperty
semeadeira;semente;Inverse;usedby
suplemento;vaca;Direct;usedby
suplemento;volumoso;Direct;contains
acasalamento;filho;Direct;Produces
doador;embrião;Direct;Produces
instalações;animais;Direct;usedby
instalações;doença;Direct;Causes
instalações;seco;Direct;HasProperty
instalações;tratamento;Direct;usedfor
instalações;vaca;Inverse;AtLocation
magra;parto;Direct;Affects
tecidos;animal;Inverse;contains
tecidos;mamário;Direct;typeof
aptidão;holandês;Inverse;HasProperty
bicarbonato;dieta;Direct;usedfor
montar;vaca;Inverse;usedfor
animais;bactéria;Inverse;Affects
animais;bebedouro;Inverse;usedby
animais;cerca;Direct;ObstructedBy
animais;concentrado;Inverse;usedby
animais;consumir;Direct;typicalof
animais;doméstico;Direct;typeof
animais;eficiente;Direct;HasProperty
animais;larva;Inverse;Affects
animais;medicamento;Inverse;usedin
animais;parasita;Inverse;Affects
animais;piquete;Direct;AtLocation
animais;procedimento;Inverse;UsedIn
animais;árvore;Direct;AtLocation
inimigo;natural;Compose;Composite
estimulante;vaca;Direct;usedby
aproveitamento;plantio;Inverse;usedfor
aproveitamento;sistema;Direct;typeof
digestivo;sistema;Inverse;typeof
descamação;bezerro;Direct;Affects
tratamento;infecção;Direct;UsedAgainst
tratamento;parto;Direct;Affects
fertilização;embrião;Direct;Produces
fertilização;vitro;Direct;typeof
cruzar;raça;Inverse;usedfor
cruzar;vaca;Direct;typicalof
desmama;precoce;Compose;Composite
seca;esterco;Inverse;typeof
seca;forragem;Inverse;typeof
seca;instalação;Inverse;HasProperty
seco;pastagem;Direct;Affects
peladeira;genético;Direct;typeof
zebuíno;vaca;Inverse;typeof
sede;ataque;Inverse;causes
sede;desidratação;Direct;causes
sede;equino;Direct;Affects
sede;imunidade;Direct;Affects
sede;intestino;Direct;Affects
silo;forragem;Direct;contains
nitrogênio;material;Direct;IsA
nitrogênio;orgânico;Inverse;typeof
rasteira;planta;Inverse;typeof
pesagem;animal;Direct;usedin
máximo;medida;Direct;Measures
máximo;população;Direct;Measures
máximo;teor;Direct;Measures
puro;genético;Direct;Qualifies
óxido;bicarbonato;Direct;typeof
óxido;dieta;Direct;Affects
oócito;embrião;Direct;Produces
lactente;bezerro;Direct;typeof
intestino;proteína;Inverse;Affects
bezerro;volumoso;Inverse;usedby
bezerra;desaleitamento;Inverse;Affects
bezerra;holandês;Inverse;typeof
bezerra;mestiço;Inverse;typeof
bezerra;ração;Inverse;usedby
bezerra;volumoso;Inverse;usedby
parir;vaca;Direct;typicalof
sanitário;vaca;Direct;Affects
conservante;silo;Direct;usedin
reprodutor;genético;Direct;HasProperty
reprodutor;monta;Direct;usedfor
reprodutor;vaca;Direct;usedin
mamário;antibiótico;Inverse;usedin
mamário;grande;Inverse;Measures
mamário;mãe;Inverse;HasProperty
mamário;pequeno;Inverse;Measures
fermentação;silo;Direct;Affects
mamária;antibiótico;Inverse;usedin
mamária;grande;Inverse;Measures
mamária;mãe;Inverse;HasProperty
mamária;pequeno;Inverse;Measures
mamária;tecido;Direct;typeof
abomaso;vaca;Direct;PartOf
leguminosa;arbusto;Inverse;typeof
leguminosa;forrageira;Inverse;typeof
leguminosa;forragem;Direct;usedfor
leguminosa;planta;Direct;isa
leguminosa;tropical;Inverse;typeof
leguminosa;árvore;Inverse;typeof
minerais;alimento;Inverse;contains
minerais;potássio;Inverse;isa
minerais;suplemento;Inverse Compose;Composite
minerais;óxido;Inverse;isa
leguminoso;forragem;Direct;usedfor
leguminoso;tropical;Inverse;typeof
leguminoso;árvore;Inverse;typeof
calagem;forrageira;Direct;Affects
térmico;temperatura;Direct;EtymologicallyRelatedTo
piquete;cerca;Inverse;usedin
vegetal;pastagem;Direct;AtLocation
térmica;temperatura;Direct;EtymologicallyRelatedTo
desfolha;pastagem;Direct;Affects
espermatozoide;macho;Inverse;produces
tamponante;bicarbonato;Inverse;usedas
tamponante;vaca;Direct;usedin
sexo;vaca;Inverse;HasProperty
fisiológico;vaca;Inverse;HasA
bula;carrapaticida;Inverse;hasA
absorvível;proteína;Direct;typeof
febre;alto;Direct;Measures
biológico;tratamento;Direct;typeof
tolerância;brachiaria;Inverse;HasProperty
tolerância;grande;Inverse;Measures
tolerância;solo;Direct;HasProperty
rufião;vaca;Direct;usedin
cérvix;parto;Direct;usedfor
variação;concentração;Direct;Measures
variação;lactação;Direct;Measures
variação;proteína;Direct;Measures
manteiga;gordura;Direct;isa
ordenha;limpo;Direct;HasProperty
ordenha;utensílio;Inverse;usedfor
pele;seco;Inverse;Affects
cirúrgico;testículo;Direct;usedin
prolapso;parto;Inverse;causes
aditivo;bicarbonato;Inverse;usedas
bernes;espécie;Direct;HasProperty
caixa;térmico;Inverse;typeof
aureus;agalactiae;Direct;SimilarTo
aureus;contagioso;Direct;HasProperty
híbrido;cruzamento;Inverse;produces
infestação;animal;Direct;Affects
armazenamento;mineral;Inverse;usedfor
estresse;corporal;Inverse;typeof
estresse;metabólico;Inverse;typeof
estresse;sistema;Direct;Affects
estresse;temperatura;Inverse;Affects
estreptococo;coliforme;Inverse;contains
parteiro;gestação;Inverse;ReceivesAction
parteiro;rebanho;Direct;UsedIn
gestante;bezerro;Direct;produces
gestante;vacar;Inverse;HasProperty
concentrado;comer;Direct;usedfor
concentrado;desmame;Direct;usedfor
concentrado;forragem;Direct;contains
concentrado;novilho;Direct;usedby
concentrado;tamponante;Direct;contains
pivô;aspersor;Direct;PartOf
gênero;doença;Inverse;HasProperty
anaeróbia;lagoa;Direct;AtLocation
geada;solo;Direct;Affects
pressãar;aspersor;Inverse;HasProperty
antibiose;brachiaria;Direct;Affects
pus;presença;Inverse;Qualifies
irrigação;água;Inverse;usedfor
ácido;fosfato;Direct;produces
ácido;solo;Inverse;contains
célula;corpo;Direct;partof
célula;inflamatório;Inverse;Affects
célula;proteína;Inverse;usedby
célula;vaca;Direct;partof
digestão;alimento;Inverse;ReceivesAction
digestão;bactéria;Inverse;Affects
guzerá;aptidão;Inverse;HasProperty
osso;fósforo;Inverse;Affects
colhedeira;plantio;Direct;usedfor
pilha;compostagem;Direct;contains
fibra;dieta;Direct;usedfor
acetonemia;vaca;Direct;Affects
arenoso;solo;Inverse;HasProperty
farinha;fósforo;Inverse;usedin
pastejo;brachiaria;Inverse;usedfor
pelagem;animal;Inverse;HasProperty
pelagem;raça;Inverse;HasProperty
sementes;aveia;Inverse;typeof
sementes;invasor;Inverse;Affects
sementes;leguminoso;Inverse;typeof
sementes;planta;Direct;produces
sementes;plântula;Direct;produces
sementes;semear;Direct;usedfor
arbusto;árvore;Direct;SimilarTo
fêmea;bezerro;Direct;HasProperty
fêmea;filho;Direct;produces
bovino;eficiente;Direct;HasProperty
teor;fósforo;Direct;Measures
herbicida;plantio;Direct;usedin
uterino;parto;Direct;usedfor
monta;animal;Inverse;usedfor
albumina;globulina;Direct;SimilarTo
albumina;gordura;Direct;UsedAgainst
albumina;proteína;Direct;isa
dactylon;brachiaria;Direct;SimilarTo
dactylon;nlemfuensis;Direct;SimilarTo
vermelhinho;micuim;Direct;SameAs
cigarra;inseto;Direct;isa
cigarra;pastagem;Direct;Affects
cigarra;planta;Direct;Affects
sofrimento;vaca;Direct;Affects
meio;puro;Compose;Composite
concentração;forrageira;Direct;Measures
concentração;magnésio;Direct;Measures
drenagem;terreno;Direct;Affects
trator;parto;Direct;usedin
trator;pastejo;Direct;usedfor
germinação;forrageira;Direct;produces
germinação;semeadura;Direct;HasSubevent
carbonato;água;Inverse;contains
imunidade;bezerro;Direct;HasProperty
resistente;raça;Inverse;HasProperty
solo;ovo;Inverse;AtLocation
solo;rotativo;Direct;usedfor
solo;seco;Direct;HasProperty
solo;tropical;Direct;HasProperty
solo;vento;Inverse;Affects
digerir;fibra;Inverse;UsedFor
digerir;proteína;Inverse;UsedFor
material;compactação;Direct;UsedFor
material;esterco;Inverse;Isa
lagoa;grande;Inverse;Measures
bovina;equino;Direct;SimilarTo
bovina;ovino;Direct;SimilarTo
mãe;animal;Inverse;HasA
mãe;filho;Direct;HasA
mãe;vaca;Inverse;HasProperty
energético;gordura;Inverse;IsA
baixo;alto;Direct;Antonym
mosca;proliferação;Direct;CapableOf
adubar;brachiaria;Direct;Affects
perder;gordura;Direct;Affects
dor;animal;Direct;Affects
agilidade;medicamento;Inverse;HasProperty
monórquidos;testículo;Direct;RelatedTo
mau;vaca;Direct;Affects
ataque;brachiaria;Direct;Affects
silagem;seca;Inverse;typeof
zootécnico;vaca;Direct;RelatedTo
microbiológico;bom;Direct;HasProperty
capim;natural;Direct;typeof
descendente;genético;Direct;HasProperty
descendente;raça;Direct;HasProperty
praga;natural;Direct;typeof
praga;pastagem;Direct;Affects
desinfetar;teto;Direct;usedin
adubo;brachiaria;Direct;usedin
desaleitar;bezerro;Direct;Affects
prenhe;vaca;Direct;HasProperty
isolamento;animal;Direct;usedin
forrageiro;brachiaria;Inverse;isa
forrageiro;solo;Direct;AtLocation
raspagem;esterco;Direct;produces
compactação;forragem;Direct;usedin
ordenhador;mão;Inverse;hasA
forrageira;capineiro;Direct;usedin
forrageira;cobertura;Direct;HasProperty
forrageira;densidade;Direct;HasProperty
forrageira;nlemfuensis;Inverse;isa
forrageira;superpastejo;Inverse;Affects
abrigo;animal;Direct;usedby
taxa;fértil;Direct;Measures
taxa;gestação;Direct;Measures
taxa;hectare;Direct;Measures
taxa;piquete;Direct;Measures
taxa;semeadura;Direct;Measures
animal;exame;Inverse;usedin
animal;gene;Direct;HasProperty
animal;metabólico;Inverse;Affects
animal;sol;Inverse;Affects
animal;vitamina;Inverse;usedin
animal;volumoso;Inverse;usedby
ressemeadura;pasto;Direct;usedin
temperatura;alta;Inverse;Measures
temperatura;tropical;Inverse;typeof
aveia;cultura;Direct;isa
aveia;vaca;Direct;usedby
planta;brachiaria;Inverse;isa
planta;capim;Inverse;isa
planta;cultura;Direct;isa
planta;fósforo;Direct;contains
planta;natural;Direct;HasProperty
planta;nutritivo;Direct;HasProperty
planta;semente;Direct;produces
pressão;aspersor;Direct;Affects
decumbem;panicum;Direct;SimilarTo
patógeno;orgânico;Inverse;typeof
pasteurizado;cru;Direct;Antonym
ventilação;animal;Direct;Affects
solúvel;orgânico;Inverse;HasProperty
artificial;natural;Direct;Antonym
fertirrigação;tanque;Inverse;UsedFor
sintoma;bactéria;Inverse;causes
sintoma;medicamento;Inverse;UsedAgainst
sintoma;perda;Inverse;isa
sistema;tricros;Inverse;typeof
berne;espécie;Direct;HasProperty
vacina;bactéria;Direct;UsedAgainst
panicum;nlemfuensis;Direct;SimilarTo
insumo;animais;Direct;usedby
dieta;gordura;Direct;Affects
cultura;placa;Inverse;usedfor
entrada;silo;Inverse;hasA
quente;pastagem;Direct;Affects
captura;mosca;Direct;UsedAgainst
braquiária;plantio;Direct;usedfor
braquiária;ácidos;Inverse;Affects
seiva;inseto;Direct;usedby
sanguíneo;corrente;Inverse Compose;Composite
protozoário;bactéria;Direct;SimilarTo
examinar;animal;Direct;usedin
inseminador;artificial;Inverse;typeof
fosfato;bicálcico;Compose;Composite
fosfato;magnésio;Direct;SimilarTo
fosfato;pastagem;Direct;Affects
fosfato;plantio;Direct;Affects
cisteína;enxofre;Direct;contains
via;testículo;Inverse;hasA
comercial;medicamento;Direct;typeof
glândula;imunológico;Direct;RelatedTo
glândula;inflamação;Inverse;Affects
glândula;lactação;Direct;Affects
glândula;medicamento;Inverse;UsedIn
glândula;vaca;Inverse;HasA
partícula;teto;Direct;Affects
cloro;cobre;Direct;SimilarTo
cloro;fósforo;Direct;SimilarTo
cloro;magnésio;Direct;SimilarTo
cloro;manganês;Direct;SimilarTo
agudo;infecção;Direct;typeof
fase;gestação;Direct;Measures
infecção;bactéria;Inverse;causes
infecção;clínico;Inverse;typeof
infecção;desinfecção;Direct;Antonym
infecção;intramamária;Inverse;typeof
infecção;perda;Direct;causes
infestações;animal;Direct;Affects
levedura;bezerro;Direct;usedby
população;pequeno;Direct;Measures
recomendação;animais;Inverse;Subject
recomendação;antibiótico;Inverse;Subject
recomendação;bebedouro;Inverse;Subject
recomendação;concentração;Inverse;Subject
recomendação;medida;Inverse;Subject
recomendação;médico;Inverse;typeof
recomendação;nutriente;Inverse;Subject
recomendação;pasto;Inverse;Subject
recomendação;procedimento;Inverse;Subject
recomendação;semente;Inverse;Subject
recomendação;silagem;Inverse;Subject
recomendação;silo;Inverse;Subject
recomendação;volumoso;Inverse;Subject
pasto;novilho;Inverse;AtLocation
pasto;samambaia;Inverse;AtLocation
pasto;seco;Inverse;typeof
pasto;solo;Direct;contains
lactose;vaca;Direct;Affects
exigência;proteína;Inverse;Subject
água;bezerro;Direct;usedby
água;corporal;Inverse;typeof
água;perder;Direct;TypeOf
água;resíduo;Inverse;Affects
água;suficiente;Inverse;Measures
espécies;arbóreo;Inverse;typeof
espécies;cromossomo;Direct;HasProperty
espécies;doméstico;Inverse;typeof
espécies;organismo;Inverse;HasProperty
espécies;plantio;Direct;usedfor
espécies;proteína;Inverse;typeof
espécies;superpastejo;Inverse;typeof
espécies;vegetal;Inverse;typeof
ração;nutriente;Direct;contains
ração;proteína;Direct;contains
purpureum;brachiaria;Direct;SimilarTo
purpureum;panicum;Direct;SimilarTo
lactação;fêmea;Inverse;HasProperty
lactação;gestação;Inverse;Affects
lactação;novilho;Inverse;Affects
lactação;secar;Inverse;Affects
tóxico;solo;Direct;Affects
contaminação;doença;Direct;causes
contaminação;humano;Direct;Affects
contaminação;orgânico;Inverse;causes
contaminação;pastagem;Direct;Affects
contaminação;teto;Direct;Affects
alimento;exigência;Direct;typeof
alimento;forrageira;Inverse;usedas
alimento;fósforo;Direct;contains
alimento;gordura;Direct;contains
alimento;leiteiro;Direct;usedfor
alimento;puro;Direct;typeof
alimento;rebanho;Direct;usedby
alimento;seco;Direct;typeof
estolonífera;plantio;Direct;usedfor
diarreia;animal;Direct;Affects
diarreia;febre;Direct;SimilarTo
desaleitamento;desaleitar;Direct;RelatedTo
genoma;bovino;Inverse;typeof
organismo;medicamento;Inverse;Affects
organismo;transgênico;Inverse;typeof
modo;pastagem;Inverse;HasProperty
invasor;semente;Direct;Affects
terreno;grande;Inverse;Measures
topografia;bom;Inverse;Qualifies
topografia;pastagem;Inverse;HasProperty
instalação;abrigo;Inverse;isa
instalação;bovino;Inverse;AtLocation
instalação;limpo;Direct;HasProperty
instalação;pequeno;Inverse;Measures
instalação;tanque;Inverse;typeof
instalação;água;Inverse;typeof
gramínea;fósforo;Direct;contains
armazenagem;mineral;Inverse;typeof
vaca;lactação;Inverse;TypicalOf
água;subterrâneo;Inverse;AtLocation
água;salinidade;Direct;HasProperty
