,term1,term2,value
220,máximo, pequeno,20
221,leguminosa, gramínea,19
228,espécies, solo,19
240,animais, pequeno,19
244,sede, artificial,19
245,sede, embrião,19
246,sede, gordura,19
247,sede, médio,19
248,sede, pelar,19
251,bezerra, bom,19
252,minerais, vaca,18
255,tomada, tomar,18
265,planta, plantar,18
268,novilha, vaca,18
275,animais, cruzamento,18
278,sede, cobertura,18
279,sede, fêmea,18
280,sede, leguminoso,18
281,sede, mestiço,18
282,sede, sintoma,18
283,cobre, vaca,18
293,espécies, bom,17
300,animais, lactação,17
302,animais, pasto,17
304,sede, antibiótico,17
305,sede, capim,17
306,sede, esterco,17
307,sede, maneira,17
308,sede, nitrogênio,17
309,sede, objetivo,17
310,sede, reprodutivo,17
311,máximo, forragem,17
312,máximo, pastagem,17
314,mamário, bezerro,16
315,mamária, bezerro,16
325,inseminador, vaca,16
336,animais, leiteiro,16
337,mamadeira, bezerro,16
340,sede, adulto,16
341,sede, concentração,16
342,sede, gene,16
343,sede, gestação,16
344,sede, infecção,16
345,sede, mão,16
346,sede, suficiente,16
348,microbiana, microbiano,16
350,minerais, dieta,15
362,entrada, entrar,15
371,parte, vaca,15
372,instalações, animal,15
374,animais, água,15
377,entressafra, entrar,15
379,sede, acasalamento,15
380,sede, alta,15
381,sede, eficiente,15
382,sede, mamário,15
383,sede, obra,15
384,sede, recomendação,15
385,sede, zebuína,15
387,mamário, mamar,14
389,mamária, mamar,14
390,mamária, vaca,14
396,sementes, solo,14
397,concentração, mineral,14
410,glândula, glândular,14
414,contaminação, contaminar,14
417,cortado, cortar,14
425,animais, corporal,14
426,animais, forragem,14
427,animais, temperatura,14
428,mamadeira, mamar,14
435,seca, dieta,14
437,sede, braquiária,14
438,sede, cocho,14
439,sede, exame,14
440,sede, fosfato,14
441,sede, irrigação,14
442,sede, líquido,14
443,sede, medicamento,14
444,sede, médico,14
445,sede, população,14
446,sede, químico,14
447,sede, ração,14
448,sede, seca,14
450,bezerra, mamar,14
451,verão, ver,13
458,via, ver,13
465,decumbens, decumbem,13
473,magra, magro,13
474,animais, mineral,13
477,sede, associação,13
478,sede, clínico,13
479,sede, estresse,13
480,sede, filho,13
481,sede, heterose,13
482,sede, invasor,13
483,sede, organismo,13
484,sede, térmico,13
486,consumidor, consumir,13
488,pico, picar,12
489,mamária, glândular,12
491,variação, animal,12
492,parteiro, vaca,12
497,concentração, bezerro,12
508,picada, picar,12
509,partícula, vaca,12
510,recomendação, vaca,12
525,líquida, esterco,12
526,fatores, animal,12
527,secador, secar,12
539,seca, secar,12
540,seco, secar,12
541,sede, análise,12
542,sede, célula,12
543,sede, fácil,12
544,sede, físico,12
545,sede, macho,12
546,sede, plantar,12
547,sede, procedimento,12
548,sede, recurso,12
549,sede, tóxico,12
550,sede, vacar,12
552,máximo, genético,12
553,máximo, raça,12
555,bezerra, concentrar,12
561,mamária, ordenha,11
562,mamária, quarto,11
563,leguminosa, pastagem,11
564,brizantha, brizanthar,11
565,minerais, animal,11
572,sementes, pastagem,11
574,concentração, dieta,11
575,trator, animal,11
576,bovina, animal,11
595,infestações, infestação,11
596,recomendação, pastagem,11
597,espécies, forragem,11
598,espécies, planta,11
608,novilha, bom,11
626,zebuínas, vaca,11
627,animais, adulto,11
628,animais, alto,11
629,animais, bezerro,11
630,animais, bovino,11
637,desmama, bezerro,11
638,desmame, bezerro,11
644,sede, descartar,11
645,sede, efeito,11
646,sede, gir,11
647,sede, hormônio,11
648,sede, humano,11
649,sede, limpo,11
650,sede, nutricional,11
651,sede, rotativo,11
652,sede, subclínica,11
654,máximo, pasto,11
657,demora, demorar,11
658,demora, vaca,11
659,minerais, bom,10
660,minerais, proteína,10
661,minerais, vitamina,10
669,concentrado, ração,10
676,sementes, plantio,10
677,fêmea, fêmeo,10
689,adubo, adubar,10
730,tecidos, tecido,10
734,animais, afetar,10
735,animais, elevar,10
736,animais, principal,10
738,animais, seco,10
740,animais, tratamento,10
748,seca, base,10
749,seca, limpo,10
750,seca, volumoso,10
754,sede, consumir,10
755,sede, energético,10
756,sede, febre,10
757,sede, magnésio,10
758,sede, microbiano,10
759,sede, monta,10
760,sede, oferecer,10
761,sede, reprodutor,10
762,sede, resistente,10
763,sede, risco,10
764,sede, tomar,10
766,máximo, forrageira,10
767,máximo, lactação,10
774,bezerra, doença,10
775,bezerra, ordenha,10
776,minerais, bovino,9
777,minerais, concentrar,9
780,crioscopia, animal,9
781,crioscopia, bezerro,9
782,térmica, estresse,9
787,concentrado, alimento,9
797,monta, vaca,9
800,concentração, ração,9
805,bovina, mineral,9
810,ordenhador, teto,9
819,criopreservação, animal,9
820,criopreservação, bezerro,9
835,recomendação, espécie,9
839,espécies, gramínea,9
849,nutrientes, vaca,9
851,parasitária, bovino,9
852,parasitária, parasitário,9
866,alta, forragem,9
867,alta, pastagem,9
868,alta, proteína,9
884,instalações, sistema,9
885,zebuínas, holandês,9
890,animais, alta,9
892,animais, exigência,9
894,estimulante, estimular,9
904,seca, parto,9
905,seca, proteína,9
906,crioscópico, animal,9
907,crioscópico, bezerro,9
911,sede, aproveitamento,9
912,sede, ar,9
913,sede, calcário,9
914,sede, diarreia,9
915,sede, enxofre,9
916,sede, fértil,9
917,sede, inverno,9
918,sede, lembrar,9
919,sede, mamar,9
920,sede, mosca,9
921,sede, máximo,9
922,sede, mãe,9
923,sede, picar,9
924,sede, praga,9
925,sede, quarto,9
926,sede, semeadura,9
927,sede, vitamina,9
929,máximo, pastejo,9
930,máximo, rebanho,9
936,bezerra, pequeno,9
937,bezerra, principal,9
940,obesa, vaca,8
941,mamária, lactação,8
942,minerais, fósforo,8
947,mocha, mocho,8
953,concentrado, água,8
954,ácido, ácer,8
956,colhedeira, colher,8
959,sementes, germinação,8
961,fêmea, vaca,8
963,concentração, alimento,8
964,concentração, bom,8
965,concentração, nutriente,8
967,concentração, proteína,8
989,aveia, avear,8
991,colheita, colher,8
1014,inseminador, cobrir,8
1017,recomendação, seco,8
1020,espécies, forrageiro,8
1021,espécies, grande,8
1022,espécies, pastejo,8
1039,zebuínos, zebuíno,8
1054,alta, forrageira,8
1055,alta, pequeno,8
1056,perda, corporal,8
1073,suplemento, suplementar,8
1074,acasalamento, acasalar,8
1075,zebuínas, animal,8
1076,zebuínas, gir,8
1083,animais, brachiaria,8
1084,animais, filho,8
1086,animais, holandês,8
1087,animais, identificar,8
1089,animais, tóxico,8
1090,animais, zebuína,8
1091,aproveitamento, aproveitar,8
1100,desmama, desmamar,8
1101,desmame, desmamar,8
1102,seca, concentrar,8
1104,seca, pequeno,8
1105,seca, teor,8
1111,sede, afetar,8
1112,sede, aveia,8
1113,sede, calagem,8
1114,sede, capineiro,8
1115,sede, cerca,8
1116,sede, desinfecção,8
1117,sede, dose,8
1118,sede, ensilar,8
1119,sede, guzerá,8
1120,sede, infeccioso,8
1121,sede, interferir,8
1122,sede, manual,8
1123,sede, nutritivo,8
1124,sede, parasita,8
1125,sede, quente,8
1126,sede, sanitário,8
1127,sede, sexo,8
1128,sede, somático,8
1129,sede, superpastejo,8
1130,sede, vitro,8
1131,sede, zebu,8
1132,sede, ácidos,8
1133,sede, árvore,8
1136,máximo, animais,8
1137,máximo, natural,8
1138,máximo, parte,8
1139,máximo, sistema,8
1140,máximo, água,8
1146,salobra, água,8
1149,cobre, bom,8
1150,cobre, cocho,8
1151,cobre, mineral,8
1155,bezerra, abrigo,8
1156,bezerra, animal,8
1157,bezerra, precoce,8
1158,bezerra, raça,8
1161,obeso, vaca,7
1163,mamária, glândula,7
1164,leguminosa, nitrogênio,7
1165,leguminosa, sistema,7
1166,minerais, água,7
1171,mocha, chifre,7
1174,variação, pastagem,7
1175,variação, solo,7
1181,concentrado, proteína,7
1182,gênero, gênerar,7
1194,sementes, pequeno,7
1202,bovina, agente,7
1227,aveia, plantio,7
1234,humidicola, brachiaria,7
1245,entrada, vaca,7
1254,recomendação, animal,7
1256,recomendação, dieta,7
1257,recomendação, solo,7
1262,espécies, alto,7
1263,espécies, animais,7
1264,espécies, fator,7
1284,cruza, cruzar,7
1289,nutrientes, mineral,7
1291,diluição, diluir,7
1292,parasitária, tristeza,7
1296,novilha, grande,7
1297,novilha, parto,7
1307,componentes, animal,7
1308,componentes, componente,7
1309,aminoácido, proteína,7
1313,fatores, pastagem,7
1319,alta, espécie,7
1329,secador, vaca,7
1344,parto, gestação,7
1352,instalações, bom,7
1353,zebuínas, cruzamento,7
1360,cruzamento, cruzar,7
1362,animais, infecção,7
1363,animais, lote,7
1364,animais, novilho,7
1365,animais, oferecer,7
1366,animais, organismo,7
1367,animais, parto,7
1368,animais, proteína,7
1369,animais, resíduo,7
1370,animais, samambaia,7
1372,tratamento, pastagem,7
1373,mamadeira, vaca,7
1389,entressafra, vaca,7
1390,seca, bezerro,7
1397,sede, abrigo,7
1398,sede, anestro,7
1399,sede, apetite,7
1400,sede, biológico,7
1401,sede, brizanthar,7
1402,sede, ciclo,7
1403,sede, componente,7
1404,sede, densidade,7
1405,sede, excesso,7
1406,sede, fibra,7
1407,sede, genoma,7
1408,sede, gradagem,7
1409,sede, gênerar,7
1410,sede, larva,7
1411,sede, lavar,7
1412,sede, lote,7
1413,sede, mecânico,7
1414,sede, mocho,7
1415,sede, morte,7
1416,sede, máquina,7
1417,sede, partícula,7
1418,sede, perder,7
1419,sede, potássio,7
1420,sede, preparar,7
1421,sede, pé,7
1422,sede, rufião,7
1423,sede, ver,7
1424,sede, útero,7
1431,máximo, bezerro,7
1432,máximo, espécie,7
1433,máximo, garantir,7
1434,máximo, parto,7
1435,máximo, planta,7
1437,microbiana, população,7
1454,bezerra, concentrado,7
1455,bezerra, desmamar,7
1456,bezerra, lactação,7
1457,bezerra, presença,7
1458,bezerra, sistema,7
1461,distúrbio, vaca,6
1462,leguminosa, solo,6
1463,brizantha, decumbem,6
1464,minerais, balancear,6
1465,minerais, lactação,6
1466,minerais, magnésio,6
1467,minerais, volumoso,6
1473,crioscopia, vaca,6
1474,térmica, animal,6
1479,mocha, gene,6
1484,variação, vaca,6
1486,ordenha, lavar,6
1494,parteiro, bezerro,6
1499,medida, medir,6
1511,fibra, vaca,6
1518,sementes, forrageira,6
1519,sementes, semeadura,6
1522,medo, medir,6
1531,concentração, seco,6
1532,concentração, solo,6
1533,trator, vaca,6
1544,bovina, doença,6
1545,bovina, parasitário,6
1546,bovina, tristeza,6
1557,ordenhador, bezerro,6
1587,criopreservação, vaca,6
1610,partícula, bezerro,6
1616,recomendação, forrageira,6
1617,recomendação, pequeno,6
1618,recomendação, plantio,6
1620,recomendação, técnico,6
1626,espécies, associação,6
1627,espécies, brachiaria,6
1628,espécies, braquiária,6
1629,espécies, tropical,6
1641,espécie, brachiaria,6
1645,cruza, raça,6
1646,cruza, vaca,6
1649,gramínea, brachiaria,6
1663,diluição, água,6
1667,novilha, animal,6
1668,novilha, bezerro,6
1678,decumbens, brizanthar,6
1688,componentes, sistema,6
1690,rebanho, bezerro,6
1697,mutica, brachiaria,6
1698,fatores, bom,6
1699,fatores, espécie,6
1700,fatores, principal,6
1701,fatores, solo,6
1706,alta, grande,6
1707,alta, raça,6
1708,alta, sistema,6
1733,desinfetantes, teto,6
1735,parte, bezerro,6
1736,parte, genético,6
1737,instalações, bezerro,6
1738,instalações, grande,6
1739,zebuínas, guzerá,6
1740,zebuínas, mestiço,6
1741,magra, gordo,6
1746,tanques, tanque,6
1750,animais, acasalamento,6
1751,animais, capim,6
1752,animais, componente,6
1753,animais, cuidado,6
1755,animais, doente,6
1756,animais, fêmea,6
1757,animais, físico,6
1758,animais, fósforo,6
1761,animais, morte,6
1762,animais, nutriente,6
1763,animais, parte,6
1764,animais, térmico,6
1768,tratamento, quarto,6
1790,desmame, precoce,6
1794,crioscópico, vaca,6
1802,sede, adubar,6
1803,sede, auxiliar,6
1804,sede, balanço,6
1805,sede, bezerreiro,6
1806,sede, bula,6
1807,sede, cama,6
1808,sede, certo,6
1809,sede, combate,6
1810,sede, compactação,6
1811,sede, contaminação,6
1812,sede, corpo,6
1813,sede, cortar,6
1814,sede, decumbem,6
1815,sede, descendente,6
1816,sede, digerir,6
1817,sede, esperar,6
1818,sede, estéril,6
1819,sede, exigência,6
1820,sede, fermentação,6
1821,sede, forrageiro,6
1822,sede, frasco,6
1823,sede, fêmeo,6
1824,sede, gel,6
1825,sede, germinação,6
1826,sede, glândula,6
1827,sede, imunológico,6
1828,sede, ingrediente,6
1829,sede, inseto,6
1830,sede, intoxicação,6
1831,sede, lactose,6
1832,sede, lento,6
1833,sede, madeira,6
1834,sede, magro,6
1835,sede, metabólico,6
1836,sede, microbiológico,6
1837,sede, orientar,6
1838,sede, panicum,6
1839,sede, parâmetro,6
1840,sede, precoce,6
1841,sede, samambaia,6
1842,sede, subtropical,6
1843,sede, terapia,6
1844,sede, tolerante,6
1845,sede, vegetal,6
1846,sede, vegetativo,6
1847,sede, verme,6
1848,sede, zebuíno,6
1849,sede, ácer,6
1859,pesagem, pesar,6
1860,máximo, artificial,6
1861,máximo, cultura,6
1862,máximo, dieta,6
1863,máximo, fêmea,6
1864,máximo, heterose,6
1865,máximo, instalação,6
1866,máximo, leiteiro,6
1867,máximo, perda,6
1868,máximo, taxa,6
1869,presença, gene,6
1889,bezerra, fase,6
1890,bezerra, grande,6
1891,bezerra, mãe,6
1892,bezerra, novilho,6
1893,bezerra, parto,6
1894,bezerra, proteína,6
1895,bezerra, pé,6
1896,bezerra, teto,6
1898,verão, animal,5
1903,obesa, obeso,5
1905,mamária, animal,5
1906,mamária, parto,5
1907,mamária, sistema,5
1908,minerais, base,5
1909,minerais, cobrir,5
1910,minerais, cocho,5
1911,minerais, nutriente,5
1912,minerais, parto,5
1917,crioscopia, bom,5
1918,térmica, sistema,5
1934,ordenha, raça,5
1939,pele, bom,5
1940,pele, vaca,5
1941,pele, água,5
1943,homeopático, medicamento,5
1944,tomada, cuidado,5
1945,bernes, berne,5
1946,bernes, mosca,5
1949,estresse, estressar,5
1950,parteiro, bom,5
1954,concentrado, nutriente,5
1956,concentrado, pasto,5
1957,gênero, brachiaria,5
1958,geada, gear,5
1967,irrigação, pastagem,5
1978,pelagem, bom,5
1979,pelagem, vaca,5
1980,pelagem, água,5
1981,sementes, braquiária,5
1982,estimular, bezerro,5
1984,fêmea, embrião,5
1991,medo, vaca,5
1997,monta, montar,5
2000,sofrimento, animal,5
2005,concentração, base,5
2008,concentração, pelar,5
2009,drenagem, drenar,5
2013,trator, pastagem,5
2014,trator, quarto,5
2023,solo, garantir,5
2032,lagoa, líquido,5
2033,bovina, bom,5
2049,isolamento, doença,5
2050,compactação, pequeno,5
2051,ordenhador, desinfecção,5
2052,ordenhador, manual,5
2064,somatotropina, raça,5
2086,criopreservação, bom,5
2105,sintoma, instalação,5
2133,picada, pequeno,5
2135,inseminador, bom,5
2137,comercial, comer,5
2138,partícula, bom,5
2139,partícula, silo,5
2144,levedura, animal,5
2145,levedura, vaca,5
2147,recomendação, bovino,5
2149,recomendação, lactação,5
2150,recomendação, mineral,5
2151,recomendação, orgânico,5
2152,recomendação, pelar,5
2153,recomendação, tratamento,5
2154,recomendação, água,5
2166,espécies, cigarra,5
2167,espécies, leguminoso,5
2168,espécies, mosca,5
2169,espécies, pasto,5
2180,contaminação, bactéria,5
2185,heterozigoto, mocho,5
2192,medir, vaca,5
2196,rebanhar, sistema,5
2202,ingrediente, vaca,5
2203,gramínea, gramíneo,5
2205,objetivo, solo,5
2216,nutrientes, animal,5
2217,nutrientes, bom,5
2220,diluição, sistema,5
2221,parasitária, agente,5
2224,limpo, limpar,5
2226,novilha, cobrir,5
2227,novilha, pequeno,5
2231,zebuínos, raça,5
2247,forragem, mineral,5
2252,semeadura, semear,5
2253,desmamar, vaca,5
2254,homozigoto, mocho,5
2255,rebanho, medida,5
2257,rebanho, pequeno,5
2258,rebanho, puro,5
2260,rebanho, taxa,5
2262,reação, gel,5
2263,carrapaticida, carrapaticidar,5
2267,genético, gene,5
2271,fatores, vaca,5
2273,procedimento, vaca,5
2276,alto, raça,5
2279,maneira, bezerro,5
2280,alta, concentração,5
2281,alta, doença,5
2282,alta, mineral,5
2283,alta, nutriente,5
2284,alta, tropical,5
2285,perda, animal,5
2287,perda, proteína,5
2291,suficiente, vaca,5
2314,parto, genético,5
2315,parto, raça,5
2317,desinfetantes, desinfetante,5
2318,desinfetantes, desinfetar,5
2321,semeadeira, semear,5
2322,parte, principal,5
2323,parte, proteína,5
2326,parte, teto,5
2327,suplemento, concentrar,5
2329,suplemento, pasto,5
2333,instalações, principal,5
2334,zebuínas, genético,5
2335,zebuínas, puro,5
2336,magra, bom,5
2337,magra, corporal,5
2346,aptidão, gir,5
2351,cruzamento, grande,5
2355,animais, ar,5
2356,animais, calor,5
2357,animais, concentração,5
2358,animais, doador,5
2359,animais, efeito,5
2360,animais, embrião,5
2361,animais, gramínea,5
2362,animais, leguminoso,5
2364,animais, modo,5
2365,animais, nutricional,5
2367,animais, recurso,5
2368,animais, resistente,5
2369,estimulante, bezerro,5
2372,peletizado, bom,5
2373,peletizado, vaca,5
2374,peletizado, água,5
2382,tratamento, sintoma,5
2383,mamadeira, ordenha,5
2398,desinfetante, desinfetar,5
2400,desmama, vaca,5
2401,desmame, vaca,5
2403,seca, abrigo,5
2404,seca, chuva,5
2405,seca, concentrado,5
2407,seca, mineral,5
2408,seca, pastagem,5
2410,seca, água,5
2418,crioscópico, bom,5
2419,capineira, bom,5
2420,capineira, solo,5
2428,peladeira, vaca,5
2429,peladeira, água,5
2430,zebuíno, raça,5
2435,sede, acesso,5
2436,sede, aminoácido,5
2437,sede, baia,5
2438,sede, balancear,5
2439,sede, bebedouro,5
2440,sede, calor,5
2441,sede, carrapaticida,5
2442,sede, chifre,5
2443,sede, cigarra,5
2444,sede, comercial,5
2445,sede, compostagem,5
2446,sede, contagioso,5
2447,sede, contaminar,5
2448,sede, desmamar,5
2449,sede, diluir,5
2450,sede, distúrbio,5
2451,sede, entrada,5
2452,sede, entrar,5
2453,sede, estimular,5
2454,sede, ferramenta,5
2455,sede, floração,5
2456,sede, gestante,5
2457,sede, glândular,5
2458,sede, gordo,5
2459,sede, incidência,5
2460,sede, infestação,5
2461,sede, insumo,5
2462,sede, laboratório,5
2463,sede, lagoa,5
2464,sede, luminosidade,5
2465,sede, luz,5
2466,sede, lácteo,5
2467,sede, núcleo,5
2468,sede, obtenção,5
2469,sede, odor,5
2470,sede, operação,5
2471,sede, ovo,5
2472,sede, oócito,5
2473,sede, parasitário,5
2474,sede, pilha,5
2475,sede, planejamento,5
2476,sede, procurar,5
2477,sede, raiz,5
2478,sede, reter,5
2479,sede, sol,5
2480,sede, sombrite,5
2481,sede, substância,5
2482,sede, tristeza,5
2483,sede, vacina,5
2484,sede, verão,5
2485,sede, ácido,5
2486,sede, órgão,5
2487,sede, útil,5
2489,regime, forrageira,5
2493,rasteira, pastejo,5
2494,máximo, alimento,5
2495,máximo, alto,5
2496,máximo, baixo,5
2497,máximo, cobertura,5
2498,máximo, elevar,5
2499,máximo, meio,5
2500,máximo, médio,5
2501,máximo, novilho,5
2502,máximo, nutritivo,5
2503,máximo, pelar,5
2504,máximo, plantio,5
2505,máximo, principal,5
2506,máximo, proteína,5
2507,máximo, reprodutivo,5
2510,presença, mocho,5
2513,microbiana, contaminação,5
2514,microbiana, proteína,5
2526,coma, comer,5
2528,demora, parto,5
2531,consumidor, animal,5
2532,ácidos, ácido,5
2533,somático, raça,5
2537,cobre, novilho,5
2538,cobre, solo,5
2547,bezerra, alimento,5
2548,bezerra, cuidado,5
2549,bezerra, imunoglobulina,5
2550,bezerra, instalação,5
2551,bezerra, pastagem,5
2555,pico, forrageira,4
2556,pico, pequeno,4
2557,conservante, silagem,4
2560,cova, plantio,4
2562,verão, inverno,4
2563,verão, plantio,4
2566,mamário, infecção,4
2567,mamário, medicamento,4
2568,mamária, infecção,4
2569,mamária, medicamento,4
2570,leguminosa, animal,4
2571,leguminosa, bom,4
2572,leguminosa, espécie,4
2573,leguminosa, semente,4
2574,brizantha, panicum,4
2575,minerais, concentrado,4
2576,minerais, corporal,4
2577,minerais, seco,4
2578,minerais, sistema,4
2582,leguminoso, semente,4
2584,emagrecimento, vaca,4
2586,térmico, instalação,4
2591,semear, semente,4
2592,térmica, bom,4
2593,térmica, instalação,4
2599,doença, base,4
2607,infectante, infectar,4
2609,cor, pequeno,4
2611,afetar, fósforo,4
2613,afetar, vaca,4
2619,proporção, material,4
2620,variação, animais,4
2621,variação, chuva,4
2622,variação, espécie,4
2623,variação, raça,4
2624,variação, rebanhar,4
2625,variação, sistema,4
2626,variação, teor,4
2629,ordenha, cuidado,4
2630,ordenha, infecção,4
2631,ordenha, lactação,4
2633,ordenha, pequeno,4
2635,sugador, inseto,4
2637,pele, genético,4
2638,cupim, pastagem,4
2639,treinamento, vaca,4
2641,infectocontagiosa, infectar,4
2642,sintomático, instalação,4
2644,infestação, infestar,4
2647,parteiro, animal,4
2648,parteiro, genético,4
2649,parteiro, mestiço,4
2652,núcleo, embrião,4
2653,concentrado, cocho,4
2654,concentrado, forrageira,4
2656,concentrado, pelar,4
2657,concentrado, precoce,4
2658,concentrado, silagem,4
2659,concentrado, suplementar,4
2660,gênero, bactéria,4
2661,anaeróbia, sistema,4
2664,infraestrutura, vaca,4
2665,alumínio, pastagem,4
2671,corporal, magro,4
2674,irrigação, gramínea,4
2675,irrigação, plantio,4
2676,irrigação, seca,4
2679,célula, parto,4
2680,químico, pastagem,4
2681,digestão, digestãar,4
2682,digestão, sistema,4
2685,guzerá, guzer,4
2702,fibra, proteína,4
2707,principal, gordura,4
2713,pelagem, genético,4
2714,pelagem, grande,4
2715,pelagem, pequeno,4
2716,sementes, bom,4
2717,estimular, vaca,4
2718,fêmea, cobertura,4
2719,fêmea, novilho,4
2725,medo, animal,4
2728,fêmeo, vaca,4
2729,teor, açúcar,4
2732,teor, volumoso,4
2734,sintomatologia, instalação,4
2736,libido, liber,4
2741,cigarra, brachiaria,4
2745,meio, genético,4
2748,concentração, alto,4
2749,concentração, forragem,4
2751,concentração, silagem,4
2752,concentração, suplementar,4
2756,trator, esterco,4
2757,trator, grande,4
2758,trator, resíduo,4
2759,trator, seco,4
2760,germinação, plantio,4
2769,solo, instalação,4
2779,solo, árvore,4
2781,material, silo,4
2782,bovina, leiteiro,4
2783,bovina, rebanho,4
2791,baixo, bezerro,4
2798,adubar, gramínea,4
2801,balanço, pequeno,4
2803,útil, animal,4
2804,orientar, instalação,4
2809,picar, pequeno,4
2810,agente, base,4
2813,agente, pequeno,4
2821,silagem, ar,4
2824,silagem, perda,4
2825,ruminal, proteína,4
2827,pelar, bom,4
2828,pelar, genético,4
2833,descendente, bezerro,4
2834,descendente, descer,4
2835,adubo, animal,4
2836,adubo, gramínea,4
2837,adubo, pastagem,4
2838,adubo, solo,4
2842,rótulo, mineral,4
2846,ordenhador, cuidado,4
2847,ordenhador, lavar,4
2859,taxa, solo,4
2878,animal, medicamento,4
2893,animal, árvore,4
2894,temperatura, bezerro,4
2903,aveia, semente,4
2904,planta, cobertura,4
2906,planta, gramínea,4
2912,criopreservação, embrião,4
2913,ventilação, ventilar,4
2918,colheita, plantio,4
2920,grande, base,4
2938,grande, rotativo,4
2940,grande, silo,4
2946,fertirrigação, sistema,4
2950,chuva, bom,4
2953,chuva, sistema,4
2957,sistema, genético,4
2971,sobreordenha, teto,4
2972,gordo, bom,4
2982,dieta, ruminal,4
2985,cultura, líquido,4
2986,entrada, pasto,4
2987,reter, vaca,4
2988,íom, água,4
2991,ver, animal,4
2992,picada, forrageira,4
2995,vedação, silo,4
2996,via, animal,4
2997,via, vaca,4
2998,comercial, concentrar,4
2999,comercial, mineral,4
3000,glândula, célula,4
3001,partícula, animal,4
3002,partícula, genético,4
3003,partícula, gordura,4
3004,partícula, mestiço,4
3010,reprodutivo, parto,4
3019,emagreceu, vaca,4
3020,infestações, grande,4
3021,infestações, infestar,4
3024,recomendação, diluir,4
3025,recomendação, fabricante,4
3026,recomendação, grande,4
3027,recomendação, ordenha,4
3028,recomendação, pastejo,4
3029,recomendação, rebanho,4
3030,recomendação, resíduo,4
3031,recomendação, sistema,4
3032,pasto, bezerro,4
3034,pasto, gramínea,4
3054,pasta, espécie,4
3055,fresca, fresco,4
3056,espécies, cultura,4
3057,espécies, doença,4
3058,espécies, exigência,4
3059,espécies, inseto,4
3060,espécies, lactação,4
3061,espécies, panicum,4
3062,espécies, plantar,4
3063,espécies, vaca,4
3078,molécula, molécular,4
3082,tóxico, samambaia,4
3083,natalidade, bezerro,4
3084,natalidade, médio,4
3088,contaminação, animal,4
3094,alimento, pequeno,4
3098,heterozigoto, gene,4
3100,diarreia, infeccioso,4
3102,portadora, portador,4
3103,acesso, pastagem,4
3106,administração, vaca,4
3120,espécie, inseto,4
3125,acasalar, vaca,4
3129,instalação, seco,4
3130,instalação, tratamento,4
3132,ingrediente, bom,4
3134,queima, queimar,4
3140,armazenagem, sistema,4
3141,cobalto, magnésio,4
